GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
cia-dist-deb/citizen-intelligence-agency,com.hack23.cia.web.impl.ui.application.views.user.document.pagemode,AbstractDocumentPageModContentFactoryImpl,16,0,0,0,4,0,3,0,3,0
cia-dist-deb/citizen-intelligence-agency,com.hack23.cia.web.impl.ui.application.views.user.document.pagemode,AbstractDocumentsPageModContentFactoryImpl,6,0,0,0,3,0,2,0,2,0
cia-dist-deb/citizen-intelligence-agency,com.hack23.cia.web.impl.ui.application.views.user.document.pagemode,SearchDocumentPageModContentFactoryImpl,104,0,0,0,27,0,4,0,4,0
cia-dist-deb/citizen-intelligence-agency,com.hack23.cia.web.impl.ui.application.views.user.document.pagemode,DocumentOverviewPageModContentFactoryImpl,247,0,10,0,29,0,9,0,4,0
cia-dist-deb/citizen-intelligence-agency,com.hack23.cia.web.impl.ui.application.views.user.document.pagemode,DocumentPageVisitHistoryPageModContentFactoryImpl,46,0,4,0,10,0,5,0,3,0
cia-dist-deb/citizen-intelligence-agency,com.hack23.cia.web.impl.ui.application.views.user.document.pagemode,DocumentDataPageModContentFactoryImpl,176,0,10,0,42,0,9,0,4,0
cia-dist-deb/citizen-intelligence-agency,com.hack23.cia.web.impl.ui.application.views.user.document.pagemode,DocumentDecisionPageModContentFactoryImpl,121,0,10,0,19,0,9,0,4,0
cia-dist-deb/citizen-intelligence-agency,com.hack23.cia.web.impl.ui.application.views.user.document.pagemode,DocumentsOverviewPageModContentFactoryImpl,234,0,6,0,19,0,7,0,4,0
cia-dist-deb/citizen-intelligence-agency,com.hack23.cia.web.impl.ui.application.views.user.document.pagemode,DocumentPersonReferencesPageModContentFactoryImpl,122,0,10,0,22,0,9,0,4,0
cia-dist-deb/citizen-intelligence-agency,com.hack23.cia.web.impl.ui.application.views.user.document.pagemode,DocumentAttachementsPageModContentFactoryImpl.StreamSourceImplementation,31,0,0,0,8,0,3,0,3,0
cia-dist-deb/citizen-intelligence-agency,com.hack23.cia.web.impl.ui.application.views.user.document.pagemode,DocumentDetailsPageModContentFactoryImpl,104,0,10,0,20,0,9,0,4,0
cia-dist-deb/citizen-intelligence-agency,com.hack23.cia.web.impl.ui.application.views.user.document.pagemode,DocumentActivityPageModContentFactoryImpl,116,0,10,0,20,0,9,0,4,0
cia-dist-deb/citizen-intelligence-agency,com.hack23.cia.web.impl.ui.application.views.user.document.pagemode,DocumentAttachementsPageModContentFactoryImpl,182,0,14,0,40,0,12,0,5,0
cia-dist-deb/citizen-intelligence-agency,com.hack23.cia.web.impl.ui.application.views.user.document.pagemode,DocumentReferencesPageModContentFactoryImpl,104,0,10,0,20,0,9,0,4,0
cia-dist-deb/citizen-intelligence-agency,com.hack23.cia.web.impl.ui.application.views.common.gridfactory.impl,GridFactoryImpl.BeanNestedPropertyValueProvider,32,0,0,0,7,0,2,0,2,0
cia-dist-deb/citizen-intelligence-agency,com.hack23.cia.web.impl.ui.application.views.common.gridfactory.impl,GridFactoryImpl,210,0,22,0,47,0,20,0,9,0
cia-dist-deb/citizen-intelligence-agency,com.hack23.cia.web.impl.ui.application.views.admin.common,AbstractAdminView,5,0,0,0,2,0,1,0,1,0
cia-dist-deb/citizen-intelligence-agency,com.hack23.cia.web.impl.ui.application.views.common.paging,PagingUtil,148,0,14,0,34,0,11,0,4,0
cia-dist-deb/citizen-intelligence-agency,com.hack23.cia.web.impl.ui.application.views.common.chartfactory.impl,AbstractChartDataManagerImpl,142,0,4,0,39,0,10,0,8,0
cia-dist-deb/citizen-intelligence-agency,com.hack23.cia.web.impl.ui.application.views.common.chartfactory.impl,ViewRiksdagenVoteDataBallotPartySummaryChartDataManagerImpl,17,0,0,0,5,0,2,0,2,0
cia-dist-deb/citizen-intelligence-agency,com.hack23.cia.web.impl.ui.application.views.common.chartfactory.impl,CommitteeGhantChartManagerImpl.RoleMapping,15,0,0,0,1,0,1,0,1,0
cia-dist-deb/citizen-intelligence-agency,com.hack23.cia.web.impl.ui.application.views.common.chartfactory.impl,DocumentChartDataManagerImpl,173,0,18,0,32,0,16,0,7,0
cia-dist-deb/citizen-intelligence-agency,com.hack23.cia.web.impl.ui.application.views.common.chartfactory.impl,DecisionFlowChartManagerImpl,434,0,50,0,82,0,34,0,9,0
cia-dist-deb/citizen-intelligence-agency,com.hack23.cia.web.impl.ui.application.views.common.chartfactory.impl,MinistryGhantChartManagerImpl,21,0,0,0,5,0,5,0,5,0
cia-dist-deb/citizen-intelligence-agency,com.hack23.cia.web.impl.ui.application.views.common.chartfactory.impl,PartyGhantChartManagerImpl.RoleMapping,3,0,0,0,1,0,1,0,1,0
cia-dist-deb/citizen-intelligence-agency,com.hack23.cia.web.impl.ui.application.views.common.chartfactory.impl,MinistryGhantChartManagerImpl.new AbstractGhantChartManagerImpl.StepMapping() {...},55,0,4,0,14,0,11,0,9,0
cia-dist-deb/citizen-intelligence-agency,com.hack23.cia.web.impl.ui.application.views.common.chartfactory.impl,DecisionChartDataManagerImpl,311,0,24,0,58,0,23,0,11,0
cia-dist-deb/citizen-intelligence-agency,com.hack23.cia.web.impl.ui.application.views.common.chartfactory.impl,PoliticianDataManagerImpl,126,0,6,0,26,0,7,0,4,0
cia-dist-deb/citizen-intelligence-agency,com.hack23.cia.web.impl.ui.application.views.common.chartfactory.impl,GovernmentOutcomeChartDataManagerImpl,97,0,2,0,19,0,4,0,3,0
cia-dist-deb/citizen-intelligence-agency,com.hack23.cia.web.impl.ui.application.views.common.chartfactory.impl,PartyGhantChartManagerImpl,21,0,0,0,5,0,5,0,5,0
cia-dist-deb/citizen-intelligence-agency,com.hack23.cia.web.impl.ui.application.views.common.chartfactory.impl,PartyChartDataManagerImpl,384,0,18,0,72,0,25,0,16,0
cia-dist-deb/citizen-intelligence-agency,com.hack23.cia.web.impl.ui.application.views.common.chartfactory.impl,ChartOptionsImpl,510,0,0,0,76,0,23,0,23,0
cia-dist-deb/citizen-intelligence-agency,com.hack23.cia.web.impl.ui.application.views.common.chartfactory.impl,PoliticianGhantChartManagerImpl,21,0,0,0,5,0,5,0,5,0
cia-dist-deb/citizen-intelligence-agency,com.hack23.cia.web.impl.ui.application.views.common.chartfactory.impl,AdminChartDataManagerImpl,369,0,18,0,71,0,20,0,11,0
cia-dist-deb/citizen-intelligence-agency,com.hack23.cia.web.impl.ui.application.views.common.chartfactory.impl,ViewRiksdagenVoteDataBallotPoliticianSummaryChartDataManagerImpl,17,0,0,0,5,0,2,0,2,0
cia-dist-deb/citizen-intelligence-agency,com.hack23.cia.web.impl.ui.application.views.common.chartfactory.impl,PartyGhantChartManagerImpl.new AbstractGhantChartManagerImpl.StepMapping() {...},69,0,8,0,16,0,13,0,9,0
cia-dist-deb/citizen-intelligence-agency,com.hack23.cia.web.impl.ui.application.views.common.chartfactory.impl,ViewRiksdagenVoteDataBallotPoliticianSummaryDailyChartDataManagerImpl,16,0,0,0,5,0,2,0,2,0
cia-dist-deb/citizen-intelligence-agency,com.hack23.cia.web.impl.ui.application.views.common.chartfactory.impl,AbstractGhantChartManagerImpl,330,0,16,0,70,0,18,0,10,0
cia-dist-deb/citizen-intelligence-agency,com.hack23.cia.web.impl.ui.application.views.common.chartfactory.impl,MinistryGhantChartManagerImpl.RoleMapping,18,0,0,0,1,0,1,0,1,0
cia-dist-deb/citizen-intelligence-agency,com.hack23.cia.web.impl.ui.application.views.common.chartfactory.impl,PartyDocumentChartDataManagerImpl,164,0,8,0,33,0,11,0,7,0
cia-dist-deb/citizen-intelligence-agency,com.hack23.cia.web.impl.ui.application.views.common.chartfactory.impl,PoliticianGhantChartManagerImpl.new AbstractGhantChartManagerImpl.StepMapping() {...},59,0,6,0,17,0,12,0,9,0
cia-dist-deb/citizen-intelligence-agency,com.hack23.cia.web.impl.ui.application.views.common.chartfactory.impl,OrgDocumentChartDataManagerImpl,215,0,16,0,46,0,18,0,10,0
cia-dist-deb/citizen-intelligence-agency,com.hack23.cia.web.impl.ui.application.views.common.chartfactory.impl,CommitteeGhantChartManagerImpl.new AbstractGhantChartManagerImpl.StepMapping() {...},55,0,4,0,14,0,11,0,9,0
cia-dist-deb/citizen-intelligence-agency,com.hack23.cia.web.impl.ui.application.views.common.chartfactory.impl,PoliticianGhantChartManagerImpl.RoleMapping,25,0,2,0,3,0,2,0,1,0
cia-dist-deb/citizen-intelligence-agency,com.hack23.cia.web.impl.ui.application.views.common.chartfactory.impl,WorldIndicatorChartDataManagerImpl,111,0,12,0,17,0,8,0,2,0
cia-dist-deb/citizen-intelligence-agency,com.hack23.cia.web.impl.ui.application.views.common.chartfactory.impl,GovernmentBodyChartDataManagerImpl,830,0,48,0,143,0,50,0,26,0
cia-dist-deb/citizen-intelligence-agency,com.hack23.cia.web.impl.ui.application.views.common.chartfactory.impl,CommitteeGhantChartManagerImpl,21,0,0,0,5,0,5,0,5,0
cia-dist-deb/citizen-intelligence-agency,com.hack23.cia.web.impl.ui.application.views.common.chartfactory.impl,ChartDataManagerImpl,23,0,0,0,6,0,2,0,2,0
cia-dist-deb/citizen-intelligence-agency,com.hack23.cia.web.impl.ui.application.views.common.chartfactory.impl,BallotChartDataManagerImpl,288,0,4,0,31,0,5,0,3,0
cia-dist-deb/citizen-intelligence-agency,com.hack23.cia.web.impl.ui.application.views.common.chartfactory.impl,PersonDocumentChartDataManagerImpl,159,0,8,0,32,0,11,0,7,0
cia-dist-deb/citizen-intelligence-agency,com.hack23.cia.web.impl.ui.application.util,UserContextUtil,65,0,14,0,20,0,11,0,4,0
cia-dist-deb/citizen-intelligence-agency,com.hack23.cia.web.impl.ui.application.util,WebBrowserUtil,69,0,4,0,17,0,6,0,4,0
cia-dist-deb/citizen-intelligence-agency,com.hack23.cia.web.impl.ui.application.views.common.pagemode,AbstractBasicPageModContentFactoryImpl,5,0,0,0,3,0,2,0,2,0
cia-dist-deb/citizen-intelligence-agency,com.hack23.cia.web.impl.ui.application.views.common.pagemode,AbstractPageModContentFactoryImpl,188,0,14,0,47,0,19,0,12,0
cia-dist-deb/citizen-intelligence-agency,com.hack23.cia.web.impl.ui.application.views.common.pagemode,MainViewPageVisitHistoryPageModContentFactoryImpl,49,0,4,0,11,0,5,0,3,0
