GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Citizen Intelligence Agency,com.hack23.cia.web.impl.ui.application.views.user.document.pagemode,AbstractDocumentPageModContentFactoryImpl,3,12,0,0,1,3,1,2,1,2
Citizen Intelligence Agency,com.hack23.cia.web.impl.ui.application.views.user.document.pagemode,AbstractDocumentsPageModContentFactoryImpl,0,6,0,0,0,3,0,2,0,2
Citizen Intelligence Agency,com.hack23.cia.web.impl.ui.application.views.user.document.pagemode,SearchDocumentPageModContentFactoryImpl,0,102,0,0,0,27,0,4,0,4
Citizen Intelligence Agency,com.hack23.cia.web.impl.ui.application.views.user.document.pagemode,DocumentPageVisitHistoryPageModContentFactoryImpl,28,16,0,4,7,3,1,4,1,2
Citizen Intelligence Agency,com.hack23.cia.web.impl.ui.application.views.user.document.pagemode,DocumentOverviewPageModContentFactoryImpl,86,158,4,6,21,8,4,5,1,3
Citizen Intelligence Agency,com.hack23.cia.web.impl.ui.application.views.user.document.pagemode,DocumentDataPageModContentFactoryImpl,82,16,2,4,22,3,2,4,1,2
Citizen Intelligence Agency,com.hack23.cia.web.impl.ui.application.views.user.document.pagemode,DocumentDecisionPageModContentFactoryImpl,58,61,6,4,15,4,4,5,1,3
Citizen Intelligence Agency,com.hack23.cia.web.impl.ui.application.views.user.document.pagemode,DocumentsOverviewPageModContentFactoryImpl,0,221,0,0,0,19,0,4,0,4
Citizen Intelligence Agency,com.hack23.cia.web.impl.ui.application.views.user.document.pagemode,DocumentPersonReferencesPageModContentFactoryImpl,63,57,6,4,16,6,4,5,1,3
Citizen Intelligence Agency,com.hack23.cia.web.impl.ui.application.views.user.document.pagemode,DocumentDetailsPageModContentFactoryImpl,63,39,6,4,15,5,4,5,1,3
Citizen Intelligence Agency,com.hack23.cia.web.impl.ui.application.views.user.document.pagemode,DocumentActivityPageModContentFactoryImpl,63,51,6,4,15,5,4,5,1,3
Citizen Intelligence Agency,com.hack23.cia.web.impl.ui.application.views.user.document.pagemode,DocumentAttachementsPageModContentFactoryImpl,135,43,10,4,34,5,7,5,2,3
Citizen Intelligence Agency,com.hack23.cia.web.impl.ui.application.views.user.document.pagemode,DocumentReferencesPageModContentFactoryImpl,63,39,6,4,15,5,4,5,1,3
Citizen Intelligence Agency,com.hack23.cia.web.impl.ui.application.views.common.gridfactory.impl,GridFactoryImpl.BeanNestedPropertyValueProvider,26,6,0,0,4,3,1,1,1,1
Citizen Intelligence Agency,com.hack23.cia.web.impl.ui.application.views.common.gridfactory.impl,GridFactoryImpl,35,173,7,15,5,42,6,14,0,9
Citizen Intelligence Agency,com.hack23.cia.web.impl.ui.application.views.admin.common,AbstractAdminView,0,5,0,0,0,2,0,1,0,1
Citizen Intelligence Agency,com.hack23.cia.web.impl.ui.application.views.common.paging,PagingUtilImpl,64,84,10,4,8,25,8,2,1,2
Citizen Intelligence Agency,com.hack23.cia.web.impl.ui.application.views.common.chartfactory.impl,AbstractChartDataManagerImpl,37,105,3,1,9,30,4,6,2,6
Citizen Intelligence Agency,com.hack23.cia.web.impl.ui.application.views.common.chartfactory.impl,ViewRiksdagenVoteDataBallotPartySummaryChartDataManagerImpl,14,3,0,0,3,2,1,1,1,1
Citizen Intelligence Agency,com.hack23.cia.web.impl.ui.application.views.common.chartfactory.impl,CommitteeGhantChartManagerImpl.RoleMapping,6,0,0,0,1,0,1,0,1,0
Citizen Intelligence Agency,com.hack23.cia.web.impl.ui.application.views.common.chartfactory.impl,DocumentChartDataManagerImpl,104,68,17,1,14,18,12,4,3,4
Citizen Intelligence Agency,com.hack23.cia.web.impl.ui.application.views.common.chartfactory.impl,DecisionFlowChartManagerImpl,484,64,52,2,86,17,35,3,8,3
Citizen Intelligence Agency,com.hack23.cia.web.impl.ui.application.views.common.chartfactory.impl,MinistryGhantChartManagerImpl,6,14,0,0,0,5,1,4,1,4
Citizen Intelligence Agency,com.hack23.cia.web.impl.ui.application.views.common.chartfactory.impl,PartyGhantChartManagerImpl.RoleMapping,3,0,0,0,1,0,1,0,1,0
Citizen Intelligence Agency,com.hack23.cia.web.impl.ui.application.views.common.chartfactory.impl,MinistryGhantChartManagerImpl.new AbstractGhantChartManagerImpl.StepMapping() {...},49,6,4,0,13,1,10,1,8,1
Citizen Intelligence Agency,com.hack23.cia.web.impl.ui.application.views.common.chartfactory.impl,DecisionChartDataManagerImpl,237,72,23,1,40,18,20,3,8,3
Citizen Intelligence Agency,com.hack23.cia.web.impl.ui.application.views.common.chartfactory.impl,PoliticianDataManagerImpl,122,3,6,0,24,2,6,1,3,1
Citizen Intelligence Agency,com.hack23.cia.web.impl.ui.application.views.common.chartfactory.impl,GovernmentOutcomeChartDataManagerImpl,0,90,0,2,0,19,0,4,0,3
