GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
model.external.riksdagen.dokumentstatus.impl,com.hack23.cia.model.external.riksdagen.dokumentstatus.impl,DocumentActivityStatusType,0,76,0,4,0,12,0,6,0,4
model.external.riksdagen.dokumentstatus.impl,com.hack23.cia.model.external.riksdagen.dokumentstatus.impl,DocumentDetailData,0,58,0,0,0,21,0,14,0,14
model.external.riksdagen.dokumentstatus.impl,com.hack23.cia.model.external.riksdagen.dokumentstatus.impl,DocumentPersonReferenceContainer_,3,0,0,0,1,0,1,0,1,0
model.external.riksdagen.dokumentstatus.impl,com.hack23.cia.model.external.riksdagen.dokumentstatus.impl,DocumentAttachmentContainer_,3,0,0,0,1,0,1,0,1,0
model.external.riksdagen.dokumentstatus.impl,com.hack23.cia.model.external.riksdagen.dokumentstatus.impl,ReferenceType,0,87,0,4,0,13,0,6,0,4
model.external.riksdagen.dokumentstatus.impl,com.hack23.cia.model.external.riksdagen.dokumentstatus.impl,DocumentProposalContainer,0,38,0,0,0,11,0,8,0,8
model.external.riksdagen.dokumentstatus.impl,com.hack23.cia.model.external.riksdagen.dokumentstatus.impl,DocumentAttachment,0,74,0,0,0,26,0,17,0,17
model.external.riksdagen.dokumentstatus.impl,com.hack23.cia.model.external.riksdagen.dokumentstatus.impl,DocumentDetailData_,3,0,0,0,1,0,1,0,1,0
model.external.riksdagen.dokumentstatus.impl,com.hack23.cia.model.external.riksdagen.dokumentstatus.impl,DocumentType,0,384,0,4,0,40,0,6,0,4
model.external.riksdagen.dokumentstatus.impl,com.hack23.cia.model.external.riksdagen.dokumentstatus.impl,ObjectFactory,0,74,0,0,0,18,0,17,0,17
model.external.riksdagen.dokumentstatus.impl,com.hack23.cia.model.external.riksdagen.dokumentstatus.impl,DocumentActivityContainer_,3,0,0,0,1,0,1,0,1,0
model.external.riksdagen.dokumentstatus.impl,com.hack23.cia.model.external.riksdagen.dokumentstatus.impl,DocumentStatusContainer,0,122,0,0,0,46,0,29,0,29
