GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
model.external.riksdagen.person.impl,com.hack23.cia.model.external.riksdagen.person.impl,PersonContainerData_,3,0,0,0,1,0,1,0,1,0
model.external.riksdagen.person.impl,com.hack23.cia.model.external.riksdagen.person.impl,AssignmentData_,3,0,0,0,1,0,1,0,1,0
model.external.riksdagen.person.impl,com.hack23.cia.model.external.riksdagen.person.impl,PersonContainerData,0,38,0,0,0,11,0,8,0,8
model.external.riksdagen.person.impl,com.hack23.cia.model.external.riksdagen.person.impl,PersonData,0,210,0,0,0,84,0,52,0,52
model.external.riksdagen.person.impl,com.hack23.cia.model.external.riksdagen.person.impl,PersonAssignmentData_,3,0,0,0,1,0,1,0,1,0
model.external.riksdagen.person.impl,com.hack23.cia.model.external.riksdagen.person.impl,PersonAssignmentData,0,43,0,0,0,12,0,8,0,8
model.external.riksdagen.person.impl,com.hack23.cia.model.external.riksdagen.person.impl,DetailData,0,74,0,0,0,26,0,17,0,17
model.external.riksdagen.person.impl,com.hack23.cia.model.external.riksdagen.person.impl,PersonData_,3,0,0,0,1,0,1,0,1,0
model.external.riksdagen.person.impl,com.hack23.cia.model.external.riksdagen.person.impl,PersonDetailData,0,43,0,0,0,12,0,8,0,8
model.external.riksdagen.person.impl,com.hack23.cia.model.external.riksdagen.person.impl,PersonDetailData_,3,0,0,0,1,0,1,0,1,0
model.external.riksdagen.person.impl,com.hack23.cia.model.external.riksdagen.person.impl,ObjectFactory,0,42,0,0,0,10,0,9,0,9
model.external.riksdagen.person.impl,com.hack23.cia.model.external.riksdagen.person.impl,SexType,0,65,0,4,0,11,0,6,0,4
model.external.riksdagen.person.impl,com.hack23.cia.model.external.riksdagen.person.impl,AssignmentData,0,134,0,0,0,51,0,32,0,32
model.external.riksdagen.person.impl,com.hack23.cia.model.external.riksdagen.person.impl,DetailData_,3,0,0,0,1,0,1,0,1,0
