GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
model.external.riksdagen.personlista.impl,com.hack23.cia.model.external.riksdagen.personlista.impl,RoleDataType,120,0,4,0,16,0,6,0,4,0
model.external.riksdagen.personlista.impl,com.hack23.cia.model.external.riksdagen.personlista.impl,PersonElement_,3,0,0,0,1,0,1,0,1,0
model.external.riksdagen.personlista.impl,com.hack23.cia.model.external.riksdagen.personlista.impl,SexType,31,34,4,0,5,6,4,2,2,2
model.external.riksdagen.personlista.impl,com.hack23.cia.model.external.riksdagen.personlista.impl,PersonElement,975,0,38,0,230,0,75,0,56,0
model.external.riksdagen.personlista.impl,com.hack23.cia.model.external.riksdagen.personlista.impl,PersonDetailElement_,3,0,0,0,1,0,1,0,1,0
model.external.riksdagen.personlista.impl,com.hack23.cia.model.external.riksdagen.personlista.impl,RoleStatus,31,397,4,0,5,39,4,2,2,2
model.external.riksdagen.personlista.impl,com.hack23.cia.model.external.riksdagen.personlista.impl,AssignmentElement,590,0,24,0,142,0,49,0,37,0
model.external.riksdagen.personlista.impl,com.hack23.cia.model.external.riksdagen.personlista.impl,AssignmentElement_,3,0,0,0,1,0,1,0,1,0
model.external.riksdagen.personlista.impl,com.hack23.cia.model.external.riksdagen.personlista.impl,ObjectFactory,42,0,0,0,10,0,9,0,9,0
model.external.riksdagen.personlista.impl,com.hack23.cia.model.external.riksdagen.personlista.impl,RoundtripTest,0,7,0,0,0,3,0,3,0,3
model.external.riksdagen.personlista.impl,com.hack23.cia.model.external.riksdagen.personlista.impl,OrgCode,31,265,4,0,5,27,4,2,2,2
model.external.riksdagen.personlista.impl,com.hack23.cia.model.external.riksdagen.personlista.impl,PersonContainerElement,220,0,32,0,47,0,31,0,15,0
model.external.riksdagen.personlista.impl,com.hack23.cia.model.external.riksdagen.personlista.impl,DetailElement_,3,0,0,0,1,0,1,0,1,0
model.external.riksdagen.personlista.impl,com.hack23.cia.model.external.riksdagen.personlista.impl,DetailElement,310,0,14,0,77,0,29,0,22,0
model.external.riksdagen.personlista.impl,com.hack23.cia.model.external.riksdagen.personlista.impl,PersonContainerElement_,3,0,0,0,1,0,1,0,1,0
model.external.riksdagen.personlista.impl,com.hack23.cia.model.external.riksdagen.personlista.impl,PersonAssignmentElement_,3,0,0,0,1,0,1,0,1,0
model.external.riksdagen.personlista.impl,com.hack23.cia.model.external.riksdagen.personlista.impl,PersonDetailElement,142,0,8,0,38,0,17,0,13,0
model.external.riksdagen.personlista.impl,com.hack23.cia.model.external.riksdagen.personlista.impl,PersonAssignmentElement,220,0,32,0,47,0,31,0,15,0
