GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
model.external.worldbank.indicators.impl,com.hack23.cia.model.external.worldbank.indicators.impl,Source,0,42,0,0,0,14,0,10,0,10
model.external.worldbank.indicators.impl,com.hack23.cia.model.external.worldbank.indicators.impl,ObjectFactory,0,38,0,0,0,9,0,8,0,8
model.external.worldbank.indicators.impl,com.hack23.cia.model.external.worldbank.indicators.impl,IndicatorsElement,0,110,0,6,0,38,0,23,0,20
model.external.worldbank.indicators.impl,com.hack23.cia.model.external.worldbank.indicators.impl,SourceName,0,252,0,4,0,28,0,6,0,4
model.external.worldbank.indicators.impl,com.hack23.cia.model.external.worldbank.indicators.impl,IndicatorElement_,3,0,0,0,1,0,1,0,1,0
model.external.worldbank.indicators.impl,com.hack23.cia.model.external.worldbank.indicators.impl,IndicatorElement,0,98,0,0,0,36,0,23,0,23
model.external.worldbank.indicators.impl,com.hack23.cia.model.external.worldbank.indicators.impl,Source_,3,0,0,0,1,0,1,0,1,0
model.external.worldbank.indicators.impl,com.hack23.cia.model.external.worldbank.indicators.impl,Topics,0,62,0,6,0,18,0,11,0,8
model.external.worldbank.indicators.impl,com.hack23.cia.model.external.worldbank.indicators.impl,Topic,0,50,0,0,0,16,0,11,0,11
model.external.worldbank.indicators.impl,com.hack23.cia.model.external.worldbank.indicators.impl,IndicatorsElement_,3,0,0,0,1,0,1,0,1,0
model.external.worldbank.indicators.impl,com.hack23.cia.model.external.worldbank.indicators.impl,Topics_,3,0,0,0,1,0,1,0,1,0
model.external.worldbank.indicators.impl,com.hack23.cia.model.external.worldbank.indicators.impl,Topic_,3,0,0,0,1,0,1,0,1,0
