GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
model.internal.application.user.impl/model.common.impl,com.hack23.cia.model.common.impl,AbstractModelObjectImpl,18,0,0,0,4,0,4,0,4,0
model.internal.application.user.impl/model.common.impl,com.hack23.cia.model.common.impl.xml,XmlDateTypeAdapter,75,0,10,0,25,0,9,0,4,0
model.internal.application.user.impl/model.common.impl,com.hack23.cia.model.common.impl.xml,XmlDateTimeTypeAdapter,23,0,4,0,10,0,5,0,3,0
model.internal.application.user.impl/model.common.impl,com.hack23.cia.model.common.impl.xml,XmlTimeTypeAdapter,23,0,4,0,10,0,5,0,3,0
model.internal.application.user.impl/model.external.worldbank.countries.impl,com.hack23.cia.model.external.worldbank.countries.impl,IncomeLevel,42,0,0,0,14,0,10,0,10,0
model.internal.application.user.impl/model.external.worldbank.countries.impl,com.hack23.cia.model.external.worldbank.countries.impl,LendingType,42,0,0,0,14,0,10,0,10,0
model.internal.application.user.impl/model.external.worldbank.countries.impl,com.hack23.cia.model.external.worldbank.countries.impl,LendingType_,3,0,0,0,1,0,1,0,1,0
model.internal.application.user.impl/model.external.worldbank.countries.impl,com.hack23.cia.model.external.worldbank.countries.impl,CountryElement_,3,0,0,0,1,0,1,0,1,0
model.internal.application.user.impl/model.external.worldbank.countries.impl,com.hack23.cia.model.external.worldbank.countries.impl,CountriesElement,110,0,6,0,38,0,23,0,20,0
model.internal.application.user.impl/model.external.worldbank.countries.impl,com.hack23.cia.model.external.worldbank.countries.impl,Region,46,0,0,0,14,0,10,0,10,0
model.internal.application.user.impl/model.external.worldbank.countries.impl,com.hack23.cia.model.external.worldbank.countries.impl,ObjectFactory,27,0,0,0,8,0,7,0,7,0
model.internal.application.user.impl/model.external.worldbank.countries.impl,com.hack23.cia.model.external.worldbank.countries.impl,RegionCategory,131,0,4,0,17,0,6,0,4,0
model.internal.application.user.impl/model.external.worldbank.countries.impl,com.hack23.cia.model.external.worldbank.countries.impl,IncomeLevel_,3,0,0,0,1,0,1,0,1,0
model.internal.application.user.impl/model.external.worldbank.countries.impl,com.hack23.cia.model.external.worldbank.countries.impl,IncomeLevelCategory,120,0,4,0,16,0,6,0,4,0
model.internal.application.user.impl/model.external.worldbank.countries.impl,com.hack23.cia.model.external.worldbank.countries.impl,Adminregion,42,0,0,0,14,0,10,0,10,0
model.internal.application.user.impl/model.external.worldbank.countries.impl,com.hack23.cia.model.external.worldbank.countries.impl,AdminRegionCategory,109,0,4,0,15,0,6,0,4,0
model.internal.application.user.impl/model.external.worldbank.countries.impl,com.hack23.cia.model.external.worldbank.countries.impl,Region_,3,0,0,0,1,0,1,0,1,0
model.internal.application.user.impl/model.external.worldbank.countries.impl,com.hack23.cia.model.external.worldbank.countries.impl,CountriesElement_,3,0,0,0,1,0,1,0,1,0
model.internal.application.user.impl/model.external.worldbank.countries.impl,com.hack23.cia.model.external.worldbank.countries.impl,LendingTypeCategory,109,0,4,0,15,0,6,0,4,0
model.internal.application.user.impl/model.external.worldbank.countries.impl,com.hack23.cia.model.external.worldbank.countries.impl,CountryElement,146,0,0,0,56,0,35,0,35,0
model.internal.application.user.impl/model.external.worldbank.countries.impl,com.hack23.cia.model.external.worldbank.countries.impl,Adminregion_,3,0,0,0,1,0,1,0,1,0
model.internal.application.user.impl/model.external.worldbank.data.impl,com.hack23.cia.model.external.worldbank.data.impl,Country_,3,0,0,0,1,0,1,0,1,0
model.internal.application.user.impl/model.external.worldbank.data.impl,com.hack23.cia.model.external.worldbank.data.impl,DataElement,110,0,6,0,38,0,23,0,20,0
model.internal.application.user.impl/model.external.worldbank.data.impl,com.hack23.cia.model.external.worldbank.data.impl,Country,42,0,0,0,14,0,10,0,10,0
model.internal.application.user.impl/model.external.worldbank.data.impl,com.hack23.cia.model.external.worldbank.data.impl,Indicator_,3,0,0,0,1,0,1,0,1,0
model.internal.application.user.impl/model.external.worldbank.data.impl,com.hack23.cia.model.external.worldbank.data.impl,WorldBankData,74,0,0,0,26,0,17,0,17,0
model.internal.application.user.impl/model.external.worldbank.data.impl,com.hack23.cia.model.external.worldbank.data.impl,ObjectFactory,19,0,0,0,6,0,5,0,5,0
model.internal.application.user.impl/model.external.worldbank.data.impl,com.hack23.cia.model.external.worldbank.data.impl,Indicator,42,0,0,0,14,0,10,0,10,0
model.internal.application.user.impl/model.external.worldbank.data.impl,com.hack23.cia.model.external.worldbank.data.impl,WorldBankData_,3,0,0,0,1,0,1,0,1,0
model.internal.application.user.impl/model.external.worldbank.data.impl,com.hack23.cia.model.external.worldbank.data.impl,DataElement_,3,0,0,0,1,0,1,0,1,0
model.internal.application.user.impl/model.external.worldbank.indicators.impl,com.hack23.cia.model.external.worldbank.indicators.impl,Source,42,0,0,0,14,0,10,0,10,0
