GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
model.internal.application.user.impl,com.hack23.cia.model.internal.application.data.document.impl,ViewRiksdagenPoliticianDocument_,3,0,0,0,1,0,1,0,1,0
model.internal.application.user.impl,com.hack23.cia.model.internal.application.data.document.impl,RiksdagenDocumentPersonSummaryEmbeddedId_,3,0,0,0,1,0,1,0,1,0
model.internal.application.user.impl,com.hack23.cia.model.internal.application.data.document.impl,RiksdagenDocumentTypeSummaryEmbeddedId_,3,0,0,0,1,0,1,0,1,0
model.internal.application.user.impl,com.hack23.cia.model.internal.application.data.document.impl,RiksdagenDocumentOrgSummaryEmbeddedId_,3,0,0,0,1,0,1,0,1,0
model.internal.application.user.impl,com.hack23.cia.model.internal.application.data.document.impl,ViewDocumentDataCommitteeReportUrl_,3,0,0,0,1,0,1,0,1,0
model.internal.application.user.impl,com.hack23.cia.model.internal.application.data.document.impl,RiksdagenDocumentTypeSummaryEmbeddedId,0,42,0,0,0,14,0,10,0,10
model.internal.application.user.impl,com.hack23.cia.model.internal.application.data.document.impl,ViewRiksdagenDocumentTypeDailySummary,0,42,0,0,0,14,0,10,0,10
model.internal.application.user.impl,com.hack23.cia.model.internal.application.data.document.impl,RiksdagenDocumentPartySummaryEmbeddedId_,3,0,0,0,1,0,1,0,1,0
model.internal.application.user.impl,com.hack23.cia.model.internal.application.data.document.impl,ViewRiksdagenPersonSignedDocumentSummary,0,66,0,0,0,24,0,16,0,16
model.internal.application.user.impl,com.hack23.cia.model.internal.application.data.document.impl,ViewDocumentDataCommitteeReportUrl,0,42,0,0,0,14,0,10,0,10
model.internal.application.user.impl,com.hack23.cia.model.internal.application.data.document.impl,ViewRiksdagenMemberProposals,0,179,0,0,0,74,0,50,0,50
model.internal.application.user.impl,com.hack23.cia.model.internal.application.data.document.impl,ViewRiksdagenPartyDocumentDailySummary,0,42,0,0,0,14,0,10,0,10
model.internal.application.user.impl,com.hack23.cia.model.internal.application.data.document.impl,ViewRiksdagenPersonSignedDocumentSummary_,3,0,0,0,1,0,1,0,1,0
model.internal.application.user.impl,com.hack23.cia.model.internal.application.data.document.impl,ViewRiksdagenOrgDocumentDailySummary,0,54,0,0,0,19,0,13,0,13
model.internal.application.user.impl,com.hack23.cia.model.internal.application.data.document.impl,RiksdagenDocumentPersonSummaryEmbeddedId,0,54,0,0,0,19,0,13,0,13
model.internal.application.user.impl,com.hack23.cia.model.internal.application.data.document.impl,RiksdagenDocumentOrgSummaryEmbeddedId,0,42,0,0,0,14,0,10,0,10
model.internal.application.user.impl,com.hack23.cia.model.internal.application.data.document.impl,ViewRiksdagenDocumentTypeDailySummary_,3,0,0,0,1,0,1,0,1,0
model.internal.application.user.impl,com.hack23.cia.model.internal.application.data.document.impl,RiksdagenDocumentPartySummaryEmbeddedId,0,54,0,0,0,19,0,13,0,13
model.internal.application.user.impl,com.hack23.cia.model.internal.application.data.document.impl,ViewRiksdagenPartyDocumentDailySummary_,3,0,0,0,1,0,1,0,1,0
model.internal.application.user.impl,com.hack23.cia.model.internal.application.data.document.impl,ViewRiksdagenPoliticianDocument,0,234,0,0,0,94,0,58,0,58
model.internal.application.user.impl,com.hack23.cia.model.internal.application.data.document.impl,ViewRiksdagenOrgDocumentDailySummary_,3,0,0,0,1,0,1,0,1,0
model.internal.application.user.impl,com.hack23.cia.model.internal.application.data.document.impl,ViewRiksdagenMemberProposals_,3,0,0,0,1,0,1,0,1,0
model.internal.application.user.impl,com.hack23.cia.model.internal.application.data.seasonal.impl,ViewRiksdagenSeasonalQuarterlyActivityEmbeddedId,0,32,0,0,0,11,0,8,0,8
model.internal.application.user.impl,com.hack23.cia.model.internal.application.data.seasonal.impl,ViewRiksdagenSeasonalQuarterlyActivityEmbeddedId_,3,0,0,0,1,0,1,0,1,0
model.internal.application.user.impl,com.hack23.cia.model.internal.application.data.seasonal.impl,ViewRiksdagenQ4ElectionYearComparison,0,151,0,0,0,62,0,42,0,42
model.internal.application.user.impl,com.hack23.cia.model.internal.application.data.seasonal.impl,ViewRiksdagenSeasonalAnomalyDetection_,3,0,0,0,1,0,1,0,1,0
model.internal.application.user.impl,com.hack23.cia.model.internal.application.data.seasonal.impl,ViewRiksdagenSeasonalQuarterlyActivity_,3,0,0,0,1,0,1,0,1,0
model.internal.application.user.impl,com.hack23.cia.model.internal.application.data.seasonal.impl,ViewRiksdagenElectionYearAnomalies_,3,0,0,0,1,0,1,0,1,0
model.internal.application.user.impl,com.hack23.cia.model.internal.application.data.seasonal.impl,ViewRiksdagenElectionYearVsMidterm_,3,0,0,0,1,0,1,0,1,0
model.internal.application.user.impl,com.hack23.cia.model.internal.application.data.seasonal.impl,ViewRiksdagenSeasonalAnomalyDetection,18,172,4,0,2,71,4,48,2,48
model.internal.application.user.impl,com.hack23.cia.model.internal.application.data.seasonal.impl,ViewRiksdagenQ4ElectionYearComparison_,3,0,0,0,1,0,1,0,1,0
model.internal.application.user.impl,com.hack23.cia.model.internal.application.data.seasonal.impl,ViewRiksdagenElectionYearBehavioralPatterns_,3,0,0,0,1,0,1,0,1,0
model.internal.application.user.impl,com.hack23.cia.model.internal.application.data.seasonal.impl,ViewRiksdagenElectionYearAnomalies,0,200,0,0,0,83,0,56,0,56
model.internal.application.user.impl,com.hack23.cia.model.internal.application.data.seasonal.impl,ViewRiksdagenElectionYearVsMidterm,0,123,0,0,0,50,0,34,0,34
model.internal.application.user.impl,com.hack23.cia.model.internal.application.data.seasonal.impl,ViewRiksdagenElectionYearBehavioralPatterns,0,277,0,0,0,116,0,78,0,78
model.internal.application.user.impl,com.hack23.cia.model.internal.application.data.seasonal.impl,ViewRiksdagenSeasonalQuarterlyActivity,18,130,4,0,2,53,4,36,2,36
