GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
service.api,com.hack23.cia.service.api.action.admin,UpdateApplicationConfigurationRequest,0,52,0,0,0,23,0,15,0,15
service.api,com.hack23.cia.service.api.action.admin,RefreshDataViewsRequest,0,10,0,0,0,5,0,3,0,3
service.api,com.hack23.cia.service.api.action.admin,RefreshDataViewsResponse,4,0,0,0,2,0,1,0,1,0
service.api,com.hack23.cia.service.api.action.admin,ManageUserAccountRequest,0,24,0,0,0,11,0,7,0,7
service.api,com.hack23.cia.service.api.action.admin,SendEmailResponse,4,0,0,0,2,0,1,0,1,0
service.api,com.hack23.cia.service.api.action.admin,RemoveDataRequest.DataType,0,34,0,0,0,2,0,1,0,1
service.api,com.hack23.cia.service.api.action.admin,UpdateSearchIndexRequest,0,10,0,0,0,5,0,3,0,3
service.api,com.hack23.cia.service.api.action.admin,SendEmailRequest,0,31,0,0,0,14,0,9,0,9
service.api,com.hack23.cia.service.api.action.admin,RemoveDataResponse,4,0,0,0,2,0,1,0,1,0
service.api,com.hack23.cia.service.api.action.admin,RemoveDataRequest,0,17,0,0,0,8,0,5,0,5
service.api,com.hack23.cia.service.api.action.admin,UpdateSearchIndexResponse,4,0,0,0,2,0,1,0,1,0
service.api,com.hack23.cia.service.api.action.admin,UpdateApplicationConfigurationResponse,4,0,0,0,2,0,1,0,1,0
service.api,com.hack23.cia.service.api.action.admin,ManageUserAccountRequest.AccountOperation,0,64,0,0,0,7,0,1,0,1
service.api,com.hack23.cia.service.api.action.admin,ManageUserAccountResponse,0,4,0,0,0,2,0,1,0,1
service.api,com.hack23.cia.service.api.action.user,DocumentWordCountRequest,0,24,0,0,0,11,0,7,0,7
service.api,com.hack23.cia.service.api.action.user,SetGoogleAuthenticatorCredentialRequest,0,17,0,0,0,8,0,5,0,5
service.api,com.hack23.cia.service.api.action.user,SearchDocumentResponse,7,33,1,1,1,12,1,7,0,7
service.api,com.hack23.cia.service.api.action.user,DisableGoogleAuthenticatorCredentialRequest,0,17,0,0,0,8,0,5,0,5
service.api,com.hack23.cia.service.api.action.user,DisableGoogleAuthenticatorCredentialResponse,4,0,0,0,2,0,1,0,1,0
service.api,com.hack23.cia.service.api.action.user,DocumentWordCountResponse,0,11,0,0,0,5,0,3,0,3
service.api,com.hack23.cia.service.api.action.user,SetGoogleAuthenticatorCredentialResponse,7,40,1,1,1,15,1,9,0,9
service.api,com.hack23.cia.service.api.action.user,SearchDocumentRequest,0,24,0,0,0,11,0,7,0,7
service.api,com.hack23.cia.service.api.action.application,CreateApplicationEventResponse,4,0,0,0,2,0,1,0,1,0
service.api,com.hack23.cia.service.api.action.application,CreateApplicationSessionResponse,4,0,0,0,2,0,1,0,1,0
service.api,com.hack23.cia.service.api.action.application,RegisterUserResponse.ErrorMessage,0,14,0,0,0,2,0,1,0,1
service.api,com.hack23.cia.service.api.action.application,RegisterUserRequest,0,45,0,0,0,20,0,13,0,13
service.api,com.hack23.cia.service.api.action.application,LogoutResponse,4,0,0,0,2,0,1,0,1,0
service.api,com.hack23.cia.service.api.action.application,CreateApplicationSessionRequest,0,59,0,0,0,26,0,17,0,17
service.api,com.hack23.cia.service.api.action.application,LogoutRequest,0,10,0,0,0,5,0,3,0,3
service.api,com.hack23.cia.service.api.action.application,CreateApplicationEventRequest,0,75,0,0,0,33,0,22,0,22
service.api,com.hack23.cia.service.api.action.application,DestroyApplicationSessionResponse,4,0,0,0,2,0,1,0,1,0
service.api,com.hack23.cia.service.api.action.application,DestroyApplicationSessionRequest,0,10,0,0,0,5,0,3,0,3
service.api,com.hack23.cia.service.api.action.application,RegisterUserResponse,0,11,0,0,0,5,0,3,0,3
service.api,com.hack23.cia.service.api.action.application,LoginResponse,4,0,0,0,2,0,1,0,1,0
service.api,com.hack23.cia.service.api.action.application,LoginResponse.ErrorMessage,0,14,0,0,0,2,0,1,0,1
service.api,com.hack23.cia.service.api.action.application,LoginRequest,0,31,0,0,0,14,0,9,0,9
service.api,com.hack23.cia.service.api.action.common,AbstractResponse,10,6,0,0,4,3,3,1,3,1
service.api,com.hack23.cia.service.api.action.common,AbstractRequest,0,3,0,0,0,2,0,1,0,1
service.api,com.hack23.cia.service.api.action.common,AbstractMessage,0,18,0,0,0,5,0,4,0,4
service.api,com.hack23.cia.service.api.action.common,ServiceResponse.ServiceResult,0,24,0,0,0,3,0,1,0,1
service.api,com.hack23.cia.service.api.action.kpi,RuleViolation,0,69,0,0,0,22,0,12,0,12
service.api,com.hack23.cia.service.api.action.kpi,ComplianceCheckResponse,0,51,0,0,0,14,0,7,0,7
service.api,com.hack23.cia.service.api.action.kpi,ResourceType,0,74,0,0,0,8,0,1,0,1
service.api,com.hack23.cia.service.api.action.kpi,ComplianceCheckRequest,0,10,0,0,0,5,0,3,0,3
service.api,com.hack23.cia.service.api.action.kpi,Status,0,54,0,0,0,6,0,1,0,1
