GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
service.component.agent.impl/service.external.riksdagen,com.hack23.cia.service.external.riksdagen.impl,RiksdagenBallotApiImpl,185,0,6,0,42,0,7,0,4,0
service.component.agent.impl/service.external.riksdagen,com.hack23.cia.service.external.riksdagen.impl,RiksdagenPersonApiImpl,61,0,0,0,16,0,4,0,4,0
service.component.agent.impl/service.external.riksdagen,com.hack23.cia.service.external.riksdagen.impl,RiksdagenCommitteeProposalApiImpl,38,0,0,0,10,0,3,0,3,0
service.component.agent.impl/service.external.riksdagen,com.hack23.cia.service.external.riksdagen.impl,RiksdagenDateUtil,120,0,18,0,27,0,13,0,4,0
service.component.agent.impl/service.external.riksdagen,com.hack23.cia.service.external.riksdagen.impl,RiksdagenDocumentApiImpl,323,0,10,0,71,0,17,0,12,0
service.component.agent.impl/service.external.riksdagen,com.hack23.cia.service.external.riksdagen.api,DocumentTypeNames,357,0,0,0,35,0,4,0,4,0
service.component.agent.impl/service.external.riksdagen,com.hack23.cia.service.external.riksdagen.api,DataFailureException,4,0,0,0,2,0,1,0,1,0
service.component.agent.impl/service.external.esv,com.hack23.cia.service.external.esv.impl,EsvGovernmentBodyOperationOutcomeReaderImpl,391,0,16,0,54,0,18,0,10,0
service.component.agent.impl/service.external.esv,com.hack23.cia.service.external.esv.impl,EsvExcelReaderImpl,250,0,30,0,59,0,27,0,12,0
service.component.agent.impl/service.external.esv,com.hack23.cia.service.external.esv.impl,EsvApiImpl,359,0,40,0,71,0,40,0,20,0
service.component.agent.impl/service.external.esv,com.hack23.cia.service.external.esv.impl,EsvGovernmentOperationsExcelReaderImpl,87,0,6,0,23,0,6,0,3,0
service.component.agent.impl/service.external.esv,com.hack23.cia.service.external.esv.api,GovernmentOperationPeriodOutcome,65,0,0,0,24,0,17,0,17,0
service.component.agent.impl/service.external.esv,com.hack23.cia.service.external.esv.api,GovernmentOperationPeriodOutcome.Variables,92,0,0,0,12,0,3,0,3,0
service.component.agent.impl/service.external.esv,com.hack23.cia.service.external.esv.api,GovernmentBodyAnnualOutcomeSummary,92,0,0,0,24,0,13,0,13,0
service.component.agent.impl/service.external.esv,com.hack23.cia.service.external.esv.api,GovernmentBodyAnnualSummary,84,0,0,0,27,0,15,0,15,0
service.component.agent.impl/service.external.worldbank,com.hack23.cia.service.external.worldbank.impl,BaseWorldBankApiImpl,9,0,0,0,4,0,2,0,2,0
service.component.agent.impl/service.external.worldbank,com.hack23.cia.service.external.worldbank.impl,WorldbankIndicatorApiImpl,178,0,10,0,36,0,11,0,6,0
service.component.agent.impl/service.external.worldbank,com.hack23.cia.service.external.worldbank.impl,WorldbankDataApiImpl,39,0,0,0,8,0,3,0,3,0
service.component.agent.impl/service.external.worldbank,com.hack23.cia.service.external.worldbank.impl,WorldbankTopicApiImpl,29,0,0,0,8,0,3,0,3,0
service.component.agent.impl/service.external.worldbank,com.hack23.cia.service.external.worldbank.impl,WorldbankCountryApiImpl,29,0,0,0,8,0,3,0,3,0
service.component.agent.impl/service.external.worldbank,com.hack23.cia.service.external.worldbank.api,DataFailureException,4,0,0,0,2,0,1,0,1,0
service.component.agent.impl/service.external.val,com.hack23.cia.service.external.val.impl,ValApiImpl,163,0,0,0,40,0,8,0,8,0
service.component.agent.impl/service.external.val,com.hack23.cia.service.external.val.api,ValApiException,4,0,0,0,2,0,1,0,1,0
