GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
service.data.api/model.internal.application.user.impl,com.hack23.cia.model.internal.application.data.document.impl,ViewRiksdagenPoliticianDocument_,3,0,0,0,1,0,1,0,1,0
service.data.api/model.internal.application.user.impl,com.hack23.cia.model.internal.application.data.document.impl,ViewRiksdagenPartyDocumentDailySummary,0,42,0,0,0,14,0,10,0,10
service.data.api/model.internal.application.user.impl,com.hack23.cia.model.internal.application.data.document.impl,RiksdagenDocumentPersonSummaryEmbeddedId_,3,0,0,0,1,0,1,0,1,0
service.data.api/model.internal.application.user.impl,com.hack23.cia.model.internal.application.data.document.impl,ViewRiksdagenOrgDocumentDailySummary,0,54,0,0,0,19,0,13,0,13
service.data.api/model.internal.application.user.impl,com.hack23.cia.model.internal.application.data.document.impl,RiksdagenDocumentPersonSummaryEmbeddedId,0,54,0,0,0,19,0,13,0,13
service.data.api/model.internal.application.user.impl,com.hack23.cia.model.internal.application.data.document.impl,RiksdagenDocumentTypeSummaryEmbeddedId_,3,0,0,0,1,0,1,0,1,0
service.data.api/model.internal.application.user.impl,com.hack23.cia.model.internal.application.data.document.impl,RiksdagenDocumentOrgSummaryEmbeddedId_,3,0,0,0,1,0,1,0,1,0
service.data.api/model.internal.application.user.impl,com.hack23.cia.model.internal.application.data.document.impl,RiksdagenDocumentTypeSummaryEmbeddedId,0,42,0,0,0,14,0,10,0,10
service.data.api/model.internal.application.user.impl,com.hack23.cia.model.internal.application.data.document.impl,RiksdagenDocumentOrgSummaryEmbeddedId,0,42,0,0,0,14,0,10,0,10
service.data.api/model.internal.application.user.impl,com.hack23.cia.model.internal.application.data.document.impl,ViewRiksdagenDocumentTypeDailySummary,0,42,0,0,0,14,0,10,0,10
service.data.api/model.internal.application.user.impl,com.hack23.cia.model.internal.application.data.document.impl,ViewRiksdagenPoliticianDocumentDailySummary_,3,0,0,0,1,0,1,0,1,0
service.data.api/model.internal.application.user.impl,com.hack23.cia.model.internal.application.data.document.impl,RiksdagenDocumentPartySummaryEmbeddedId_,3,0,0,0,1,0,1,0,1,0
service.data.api/model.internal.application.user.impl,com.hack23.cia.model.internal.application.data.document.impl,ViewRiksdagenPoliticianDocumentDailySummary,0,42,0,0,0,14,0,10,0,10
service.data.api/model.internal.application.user.impl,com.hack23.cia.model.internal.application.data.document.impl,ViewRiksdagenDocumentTypeDailySummary_,3,0,0,0,1,0,1,0,1,0
service.data.api/model.internal.application.user.impl,com.hack23.cia.model.internal.application.data.document.impl,RiksdagenDocumentPartySummaryEmbeddedId,0,54,0,0,0,19,0,13,0,13
service.data.api/model.internal.application.user.impl,com.hack23.cia.model.internal.application.data.document.impl,ViewRiksdagenPartyDocumentDailySummary_,3,0,0,0,1,0,1,0,1,0
service.data.api/model.internal.application.user.impl,com.hack23.cia.model.internal.application.data.document.impl,ViewRiksdagenPoliticianDocument,0,234,0,0,0,94,0,58,0,58
service.data.api/model.internal.application.user.impl,com.hack23.cia.model.internal.application.data.document.impl,ViewRiksdagenOrgDocumentDailySummary_,3,0,0,0,1,0,1,0,1,0
service.data.api/model.internal.application.user.impl,com.hack23.cia.model.internal.application.user.impl,UserAccount_,3,0,0,0,1,0,1,0,1,0
service.data.api/model.internal.application.user.impl,com.hack23.cia.model.internal.application.user.impl,UserEmailStatus,0,21,0,0,0,5,0,3,0,3
