value,count
glb2ine,1
gm01uu4,1
gn01au1,1
gn01au2,1
gn01au3,1
gn01au4,1
gn01au5,1
gn01au6,1
gn01au7,1
gn01au8,1
gn01bou10,1
gn01bou4,1
gn01bou5,1
gn01bou6,1
gn01bou7,1
gn01bou8,1
gn01bou9,1
gn01f%C3%B6u2,1
gn01f%C3%B6u3,1
gn01f%C3%B6u4,1
gn01f%C3%B6u5,1
gn01f%C3%B6u6,1
gn01f%C3%B6u7,1
gn01f%C3%B6u8,1
gn01fiu14,1
gn01fiu15,1
gn01fiu16,1
gn01fiu17,1
gn01fiu18,1
gn01fiu19,1
gn01fiu20,1
gn01fiu21,1
gn01fiu22,1
gn01fiu23,1
gn01fiu24,1
gn01fiu27,1
gn01fiu28,1
gn01fiu29,1
gn01fiu30,1
gn01juu10,1
gn01juu11,1
gn01juu12,1
gn01juu13,1
gn01juu14,1
gn01juu15,1
gn01juu16,1
gn01juu18,1
gn01juu19,1
gn01juu20,1
gn01juu21,1
gn01juu22,1
gn01juu23,1
gn01juu6,1
gn01juu7,1
gn01juu8,1
gn01juu9,1
gn01kru10,1
gn01kru11,1
gn01kru12,1
gn01kru13,1
gn01kru14,1
gn01kru7,1
gn01kru8,1
gn01kru9,1
gn01ku11,1
gn01ku12,1
gn01ku13,1
gn01ku14,1
gn01ku15,1
gn01ku16,1
gn01ku17,1
gn01ku18,1
gn01ku19,1
gn01ku20,1
gn01ku20d2,1
gn01ku21,1
gn01ku22,1
gn01ku23,1
gn01lu10,1
gn01lu11,1
gn01lu12,1
gn01lu13,1
gn01lu14,1
gn01lu15,1
gn01lu16,1
gn01lu17,1
gn01lu18,1
gn01lu19,1
gn01lu20,1
gn01lu21,1
gn01lu22,1
gn01lu23,1
gn01lu24,1
gn01lu3,1
gn01lu4,1
gn01lu5,1
gn01lu6,1
gn01lu7,1
gn01lu8,1
gn01lu9,1
gn01mju10,1
gn01mju11,1
gn01mju12,1
gn01mju14,1
gn01mju15,1
gn01mju16,1
gn01mju17,1
gn01mju18,1
gn01mju6,1
gn01mju7,1
gn01mju8,1
gn01mju9,1
gn01nu10,1
gn01nu11,1
gn01nu12,1
gn01nu13,1
gn01nu14,1
gn01nu15,1
gn01nu16,1
gn01nu17,1
gn01nu18,1
gn01nu8,1
gn01nu9,1
gn01sfu10,1
gn01sfu11,1
gn01sfu12,1
gn01sfu8,1
gn01sfu9,1
gn01sku12,1
gn01sku13,1
gn01sku14,1
gn01sku15,1
gn01sku16,1
gn01sku17,1
gn01sku18,1
gn01sku19,1
gn01sku20,1
gn01sku21,1
gn01sku22,1
gn01sku23,1
gn01sku24,1
gn01sou10,1
gn01sou11,1
gn01sou12,1
gn01sou13,1
gn01sou14,1
gn01sou6,1
gn01sou7,1
gn01sou8,1
gn01sou9,1
gn01tu10,1
gn01tu11,1
gn01tu12,1
gn01tu4,1
gn01tu5,1
gn01tu6,1
gn01tu7,1
gn01tu8,1
gn01tu9,1
gn01ubu10,1
gn01ubu11,1
gn01ubu12,1
gn01ubu13,1
gn01ubu14,1
gn01ubu15,1
gn01ubu16,1
gn01ubu17,1
gn01ubu8,1
gn01ubu9,1
gn01uu10,1
gn01uu11,1
gn01uu12,1
gn01uu13,1
gn01uu14,1
gn01uu3,1
gn01uu7,1
gn01uu8,1
gn01uu9,1
gn02a11,1
gn02a12,1
gn02a13,1
gn02a14,1
gn02a15,1
gn02a16,1
gn02a17,1
gn02a18,1
gn02a19,1
gn02a20,1
gn02a21,1
gn02a22,1
gn02a23,1
gn02a24,1
gn02a25,1
gn02a26,1
gn02a27,1
gn02a28,1
gn02a29,1
gn02a30,1
gn02f%C3%B638,1
gn02f%C3%B639,1
gn02f%C3%B640,1
gn02f%C3%B641,1
gn02f%C3%B642,1
gn02f%C3%B643,1
gn02f%C3%B644,1
gn02f%C3%B645,1
gn02fi10,1
gn02fi11,1
gn02fi12,1
gn02fi13,1
gn02fi14,1
gn02fi15,1
gn02fi16,1
gn02fi17,1
gn02fi18,1
gn02fi19,1
gn02fi20,1
gn02fi21,1
gn02fi22,1
gn02fi23,1
gn02fi24,1
gn02fi25,1
gn02fi26,1
gn02fi27,1
gn02fi28,1
gn02fi29,1
gn02fi3,1
gn02fi30,1
gn02fi31,1
gn02fi32,1
gn02fi33,1
gn02fi34,1
gn02fi35,1
gn02fi36,1
gn02fi37,1
gn02fi38,1
gn02fi39,1
gn02fi4,1
gn02fi40,1
gn02fi41,1
gn02fi42,1
gn02fi43,1
gn02fi44,1
gn02fi45,1
gn02fi46,1
gn02fi47,1
gn02fi48,1
gn02fi49,1
gn02fi5,1
gn02fi50,1
gn02fi52,1
gn02fi53,1
gn02fi54,1
gn02fi55,1
gn02fi56,1
gn02fi57,1
gn02fi58,1
gn02fi59,1
gn02fi6,1
gn02fi60,1
gn02fi61,1
gn02fi62,1
gn02fi7,1
gn02fi8,1
gn02fi9,1
gn02ju16,1
gn02ju17,1
gn02ju18,1
gn02ju19,1
gn02ju20,1
gn02ju21,1
gn02ju22,1
gn02ju23,1
gn02ju24,1
gn02ju25,1
gn02ju35,1
gn02ju36,1
gn02k22,1
gn02k23,1
gn02k24,1
gn02k25,1
gn02k26,1
gn02k29,1
gn02kr5,1
