org_code,count
kam,7203
UFöU,1782
EUN,1208
UU,1102
SkU,1070
FiU,1059
UbU,1044
NU,1043
AU,1028
SoU,1025
JuU,1011
KU,1010
SfU,1005
TU,996
MJU,989
KrU,986
NR,956
FöU,928
CU,726
KD,617
VB,385
BoU,281
UN,274
LU,257
RS,231
RB,190
KUU,189
ER,169
OSSE,169
IPU,152
LR,119
EP,107
RJ,103
VPN,94
S,93
EG,85
EU,80
NATO,79
RRS,69
MP,67
JuSoU,64
UD,62
RFK,58
Fi,52
ÖN,50
N,49
RRR,45
U,45
M,43
DEM,40
EFTA,39
A,38
CKrU,38
Ju,38
C,37
SB,37
BN,36
UMJU,35
USoU,31
L,30
V,30
RRPR,29
ESK,27
Europol,27
Fö,27
Systembolaget,27
RAN,22
SD,22
DN,20
BSPC,19
EES,19
I,19
Ku,18
FP,17
PA-UfM,17
CPAR,14
LI,12
RGK,11
U t.o.m. 1 jan-07,10
KN,9
EMPA,6
M  t.o.m. 1 jan-07,6
Jo,4
M t.o.m. 31 dec 2014,4
RAR,4
NSÖ,3
IJ,2
sku,2
nu,1
sou,1
TK,1
