party_id,party_name,short_code
14,Allianspartiet/Medborgarens röst,ALP
2,Arbetarepartiet-Socialdemokraterna,S
1147,Borgerlig Framtid,---
4,Centerpartiet,C
1150,Direktdemokraterna,---
1136,Djurens parti,DjuP
189,Enhet,ENH
29,Europeiska Arbetarpartiet-EAP,EAP
532,Feministiskt initiativ,FI
3,Folkpartiet liberalerna,FP
979,Frihetspartiet,---
452,Högerpartiet de konservativa,---
451,Junilistan,JL
638,Klassiskt liberala partiet,KLP
471,Kommunistiska Partiet,K
68,Kristdemokraterna,KD
1140,Kristna Värdepartiet,KrVP
1011,Landsbygdspartiet Oberoende,LBPO
3,Liberalerna,L
518,LOTTOKRATIN,---
55,Miljöpartiet de gröna,MP
1,Moderaterna,M
976,Mosebackedemokraterna,---
1273,Nordiska motståndsrörelsen,---
995,Norrländska Samlingspartiet,NorrS
170,NyDemokrati,NYD
1277,Permalogiskt Samhälle,---
524,Piratpartiet,PP
232323,Politiskt Vilde,-
131,Rättvisepartiet Socialisterna,RS
172,Sjöbopartiet,SJP
54,Skånepartiet,SKÅ
522,Sociala Partiet (SP),---
74,Socialistiska Partiet,SOC.P
107,SPI Välfärden,SPI
1004,Spritpartiet,---
1187,Svenska Förnufts Partiet (SFP),---
110,Sverigedemokraterna,SD
1138,Vägvalet,VägV
5,Vänsterpartiet,V
