role_code,count
Suppleant,14697
Riksdagsledamot,6034
Ledamot,5998
Ersättare,920
Deputerad,901
Extra suppleant,477
Ordförande,431
Vice ordförande,403
Statsrådsersättare,295
Statsråd,251
Förste vice gruppledare,78
Kvittningsperson,72
Gruppledare,70
Personlig suppleant,54
Förste vice ordförande,38
Andre vice ordförande,36
Partisekreterare,27
Partiledare,20
Utbildningsminister,18
Utrikesminister,18
Försvarsminister,17
Finansminister,14
Revisor,14
Arbetsmarknadsminister,13
Revisorssuppleant,13
Socialminister,13
Talman,12
Talmansersättare,12
Näringsminister,11
Personlig ersättare,11
Kultur- och demokratiminister,10
Statsminister,10
Andre vice gruppledare,9
Landsbygdsminister,9
Språkrör,9
Förste vice talman,8
Infrastrukturminister,8
Kulturminister,8
Tredje vice talman,7
Andre vice talman,6
Justitieminister,6
Miljöminister,6
Klimat- och miljöminister,5
Tredje vice ordförande,5
Justitie- och migrationsminister,4
Miljö- och klimatminister,4
Energi- och näringsminister,3
Närings- och innovationsminister,3
Arbetsmarknads- och integrationsminister,2
Arbetsmarknads- och jämställdhetsministe,2
Bistånds- och utrikeshandelsminister,2
Civilminister,2
EU-minister,2
Finansmarknadsminister,2
"Gymnasie-, högskole- och forskningsminister",2
Infrastruktur- och bostadsminister,2
Infrastruktur- och försvarsminister,2
Jordbruksminister,2
Justitie- och inrikesminister,2
Migrations- och arbetsmarknadsminister,2
Migrationsminister,2
Samhällsbyggnadsminister,2
Socialförsäkringsminister,2
Tillförordnad partisekreterare,2
Arbetsmarknads- och etableringsminister,1
Integrations- och jämställdhetsminister,1
Kultur- och idrottsminister,1
Sjukvårdsminister,1
Social- och socialförsäkringsminister,1
Tillförordnad partiledare,1
Vice statsminister,1
