value,count
"""SD""",3968
"""V""",2751
"""v""",2630
"""mp""",2255
"""kd""",2210
"""m""",2011
"""fp""",1752
"""MP""",1694
"""C""",1684
"""S""",1627
"""m"",""c"",""fp"",""kd""",1540
"""c""",1326
"""s"",""v"",""mp""",1114
"""v"",""mp""",1061
"""s""",899
"""S"",""MP"",""V""",886
"""M""",878
"""KD""",794
"""MP"",""V""",618
"""L""",550
"""M"",""C"",""L"",""KD""",423
"""m"",""fp""",413
"""S"",""V""",406
"""m"",""fp"",""kd""",336
"""c"",""kd""",313
"""s"",""v""",309
"""S"",""MP""",262
"""m"",""kd""",248
"""c"",""fp""",219
"""c"",""fp"",""kd""",210
"""fp"",""kd""",187
"""V"",""MP""",182
"""m"",""c"",""kd""",170
"""m"",""c"",""fp""",158
"""m"",""c""",140
"""M"",""C"",""FP"",""KD""",135
"""s"",""mp""",131
"""S"",""V"",""MP""",112
"""M"",""SD""",101
"""M"",""FP"",""C"",""KD""",85
"""M"",""KD""",85
"""m"",""c"",""fp"",""kd"",""mp""",85
"""SD"",""KD""",62
"""C"",""MP""",61
"""fp"",""mp""",59
"""M"",""C""",54
"""M"",""SD"",""KD""",54
"""FP""",53
"""M"",""C"",""KD""",52
"""c"",""v""",51
"""C"",""L""",47
"""S"",""V"",""C"",""MP""",45
"""c"",""mp""",45
"""SD"",""-""",44
"""SD"",""V""",40
"""c"",""v"",""mp""",39
"""kd"",""mp""",39
"""C"",""KD""",35
"""S"",""SD""",35
"""SD"",""C""",35
"""c"",""fp"",""kd"",""mp""",35
"""c"",""kd"",""mp""",35
"""S"",""C""",34
"""kd"",""v""",32
"""m"",""-""",31
"""c"",""kd"",""v"",""mp""",29
"""fp"",""v""",28
"""MP"",""SD"",""V""",26
"""V"",""C"",""MP""",26
"""c"",""fp"",""v"",""mp""",26
"""c"",""fp"",""kd"",""v"",""mp""",25
"""M"",""L""",24
"""fp"",""v"",""mp""",23
"""S"",""SD"",""V""",21
"""m"",""c"",""fp"",""kd"",""-""",21
"""V"",""C""",19
"""M"",""SD"",""C""",18
"""S"",""C"",""V"",""MP""",18
"""SD"",""L""",18
"""c"",""fp"",""mp""",18
"""fp"",""kd"",""mp""",18
"""kd"",""v"",""mp""",18
"""M"",""C"",""L""",17
"""C"",""V""",16
"""S"",""C"",""MP""",16
"""M"",""KD"",""L""",15
"""M"",""SD"",""C"",""KD""",14
"""M"",""C"",""KD"",""L""",13
"""M"",""C"",""V"",""L"",""KD""",12
"""fp"",""kd"",""v"",""mp""",11
"""C"",""L"",""KD""",10
"""S"",""V"",""L"",""MP""",10
"""c"",""fp"",""kd"",""v""",10
"""c"",""kd"",""v""",10
"""L"",""KD""",9
"""M"",""L"",""KD""",9
"""c"",""fp"",""v""",9
"",8
"""KD"",""L""",8
"""M"",""SD"",""L""",8
