value,count
0980681611418,105
0607691439013,100
0155487380917,96
0257612529618,87
0446541913415,86
0452755722723,85
0973782197017,85
0252067342313,77
0316505710324,77
0224712677012,74
0970259744617,74
0879782396219,72
0739152363302,67
0744993950910,67
0891971250317,66
0665485817222,65
0893004490313,64
0729710260118,62
0744139167426,62
0819601620927,62
0600928907216,61
0766496753128,61
0831636664429,60
0860429409414,60
0126797549328,58
0462699892622,58
0875221317013,58
0899112324519,57
0204240926023,56
0642224351118,56
0108109641223,55
0731442709013,55
0992420223820,55
0161597857912,54
0496341906327,54
0653904370212,54
0859968278117,54
0861521539920,54
0910241260018,54
0956595590924,54
0284192765516,53
0638497389621,53
0718034011110,53
0772402807013,53
0782713019602,53
0752691002718,52
0211757295524,51
0541320528015,51
0473783431010,50
0836001490919,50
031005479013,49
0472349361027,49
0573136138218,49
0667220767927,49
010343930918,48
0542160909628,48
0612916684825,48
0980316377627,48
0982795248728,48
0138741628520,47
0245320188502,47
0274710563201,47
0363228965800,47
0590042760718,47
0866055333028,47
0878075468027,47
0157062733618,46
0262017901513,46
0427321850912,46
0682989845822,46
0932000030511,46
0980092192122,46
0122987223112,45
023767922422,45
0411459873625,45
0477013214601,45
0603753860213,45
0628005785225,45
0937688366013,45
0105632258713,44
014744660015,44
0237055280513,44
0582811195313,44
0610573125306,44
065105536026,44
0800956862429,44
0964730940415,44
0135730306412,43
0136310791918,43
0145888252000,43
0222691314314,43
0352254228107,43
0455086201022,43
049290762318,43
0540190357911,43
0700424025906,43
0802546764724,43
0843345349823,43
0110600080618,42
0128805841317,42
0193303720505,42
0199751900210,42
0227531635413,42
0229760896014,42
0254021157518,42
0383111552218,42
0409540163215,42
0983984918111,42
028954589415,41
041911485722,41
0618583795602,41
0806338394516,41
0911916463828,41
0940980416614,41
0103624617217,40
014386615025,40
0387691310906,40
069309987221,40
0781520322912,40
0962841101917,40
0999976269027,40
012053331219,39
012576033427,39
0235974887200,39
0256716955026,39
0460690753617,39
0516528386117,39
0522054204918,39
0584183916016,39
0604459858621,39
0616721755222,39
0630820052511,39
0692076685824,39
0803753212716,39
0900533740700,39
0934639939611,39
0974061238314,39
0132818093422,38
0338088431726,38
0371688419616,38
0509830681123,38
0584386800218,38
066769783310,38
067992138910,38
0714307225418,38
0732677378827,38
0832311880029,38
0901257862125,38
0992473266516,38
0101299073819,37
0145294944502,37
0194498232620,37
0198917587520,37
0223069839622,37
0273506284025,37
0407081382317,37
0415959965211,37
0442629549320,37
0465398691116,37
0474290584024,37
0502688311316,37
0547818628111,37
0559925283228,37
0658668232410,37
0671241874717,37
0780214960516,37
0781648625615,37
0828721176319,37
0926214745119,37
0196077326617,36
0229002789006,36
0306286538528,36
037063714405,36
0397924710612,36
0475778011711,36
0494054455310,36
0512357753412,36
0530425150220,36
0564126739422,36
0588282566419,36
0613297818326,36
0634917636517,36
0802826314426,36
0860364634014,36
0911067396229,36
0956444284814,36
0980725315516,36
0202577142527,35
0205360448417,35
0308306375022,35
0313390540217,35
0389220391128,35
0430865615328,35
0535526562910,35
0537400268911,35
0537484650407,35
072019517020,35
0781623040415,35
0810201628512,35
0111479807829,34
0144048894712,34
0148424181819,34
0285631067215,34
0404025497421,34
0446973363306,34
0502770250503,34
0522460069116,34
0523902030928,34
0572788110724,34
0622185335615,34
0630824497414,34
0677738818613,34
0738969851001,34
0764949934324,34
0853395328224,34
0897304708905,34
0970709885516,34
0996403729104,34
0104804820009,33
0116759114313,33
0130789484021,33
0210198640127,33
0388920259006,33
0412148992926,33
043972220518,33
0493288854424,33
0692993567203,33
0704744533715,33
0706528359123,33
0787533297400,33
0801311569314,33
0831039938224,33
0864542495614,33
0977592683711,33
0112791482908,32
0208558695314,32
0216534495014,32
0228027853620,32
0339894357417,32
0376395541120,32
037781229619,32
0509415296421,32
0519740099915,32
0522240580423,32
0529103571012,32
0529963707818,32
0548314774911,32
0628190530410,32
0641486384014,32
0652497579621,32
0679228585116,32
0750518623913,32
0754692641206,32
0785143384002,32
0792733370419,32
0862868280923,32
0877778793323,32
0899169869710,32
0905312407726,32
0938901612810,32
0150118366721,31
0204443909416,31
0274462857213,31
0275356156309,31
0363721826713,31
037561614928,31
042839539117,31
0447198048312,31
0456680171315,31
0499755198526,31
0506541436524,31
0538387395826,31
0567603564903,31
0584659199514,31
0604811710522,31
064601872511,31
0648224557612,31
069436402021,31
0694917698222,31
0699787174310,31
07012286624,31
0721509806321,31
0737073162411,31
0742883909221,31
0760500234712,31
0815435847817,31
0824721092613,31
0825441263617,31
0925652297119,31
0959102638818,31
0996640018922,31
0201207390210,30
0228167770927,30
0277648711624,30
0296384583518,30
0313210809828,30
0315499690028,30
0333193598116,30
0344222203323,30
0406831930624,30
0468765214727,30
0575283695521,30
061124537800,30
0624040854527,30
0719332223713,30
0719430958705,30
0796312429425,30
0852475703226,30
087735695612,30
088849148003,30
0909948830718,30
0962410717322,30
0962700307214,30
0973474532717,30
0166790812128,29
019430605328,29
0226631365426,29
0238588409223,29
025158809026,29
0294138886823,29
0418929039326,29
0475643059428,29
0482927154110,29
0483316376813,29
0494242537816,29
0503029811325,29
0552248175312,29
0603366539729,29
0606863154419,29
0619928872229,29
065701062615,29
0745549193810,29
0747552775209,29
075747847023,29
0793372891224,29
0796071663617,29
0810852280213,29
088028607414,29
0121939297619,28
0134101155612,28
0161616238120,28
0199809132302,28
0229350341619,28
0246927519019,28
0304498908019,28
0319703582208,28
0322827326923,28
0331791853028,28
0376353897112,28
0378597308227,28
0526748040023,28
0545733815610,28
0558039843819,28
0567830387107,28
0587736055221,28
0697941234716,28
0828001951212,28
084624777218,28
0872218435908,28
0884738092723,28
0975579292417,28
0183544538819,27
0204494765606,27
0209063197208,27
0236004923301,27
0241621108903,27
0277100069203,27
0285527517421,27
033935884729,27
0358278412329,27
0365748677411,27
0485476395125,27
0497217816024,27
0506482805418,27
0521844714515,27
0546731406922,27
055257333723,27
0574724112206,27
0640627133410,27
0667054859301,27
0714579775816,27
0739780276601,27
0766285636614,27
0773497241728,27
0780836041816,27
0794602231002,27
0810673119603,27
0903081277919,27
0920901966627,27
0986091320811,27
0163254848207,26
0213468747208,26
025877594729,26
025967059622,26
0263142725304,26
02658325625,26
0324815829026,26
0334816698724,26
0364687971222,26
037508021018,26
0397377293714,26
0468956880528,26
0480007629014,26
0483837558914,26
0502490570219,26
0512424416400,26
051870309210,26
0522191574902,26
0565167965311,26
066036027425,26
0681030112815,26
0720249554818,26
0720250789315,26
0741005094627,26
0779781772919,26
0837501934208,26
0838085832923,26
0844105199517,26
0903307301618,26
091303475611,26
0977023188809,26
010643534813,25
0170585430421,25
0183788551910,25
0254695027922,25
0256404677510,25
0279488554424,25
0332067570917,25
0334042720405,25
0341628241813,25
0401150407611,25
0466653728712,25
0481460392727,25
0482689573825,25
0492644357418,25
0495218011521,25
0557180142229,25
0575413157004,25
0593022437106,25
0618560932311,25
0637028706011,25
0665360289423,25
0691264514114,25
0784309503313,25
0798417016112,25
0806172169007,25
0847676507229,25
085742305813,25
086684470825,25
0955748436811,25
0958776965517,25
0960030082916,25
0992604658114,25
0107123682905,24
0136801772915,24
0153549892302,24
018160186302,24
0181728423812,24
0203877548421,24
0238095659621,24
0271338654822,24
0325462829512,24
0336920874106,24
0393108743200,24
0405574090504,24
0455256796113,24
0457722435319,24
0553513261108,24
0573273704102,24
0628870165823,24
0641953830512,24
0655028250417,24
0663840649717,24
0768554866215,24
0776705932527,24
0825004049003,24
089246126523,24
0913965980315,24
0922497728524,24
0924947945722,24
0944338157703,24
0113077554312,23
0115057914316,23
0130640724922,23
0133767709317,23
013600422205,23
0181942435301,23
0200426688007,23
022805994927,23
0228907110117,23
0236051814311,23
0269067253614,23
0309480686522,23
031414803913,23
0358514648113,23
0376867803913,23
0457213878205,23
0476457225115,23
0478345475910,23
0502174718806,23
0542573140300,23
0544569681404,23
0554852839719,23
057993099726,23
059100119006,23
0599736947819,23
0636794729408,23
0637939864601,23
0708639889502,23
0722683622001,23
0779329190517,23
0788526088220,23
0792716417210,23
0870805820217,23
0875425244515,23
0987224899103,23
0990007083418,23
011731125914,22
0125056691517,22
0160374603998,22
0165360915617,22
0193378456716,22
0194021108712,22
0270681733602,22
0281408160607,22
0288448506702,22
02910042914,22
0327449447106,22
0384833975200,22
042413114103,22
046703152205,22
0479355987014,22
0505783078517,22
0520793981601,22
0559652845303,22
0567842515701,22
0617957067613,22
0634320940409,22
064711971110,22
0652944607906,22
0683260207407,22
0787535945527,22
0838210948212,22
0853831481615,22
0857394544302,22
0928223863802,22
0933424396309,22
0947572086414,22
0982209946601,22
0133282248705,21
0150200797210,21
0165732384110,21
0170630324419,21
0184922809505,21
0212469298402,21
0251564185908,21
0251617324715,21
0348268153001,21
0404669609001,21
0410640630411,21
04671560703,21
0494843794418,21
0495661214429,21
0519542449425,21
0531431759204,21
0594584559201,21
0701525641715,21
0729731578904,21
0737666060225,21
0758652610,21
0760437424714,21
0761548559113,21
0816308745507,21
0841802782704,21
0861447317415,21
0873650166625,21
0888530335200,21
0906336297511,21
0954999878706,21
09812885803,21
099373212513,21
0123927542506,20
0125165702713,20
0219220227418,20
0235331390700,20
0236597884217,20
0247000811207,20
025931369428,20
0281670919717,20
0291542732518,20
0327857385513,20
0365797008114,20
0377384542907,20
0439752610809,20
0454698803028,20
045666679112,20
0465804601318,20
0515990253512,20
0526693079901,20
0532121969806,20
0544046588414,20
0559791876105,20
0583257327619,20
0594680769027,20
0624994476012,20
0681085425612,20
0685749336810,20
0688961392304,20
0699506181311,20
0789353702707,20
0791786201912,20
0817433088402,20
0820673454606,20
0853204119514,20
0874604979107,20
0880018341619,20
0906359551705,20
0951854268017,20
0952789103522,20
0965245623824,20
0997123540801,20
0116084827614,19
0125036219125,19
012855230311,19
0139948283718,19
0144891150008,19
0227802801605,19
0292756653724,19
0321885416125,19
0332753845811,19
0391973624515,19
0409817272107,19
0422439378601,19
0435740736429,19
0468775142013,19
0481005050915,19
0502353466300,19
0534173087404,19
0540309351004,19
0560770565308,19
0566638963807,19
0576122429317,19
0585684563812,19
0591055036519,19
0634122058105,19
0638330195202,19
0640669898710,19
0645111757928,19
0664751846104,19
0673622610409,19
0694273653613,19
0747852417614,19
0763802658906,19
0814945477312,19
0851966755011,19
0921939922800,19
0925451929216,19
0977860675311,19
0153923606405,18
0182190010218,18
0182800488922,18
0201502585302,18
0262124593702,18
0267085997926,18
0272006117024,18
0272316208815,18
0303930476905,18
0311892218602,18
0323000187920,18
0332721987700,18
0338458649710,18
0371414788216,18
0395416536118,18
0399430895200,18
0461756329828,18
0468206532916,18
0505599928316,18
0548089226618,18
0599390849728,18
0602744999917,18
0603490586517,18
0640774576009,18
0644591005314,18
0658094895604,18
0682674527208,18
0699354970600,18
0731809135516,18
0748447264503,18
0808145784313,18
0817472556307,18
0889860537413,18
0906365922712,18
0930305890123,18
0946889218011,18
0957794828205,18
0987246082523,18
0132698667318,17
0138450838510,17
0186989169008,17
0205148684308,17
0214302391005,17
0252641216303,17
0254161225015,17
0283299919701,17
028536711718,17
0316870450511,17
0331967573912,17
0349986646724,17
0353689520405,17
039655712615,17
0397073482210,17
0448155122323,17
0463955388312,17
0470593486100,17
0488357052317,17
0495314169413,17
0517869568019,17
0538494048717,17
0542215898226,17
0547805254924,17
055824190225,17
058426570914,17
0586690122908,17
0598792324417,17
062367962120,17
0627371646324,17
0661583406713,17
0666354900406,17
0666958447826,17
0717130693403,17
0718937995813,17
0753292035001,17
0771287795114,17
0782242286018,17
079095006519,17
0846730583715,17
0880452278816,17
0903751303011,17
0914133868703,17
0916608741910,17
0933523418809,17
0936271144504,17
0950203660913,17
0957631371811,17
0976656359110,17
0977281927618,17
0103812031214,16
0173210620224,16
0191823608408,16
0264838147315,16
0267143098400,16
0274590687101,16
0275724540919,16
0367418588113,16
0370034713503,16
0408672730600,16
0444616389415,16
0467253407311,16
0500493436208,16
0509012622802,16
0525479453308,16
0534056896314,16
0551013247907,16
0577400273410,16
0630022377501,16
0664794700308,16
0683297678211,16
0721657655513,16
0764840691205,16
0798631972204,16
0810983113102,16
0841352877309,16
0843906295410,16
0846171262302,16
0872978640827,16
0895706637124,16
0905188835300,16
0936723349517,16
0937012299307,16
0110842257006,15
0117613859601,15
0172078270306,15
0184488075016,15
0196024739401,15
0198565054212,15
023451344303,15
0286118205611,15
0395042560705,15
039984931601,15
0427127522211,15
0438928446810,15
0440497495914,15
0457308547314,15
0475092656901,15
048970816012,15
0503363679811,15
0609514779691,15
0615338062910,15
06517287603,15
0697895317615,15
0699478732904,15
0729734540102,15
0741187745315,15
0747667590310,15
075043103804,15
0781357446917,15
0823142696709,15
0853366412307,15
0861143074410,15
08644719105,15
0875693083423,15
0879055385113,15
0888807074321,15
0972914963202,15
0977824845202,15
098412828516,15
0985943148917,15
0995355603410,15
0996373560505,15
0115834246514,14
0117203219614,14
013322783509,14
0177639310807,14
0223175563813,14
0279360042003,14
0285612919302,14
0302393368216,14
0310304705606,14
0346261747912,14
0348584595917,14
0389795960120,14
0401289742306,14
0409655917321,14
0414687558527,14
0425391168202,14
0449003924218,14
0472335069513,14
0483420372909,14
0519019074802,14
0544752215503,14
0556347007015,14
0556755096938,14
0556854176401,14
0641996868011,14
0649200228012,14
0679667648714,14
0695579897102,14
0700714424203,14
0736538502404,14
0770363683317,14
07776758016,14
0841779272604,14
0844246115721,14
0853813080501,14
0859925892507,14
0871076471012,14
0883183598315,14
0892012091809,14
0905755961314,14
0911372158609,14
0929270135300,14
0931369291903,14
0938534705001,14
0972721265901,14
0997350894105,14
0110409174800,13
0119851690521,13
0181478122414,13
0184968091618,13
0190560012714,13
019228697303,13
0203071331400,13
0205071690103,13
0213183979300,13
0235494367806,13
0240128497814,13
0272604986201,13
0284039893826,13
0314386385815,13
0338278373318,13
0340854285007,13
035234573112,13
0365696629917,13
0383675638504,13
0387358739126,13
0430187508607,13
0432629750500,13
0456066032422,13
0457849683602,13
0463606088610,13
0464639640213,13
0469915585804,13
0480339311713,13
0502609471907,13
0505931201806,13
051207517226,13
0513020576128,13
0530361204603,13
0599003208801,13
0695090885212,13
0750727320521,13
0771794334400,13
0874331493311,13
0887345842319,13
089241104007,13
0892978334516,13
0924192709909,13
0927576375115,13
0928479652300,13
0928964569700,13
0939158389321,13
0962854674801,13
0970400972210,13
0970427364222,13
0105797223918,12
0110548017702,12
0114065053815,12
013162757105,12
0136937107804,12
0137934715906,12
017025148404,12
0176437434123,12
0195228370311,12
0210444373111,12
0214849275619,12
0222234581210,12
0232551233302,12
0250583732424,12
0262455192724,12
0271495844814,12
0280087199210,12
0287864972117,12
0301987597720,12
0314794471216,12
0333810623907,12
0356767744510,12
0368245926011,12
0369028728526,12
0379333062002,12
03856618629,12
0391621769505,12
0401511670506,12
0413600182607,12
0462541496508,12
0476336341120,12
0507199415917,12
0546982180011,12
0552112259207,12
0567810897103,12
0575745085214,12
0591624095901,12
0598571445305,12
0604604418610,12
0698785853314,12
0710863816703,12
0731265898310,12
0741225202024,12
0746654685605,12
0773312517000,12
079223680900,12
080652068106,12
0807438844115,12
0818989495009,12
0834800011503,12
0837394708917,12
0868286862422,12
0880137451720,12
0893605406218,12
0899701619804,12
0902172188709,12
0913138972707,12
0972781465305,12
0146133946627,11
0157778896604,11
0161018662505,11
0166402877505,11
0173946230722,11
0180442748612,11
0190801883908,11
0200003128803,11
0203334943718,11
0208480761018,11
0220064764318,11
0245468368228,11
0252987797901,11
027112189005,11
0288805051019,11
034408872004,11
0354810740804,11
0371013828421,11
0372414474424,11
0389619060499,11
0393171737407,11
0393332254704,11
0435526123410,11
0479155832315,11
048561486727,11
0500946976511,11
0512510717328,11
0525247903009,11
0545353563812,11
0554072553108,11
0573810408500,11
057390531612,11
0599331666806,11
0602796111612,11
0650522511709,11
0653132951201,11
0654974921901,11
0694077681517,11
0711876203701,11
0737824098113,11
0740487617408,11
0743081365718,11
0747244983307,11
0749416304126,11
0767503635911,11
0777657837318,11
0792474127508,11
0812087943307,11
089057453314,11
0916272051100,11
0920776498515,11
0928800583601,11
0963654118003,11
0970500642209,11
0992800527915,11
0998031180101,11
0108070243108,10
0114869877121,10
0137849446315,10
0139582082909,10
0140985614421,10
0144653147601,10
0178323535715,10
0185503778507,10
0188408764206,10
0192918410514,10
0198031297912,10
0254461538904,10
0256743155204,10
0271543079118,10
0280164118408,10
0284604377408,10
0321680964806,10
0361652802700,10
0363608290410,10
0372922430808,10
0381918573217,10
0393583311409,10
0395762282903,10
040421445103,10
041436203711,10
0420946896300,10
0428644311601,10
0480085646428,10
0544137999406,10
0548843588006,10
0557059020608,10
0583060288605,10
0599661454115,10
0608089286702,10
0627722735100,10
0644177413119,10
0653617472000,10
0661283223209,10
0662364517619,10
0671571847522,10
0680329141121,10
0708340640717,10
0708483204009,10
0725936371809,10
07351347121,10
0787584650516,10
0802373156815,10
0828198456420,10
0845133742919,10
088327461512,10
0891731772016,10
0891897903314,10
0904448094023,10
0926477102420,10
093487175616,10
0964379974219,10
0972254695405,10
0984153507725,10
0998575875190,10
0999672285309,10
0111697351426,9
0112333043027,9
0117814135893,9
0120834418997,9
0126076270500,9
0149554070404,9
0150664940102,9
0155044813008,9
0172220256016,9
