value,count
kam,7236
UFöU,1818
EUN,1218
UU,1113
SkU,1078
FiU,1065
UbU,1060
NU,1050
AU,1037
SoU,1029
KU,1026
JuU,1023
SfU,1017
TU,1007
NR,1001
MJU,999
KrU,988
FöU,930
CU,735
KD,620
VB,387
BoU,281
UN,275
LU,257
RS,235
RB,191
KUU,189
OSSE,174
ER,172
IPU,153
LR,108
EP,107
RJ,103
VPN,95
S,94
EG,85
NATO,81
EU,80
MP,69
RRS,69
JuSoU,64
UD,62
RFK,58
Fi,52
ÖN,50
N,49
RRR,45
M,44
U,44
DEM,43
C,41
A,40
EFTA,39
CKrU,38
Ju,38
SB,37
BN,36
UMJU,35
V,32
L,31
USoU,31
RRPR,29
ESK,27
Europol,27
Fö,27
Systembolaget,27
SD,23
RAN,22
BSPC,20
DN,20
EES,19
I,19
Ku,18
FP,17
PA-UfM,17
CPAR,14
LI,12
RGK,11
U t.o.m. 1 jan-07,10
KN,9
EMPA,6
M  t.o.m. 1 jan-07,6
Jo,4
M t.o.m. 31 dec 2014,4
RAR,4
NSÖ,3
IJ,2
sku,2
TK,1
nu,1
sou,1
