value,count
163817,1
163818,1
163819,1
163820,1
163821,1
163822,1
163823,1
163824,1
163825,1
163826,1
163827,1
163828,1
163829,1
163830,1
163831,1
163832,1
163833,1
163834,1
163835,1
163836,1
163837,1
163838,1
163839,1
163840,1
163841,1
163842,1
163847,1
163848,1
163849,1
163850,1
163851,1
163852,1
163853,1
163854,1
163855,1
163856,1
163857,1
163858,1
163859,1
163860,1
163861,1
163862,1
163863,1
163864,1
163865,1
163866,1
163867,1
163868,1
163869,1
163870,1
163871,1
163872,1
163873,1
163874,1
163875,1
163876,1
163877,1
163878,1
163879,1
163880,1
163881,1
163882,1
163883,1
163884,1
163885,1
163886,1
163887,1
163888,1
163889,1
163890,1
163891,1
163892,1
163893,1
163894,1
163895,1
163896,1
163897,1
163898,1
163899,1
163900,1
163901,1
163902,1
163903,1
163904,1
163905,1
163906,1
163907,1
163908,1
163909,1
163910,1
163911,1
163912,1
163913,1
163914,1
163915,1
163916,1
163917,1
163918,1
163919,1
163920,1
163921,1
163922,1
163923,1
163924,1
163925,1
163926,1
163927,1
163928,1
163929,1
163930,1
163931,1
163932,1
163933,1
163934,1
163935,1
163936,1
163937,1
163938,1
163941,1
163942,1
163943,1
163946,1
163947,1
163949,1
163951,1
163952,1
163955,1
163958,1
163959,1
163960,1
163961,1
163962,1
163963,1
163964,1
163969,1
163970,1
163971,1
163972,1
163973,1
163974,1
163975,1
163976,1
163977,1
163978,1
163979,1
163980,1
163981,1
163982,1
163983,1
163984,1
163985,1
163986,1
163987,1
163988,1
163989,1
163990,1
163991,1
163992,1
163993,1
163994,1
163995,1
163996,1
163997,1
163998,1
163999,1
164000,1
164001,1
164002,1
164003,1
164004,1
164005,1
164006,1
164007,1
164008,1
164009,1
164010,1
164011,1
164012,1
164013,1
164014,1
164015,1
164016,1
164017,1
164018,1
164019,1
164020,1
164021,1
164022,1
164023,1
164024,1
164025,1
164026,1
164027,1
164028,1
164029,1
164030,1
164031,1
164032,1
164033,1
164034,1
164035,1
164036,1
164037,1
164038,1
164039,1
164040,1
164041,1
164042,1
164043,1
164044,1
164045,1
164046,1
164047,1
164048,1
164049,1
164050,1
164051,1
164052,1
164053,1
164054,1
164055,1
164056,1
164057,1
164058,1
164059,1
164060,1
164061,1
164062,1
164063,1
164064,1
164065,1
164066,1
164067,1
164068,1
164069,1
164070,1
164071,1
164072,1
164073,1
164074,1
164075,1
164076,1
164077,1
164078,1
164079,1
164080,1
164081,1
164082,1
164083,1
164084,1
164085,1
164086,1
164087,1
164088,1
164089,1
164090,1
164091,1
164092,1
164093,1
164094,1
164095,1
164096,1
164097,1
164098,1
164099,1
164100,1
164101,1
164102,1
164103,1
164104,1
164105,1
164106,1
164107,1
164108,1
164109,1
164110,1
164111,1
164112,1
164113,1
164114,1
164115,1
164116,1
164117,1
164118,1
164119,1
164120,1
164121,1
164122,1
164123,1
164124,1
164125,1
164126,1
164127,1
164128,1
164129,1
164130,1
164131,1
164132,1
164133,1
164134,1
164135,1
164136,1
164137,1
164138,1
164139,1
164140,1
164141,1
164142,1
164143,1
164144,1
164145,1
164146,1
164147,1
164148,1
164149,1
164150,1
164151,1
164152,1
164153,1
164154,1
164155,1
164156,1
164157,1
164158,1
164159,1
164160,1
164161,1
164162,1
164163,1
164164,1
164165,1
164166,1
164167,1
164168,1
164169,1
164170,1
164171,1
164172,1
164175,1
164176,1
164177,1
164178,1
164179,1
164180,1
164181,1
164182,1
164183,1
164184,1
164185,1
164186,1
164187,1
164188,1
164189,1
164190,1
164191,1
164192,1
164193,1
164194,1
164195,1
164198,1
164199,1
164200,1
164201,1
164202,1
164203,1
164204,1
164206,1
164209,1
164210,1
164211,1
164214,1
164215,1
164216,1
164217,1
164218,1
164221,1
164222,1
164223,1
164224,1
164225,1
164226,1
164227,1
164228,1
164229,1
164230,1
164231,1
164232,1
164233,1
164234,1
164235,1
164236,1
164237,1
164238,1
164239,1
164240,1
164241,1
164242,1
164243,1
164244,1
164245,1
164246,1
164247,1
164248,1
164249,1
164250,1
164251,1
164252,1
164253,1
164254,1
164255,1
164256,1
164257,1
164258,1
164259,1
164260,1
