value,count
JuU1,597
SfU1,471
MJU13,352
UU10,342
UU2,333
JuU14,315
KrU1,313
MJU8,312
MJU3,309
JuU18,296
MJU16,294
SoU1,288
MJU10,287
MJU14,284
TU1,276
SFU1,272
UbU14,264
MJU15,245
MJU12,241
KRU1,233
MJU9,231
UbU15,223
FiU21,217
AU7,214
KU1,214
UBU1,214
MJU11,211
AU2,209
AU5,209
MJU7,209
KU14,206
AU6,201
KU17,198
UbU12,198
JuU22,197
UBU9,197
AU1,192
KrU9,189
KrU5,186
JuU16,185
UU8,185
AU8,182
MJU2,181
SoU7,177
TU6,176
MJU18,174
JUU1,173
UbU11,173
TU13,171
CU10,170
AU4,169
KU15,169
SoU12,169
JuU15,165
JuU20,165
UbU9,165
SOU1,163
TU10,162
KrU7,161
NU13,161
UbU10,161
MJU20,158
SoU10,157
AU3,156
NU4,156
SoU6,156
MJU23,155
SfU8,155
SoU8,155
UU15,155
UbU17,155
KrU10,153
KrU4,153
UbU4,152
KrU3,150
KrU6,150
TU7,150
UbU8,150
KU13,148
KU19,147
KrU8,145
FöU7,144
UbU13,144
TU11,143
TU9,143
JuU7,140
FöU1,139
JuU21,139
UU9,139
CU1,138
SoU13,138
SoU9,138
MJU4,135
JuU17,133
KU16,133
JuU10,132
UU11,132
MJU27,131
TU2,130
MJU5,129
SkU17,129
SOU9,127
NU12,126
TU14,126
KrU11,125
TU4,125
CU9,124
FiU22,124
UBU12,124
UBU13,124
UBU11,123
CU14,122
MJU24,122
UbU7,122
CU8,121
KU24,121
NU3,121
SoU11,121
UbU6,121
KU23,120
UBU10,120
UbU3,120
SfU6,119
MJU1,118
NU9,117
TU8,117
SoU19,116
KUU1,114
TU12,114
FöU6,112
KrU2,111
UU3,111
FIU21,110
KU18,110
UBU4,110
AU9,109
KU12,109
SOU15,109
UBU3,108
FiU25,107
FöU4,107
KU9,107
MJU17,106
MJU28,106
SkU20,106
CU13,105
SOU10,105
SFU8,104
NU10,103
SoU18,103
FiU2,102
NU17,102
SfU2,102
SoU5,102
TU5,102
FiU1,101
SoU16,100
KU25,99
MJU29,99
NU11,99
UU12,99
UbU5,99
FiU11,98
KU26,98
MJU21,98
JuU19,97
KRU2,97
NU2,97
SOU7,97
JuU11,96
SoU14,96
BOU1,95
MJU19,95
SkU19,94
SoU17,94
NU14,93
CU15,91
CU6,91
SfU10,91
SkU16,91
UBU5,91
UBU7,91
SfU14,89
CU7,88
KU27,88
TU16,88
JuU13,86
KU21,86
KU7,86
LU8,86
MJU22,86
UbU1,85
NU1,84
SkU13,84
UU5,82
FiU26,81
KRU8,81
KU11,81
SFU10,81
SOU5,81
SfU20,81
SoU22,81
SOU3,80
SkU18,78
UbU19,78
JuU9,77
SOU13,77
CU19,75
MJU25,75
MJU6,75
FöU8,74
SfU3,74
SkU26,74
SOU6,73
UBU15,73
JuU33,72
SOU11,72
SoU15,72
FöU3,71
SFU2,71
SfU12,71
SoU4,71
CU16,70
CU18,70
AU11,69
FIU1,69
FöU5,69
JuU26,68
UBU8,68
LU9,67
NU7,67
JUU7,66
JuU8,66
SkU12,66
FöU9,65
JuU24,65
KU3,65
KU30,65
NU16,65
SOU23,65
SfU15,65
UU14,65
UU6,65
UU7,65
CU20,64
BOU5,63
FiU7,63
KU33,63
NU8,63
UBU6,63
CU11,62
CU12,62
JuU23,62
JuU34,62
KU29,62
KU4,62
KRU4,61
LU10,61
NU6,61
SkU22,61
UBU2,61
UU13,61
KU22,60
KU34,59
AU10,58
BOU3,58
KU8,58
SoU23,58
JUU17,57
JuU3,57
SKU20,57
TU17,57
FIU2,56
SfU4,55
SfU7,55
UbU16,55
FöU11,54
KRU7,54
BOU4,53
KRU5,53
SOU2,53
TU15,53
UbU18,53
NU15,52
UBU14,52
UU1,52
FiU16,51
JUU16,51
JuU6,51
KRU3,51
KU28,51
SkU1,51
SkU21,51
SoU2,51
SoU24,51
UU4,51
FiU23,50
FiU34,50
JuU12,50
KRU16,50
SoU20,50
JUU15,49
JuU32,49
KRU6,49
LU14,49
TU3,49
FiU6,48
FöU2,48
JuU4,48
SOU4,48
SfU11,48
KRU14,47
SKU19,47
SfU5,47
SkU14,47
FÖU1,46
JUU11,46
JuU2,46
LU27,46
SOU8,46
SfU13,46
SoU26,46
UFöU2,46
FiU3,45
NU5,45
SfU18,45
CU5,44
JUU10,44
LU16,44
SFU12,44
SFU15,44
SkU25,44
AU13,43
CU17,43
FiU17,43
KrU14,43
NU19,43
BOU8,42
FiU18,42
KU2,42
SKU14,42
SKU21,42
UBU16,42
FIU11,41
KrU28,41
NU18,41
SkU9,41
JUU6,40
JUU8,40
KRU15,40
KU6,40
LU17,40
SkU29,40
TU18,40
UU16,40
FIU23,39
JUU13,39
JUU9,39
KRU9,39
LU11,39
SOU12,39
SoU3,39
FIU3,38
FÖU5,38
JUU18,38
SfU16,38
SkU23,38
BOU2,37
BOU9,37
JuU28,37
JuU30,37
JuU5,37
KU20,37
LU19,37
SkU10,37
SoU31,37
UU20,37
FIU19,36
JUU19,36
JuU29,36
UU17,36
BOU7,35
FiU27,35
KU5,35
SKU12,35
UFöU1,35
FiU20,34
KRU19,34
SKU15,34
SkU15,34
CU34,33
FiU5,33
CU31,32
FiU32,32
LU18,32
SfU9,32
SkU24,32
CU21,31
FiU14,31
NU22,31
SKU8,31
FiU19,30
JUU14,30
LU2,30
LU23,30
SkU11,30
TU19,30
UU18,30
CU3,29
FiU13,29
FiU29,29
KU31,29
KU39,29
LU12,29
LU33,29
SKU10,29
SKU11,29
SKU7,29
CU2,28
FIU15,28
LU28,28
UBU17,28
BOU10,27
FIU12,27
FiU12,27
FÖU3,27
KU38,27
LU22,27
SFU5,27
SfU19,27
UU19,27
UbU2,27
BOU13,26
BoU1,26
FÖU2,26
JuU25,26
NU21,26
SFU4,26
UbU22,26
BOU6,25
CU4,25
FIU14,25
JuU31,25
KRU11,25
SKU22,25
SfU22,25
TU20,25
UFöU3,25
FöU10,24
JuU27,24
SkU27,24
SkU30,24
FiU33,23
FÖU10,23
FöU12,23
KU35,23
KrU13,23
SKU23,23
UBU18,23
UbU23,23
FiU28,22
FiU8,22
KRU13,22
KU40,22
LU13,22
SFU3,22
SKU25,22
SoU21,22
SoU30,22
AU14,21
FIU26,21
LU7,21
NU20,21
SKU9,21
SOU16,21
SfU17,21
UBU19,21
UFöU4,21
BoU6,20
LU20,20
UFöU5,20
UbU21,20
BoU7,19
FIU6,19
FIU7,19
FiU9,19
KrU12,19
LU3,19
NU25,19
SFU7,19
SFU9,19
SKU18,19
SfU28,19
UbU20,19
BoU5,18
JUU20,18
KU32,18
KU46,18
LU15,18
LU5,18
SOU21,18
SkU6,18
UMJU1,18
CU33,17
FIU8,17
FiU30,17
FiU35,17
FiU4,17
JUU12,17
JUU2,17
KU37,17
SFU13,17
SFU17,17
SKU17,17
SkU3,17
SkU5,17
SkU8,17
FIU18,16
FiU39,16
JUU29,16
SKU1,16
SKU16,16
SOU14,16
SkU4,16
SoU25,16
AU12,15
BoU10,15
CU22,15
CU30,15
FIU22,15
FiU15,15
FiU24,15
FöU13,15
JUU28,15
KrU29,15
MJU26,15
SKU6,15
SkU7,15
BoU4,14
CU24,14
CU26,14
FIU13,14
FIU20,14
JUU4,14
JuU36,14
KRU21,14
KU42,14
KUU2,14
NU23,14
SFU6,14
SKU24,14
SKU5,14
TU22,14
TU24,14
BOU11,13
BoU11,13
FiU31,13
FÖU4,13
JUU5,13
JuU41,13
LU26,13
NU26,13
SkU2,13
TU21,13
UbU25,13
FIU27,12
FIU5,12
FiU40,12
FÖU7,12
JUU26,12
SKU2,12
SOU19,12
SkU28,12
SkU32,12
BOU14,11
CU32,11
FIU17,11
FIU28,11
FIU9,11
FiU37,11
KRU10,11
KRU20,11
KrU26,11
LU21,11
LU6,11
SFU11,11
SFU18,11
SKU28,11
SKU3,11
SOU17,11
BoU12,10
CU23,10
FIU24,10
FÖU6,10
FöU14,10
KRU17,10
KRU18,10
LU24,10
NU24,10
SkU31,10
CU25,9
FiU38,9
JUU21,9
JUU23,9
JUU24,9
JUU3,9
KrU24,9
KrU31,9
SKU13,9
FIU25,8
FIU4,8
FiU36,8
JUU27,8
KRU12,8
LU25,8
LU4,8
SkU33,8
SkU34,8
SoU27,8
SoU28,8
CU27,7
FIU16,7
FiU41,7
JuU38,7
KU36,7
LU29,7
SKU4,7
SOU18,7
UbU27,7
AU15,6
BoU9,6
CU29,6
JuU44,6
KU41,6
KrU22,6
MJU31,6
SKU32,6
SOU20,6
SfU21,6
UU24,6
UU25,6
UbU29,6
BoU3,5
CU28,5
CU35,5
FÖU11,5
FÖU12,5
JUU25,5
JUU32,5
JUU33,5
JuU39,5
JuU40,5
JuU45,5
LU1,5
SFU16,5
SKU26,5
SOU22,5
SkU35,5
TU23,5
UU22,5
UbU33,5
BOU12,4
FiU47,4
FÖU8,4
FöU15,4
JUU22,4
JuU37,4
KU10,4
KrU25,4
LU32,4
NU28,4
SOU24,4
SfU23,4
SfU24,4
SkU36,4
SkU37,4
SoU29,4
UbU26,4
CU36,3
FIU29,3
FiU10,3
FiU42,3
FiU43,3
FöU17,3
JUU31,3
JUU35,3
JuU35,3
KU44,3
LU30,3
LU31,3
LU34,3
LU35,3
MJU30,3
NU27,3
SFU14,3
SKU27,3
SKU29,3
SKU31,3
SKU35,3
SfU26,3
SoU32,3
UFÖU2,3
UU21,3
UU23,3
UbU24,3
