value,count
SoU,11826
TU,10011
MJU,9229
UbU,8824
JuU,8330
SkU,7554
KU,6781
NU,6529
SfU,5534
CU,5276
AU,4769
UU,4508
KrU,4497
FiU,4122
FöU,2273
LU,1286
Finansdepartementet,854
"",833
BoU,824
FI,817
Justitiedepartementet,595
JU,343
kamm,335
N,299
Socialdepartementet,296
S,295
UD,194
Näringsdepartementet,177
Utrikesdepartementet,152
Ju,141
Utbildningsdepartementet,140
SKU,120
FIU,115
JUU,113
U,79
SOU,77
Arbetsmarknadsdepartementet,75
M,72
UBU,68
UFöU,68
Miljö- och energidepartementet,65
Försvarsdepartementet,64
SFU,64
JO,61
Kulturdepartementet,60
Infrastrukturdepartementet,57
Klimat- och näringslivsdepartementet,53
Landsbygds- och infrastrukturdepartementet,53
A,52
BOU,48
KRU,48
Fö,46
Miljödepartementet,34
Statsrådsberedningen,34
SB,31
M  t.o.m. 1 jan-07,30
FÖU,27
M t.o.m. -04,26
Ku,22
L,20
U t.o.m. 1 jan-07,19
IJ,18
U t.o.m. -04,13
KUD t.o.m. -04,9
KUU,8
UFÖU,7
Jordbruksdepartementet,4
Miljö- och samhällsbyggnadsdepartementet,2
CKrU,1
Integrations- och jämställdhetsdepartementet,1
Kru,1
Landsbygdsdepartementet,1
MjU,1
So,1
UMJU,1
USOU,1
Utbildningsdepartementet),1
ku,1
