value,count
Motion,77776
Svar på skriftlig fråga,27247
Skriftlig fråga,26877
Utskottens kallelser och föredragningslistor,12505
Omröstning,11007
Interpellation,10677
Utskottens protokoll,8934
Betänkande,6749
Riksdagsskrivelse,6367
Votering,5092
Bilaga till dokument från EU-nämnden,4502
"",3808
Proposition,3764
Svensk författningssamling,3077
Statens offentliga utredningar,2900
Kommittédirektiv,2890
Protokoll,2327
Kommittéberättelse,2114
Kammarens föredragningslistor,2088
Fakta-pm om EU-förslag,1957
Bilaga,1532
Departementsserien,1258
Yttrande,1256
Talarlista,962
Skrivelse,885
EU-dokument,881
EU-nämndens uppteckningar,815
KU:s särskilda protokoll,760
EU-nämndens protokoll,751
EU-nämndens skriftliga samråd,690
KU:s särskilda kallelse och föredragningslista,591
Framställning / redogörelse,465
KU-anmälan,450
EU-nämndens kallelse och föredragningslista,431
Öppen utfrågning,380
Valprövningsnämndens beslut,373
Frågestund,327
Utskottens verksamhetsberättelse,301
Rapport från riksdagen,273
Riksrevisionens granskningsrapport,267
Utlåtande,252
Arbetsplenum,224
Föreskrifter i Riksdagsförvaltningens författningssamling,203
Interpellationsdebatt,186
Öppet seminarium,166
minråd,165
Session,150
Redogörelse,124
Visning,123
Partiledardebatt,115
Öppet sammanträde,82
Öppet samråd,75
Information från regeringen,66
Val,57
Statsministerns frågestund,53
Utrikespolitisk debatt,48
Aktuell debatt,47
Allmänpolitisk debatt,42
Budgetdebatt,42
Presskonferens,42
Resa,41
Framställning,40
Riksmötets öppnande,36
Utredning från Riksdagsförvaltningen,32
Övrigt kammaren,31
Debatt med anledning av vårpropositionen,27
Särskild debatt,24
utskottsdokument,22
Övrig händelse,22
Bordläggningsplenum,21
EU-nämndens verksamhetsberättelse,21
Filmer om riksdagen,21
Ungdomens riksdag,18
Avslutning,17
EU-nämndens dokument,17
Avtackning,14
Upprop,13
Återrapportering,12
Inledning,11
Parentation,11
Öppet hus,11
Besök,9
sam-debate,8
Öppen konferens,8
Seminarium,4
Hälsningsanförande,2
Högtidlighållande,2
Inkommande besök,2
Register,2
Remissdebatt,2
Träffa ledamöter,2
Allmän debattimme,1
Bordläggning av ärenden,1
EU-debatt,1
Utgående besök,1
