value,count
mot,94696
frs,37277
fr,36761
utskottsmöte,20105
votering,15212
utskottsdokument,14723
ip,13737
kammakt,10572
bet,9256
rskr,8461
prop,5889
eunbil,5071
"",4954
sfs,3948
dir,3629
sou,3325
prot,3004
f-lista,2860
komm,2615
fpm,2548
yttr,1638
samtr,1587
bilaga,1532
ds,1424
eu-dokument,1386
t-lista,1345
skflista,1162
eunprot,1100
eundok,1079
frsrdg,787
skrsam,690
vpnbeslut,595
kf-lista,594
kalakt,546
rir,419
rfr,327
rfs,247
minråd,165
Redaktionellt,46
urf,36
urd,21
uttag,12
Utskottsdokument,1
