value,count
"",54106
SoU,12158
TU,10288
KU,9998
MJU,9908
UbU,9533
JuU,8952
SkU,8060
NU,7661
SfU,6661
s,6295
AU,6047
FiU,5851
UU,5825
CU,5720
M,5647
KrU,5553
kamm,5551
S,5310
m,4371
L,4186
FöU,3690
EUN,3256
kd,2413
v,2067
LU,1745
c,1527
V,1520
SD,1351
mp,1188
BoU,1062
Ju-dep,1057
Europeiska kommissionen,870
FI,856
Socialdepartementet,853
C,771
Finansdepartementet,759
MP,683
Fi-dep,667
Justitiedepartementet,629
Utbildningsdepartementet,542
N-dep,519
S-dep,513
KD,468
KK,450
U-dep,414
RR,387
VPN,378
JU,344
UFöU,344
Näringsdepartementet,336
eun,316
JUU,303
N,301
UBU,269
Nä-dep,257
RDF,244
SOU,237
Jo-dep,230
SKU,228
Kulturdepartementet,215
FIU,214
SFU,213
Fö-dep,206
Utrikesdepartementet,196
UD,194
RRS,193
M-dep,191
Miljödepartementet,179
Finansdepartementet S3,166
Försvarsdepartementet,166
BOU,160
KRU,148
Ku-dep,145
Ut-dep,145
Ju,142
Arbetsmarknadsdepartementet,139
Justitie-dep,136
UD-dep,135
-,126
Finans-dep,125
Klimat- och näringslivsdepartementet,125
Närings-dep,99
A-dep,91
RS,91
KUU,88
Miljö- och energidepartementet,87
Statsrådsberedningen,87
JO,85
Landsbygds- och infrastrukturdepartementet RSL,82
U,82
Klimat- och näringslivsdepartementet RSE,78
Landsbygds- och infrastrukturdepartementet RSIB TM,75
Justitiedepartementet DÅ,74
RB,67
Finansdepartementet S2,65
Utrikes-dep,65
SB,62
Justitiedepartementet BIRS,60
Justitiedepartementet L2,57
Justitiedepartementet L4,54
A,52
FÖU,52
Landsbygds- och infrastrukturdepartementet,51
Miljö-dep,49
Finansdepartementet S1,48
Fö,47
Jordbruksdepartementet,44
Landsbygdsdepartementet,44
Arbetsmarknadsdepartementet AA,43
IJ-dep,43
Finansdepartementet FMA B,41
Riksbanken,37
Arbetsmarknadsdepartementet IU,36
Justitiedepartementet L3,36
Justitiedepartementet L6,36
Klimat- och näringslivsdepartementet RSN,35
Justitiedepartementet L1,34
ku,32
Finansdepartementet KO,30
M t.o.m. 1 jan-07,30
Näringsdepartementet RSL,30
Bou,29
Justitiedepartementet DOM,28
Justitiedepartementet L5,28
LI-dep,27
Arbetsmarknads-dep,26
M t.o.m. -04,26
Finansdepartementet FMA FPM,25
NR,25
Finansdepartementet FMA V,24
Justitiedepartementet L7,24
Finansdepartementet ESA,23
Utbildnings-dep,23
JuSoU,22
KN-dep,22
Ku,22
ER,21
fiu,21
Finansdepartementet E2,20
MjU,20
Arbetsmarknadsdepartementet ARM,19
Finansdepartementet OU,19
Landsbygds-dep,19
RJ,19
U t.o.m. 1 jan-07,19
IJ,18
Landsbygds- och infrastrukturdepartementet BB,18
Finansdepartementet SKA,17
Integrations- och jämställdhetsdepartementet,17
UMJU,17
OSSE,16
Finansdepartementet SFÖ,15
Finansinspektionen,15
Näringsdepartementet RS N,15
RD,15
Social-dep,15
Finansdepartementet DIS,14
Infrastrukturdepartementet,14
Justitiedepartementet KRIM,14
Finansdepartementet BA ToT,13
Finansdepartementet K,13
SB-dep,13
U t.o.m. -04,13
Justitiedepartementet Å,11
Kultur-dep,11
Landsbygds- och infrastrukturdepartementet RSIB TP,11
Landsbygds- och infrastrukturdepartementet RSIB US,11
Justitiedepartementet D,10
Miljö- och samhällsbyggnadsdepartementet,10
Integrations- och jämställdhetsdepartementet DISK,9
KUD t.o.m. -04,9
Näringsdepartementet RSN,9
UFÖU,9
cu,9
Arbetsmarknadsdepartementet MRD,8
Försvars-dep,8
Uk-dep,8
Utbildnings- och kulturdepartementet,8
sou,8
tu,8
ÖN,8
"Europeiska kommissionen, Höga Representanten",7
Finansdepartementet DOF,7
Finansdepartementet UR,7
Försäkringskassan,7
I-dep,7
Miljö- och energi-dep,7
NL,7
PN,7
RAN,7
RAR,7
USoU,7
nu,7
rd,7
Arbetsmarknadsdepartementet JÄM,6
Finansdepartementet KL,6
L-dep,6
SN,6
TM,6
föu,6
kru,6
Näringsdepartementet RST,5
au,5
sku,5
ubu,5
Finansdepartementet RS,4
Infrastrukturdepartementet RSED D,4
Infrastrukturdepartementet RSED E,4
Integrations- och jämställdhetsdepartementet KO,4
Landsbygds- och infrastrukturdepartementet SPN,4
"Miljödepartementet, Näringsdepartementet",4
Statens bostadskreditnämnd,4
URF,4
juu,4
sfu,4
uu,4
Arbetsmarknadsdepartementet SV,3
CKrU,3
Finansdepartementet S5,3
Finansdepartementet S7,3
Infrastruktur-dep,3
Infrastrukturdepartementet RST TM,3
Justitiedepartementet PO,3
Landsbygds- och infrastrukturdepartementet RSIB,3
Rr,3
Europaparlamentet,2
"FiU,KU",2
Finansdepartementet BA EU,2
Finansdepartementet BB,2
Finansdepartementet BF,2
Finansdepartementet IEA PRO,2
"JuU,SoU",2
Landsbygds- och infrastrukturdepartementet SPN BB,2
"Miljö-dep, Närings-dep",2
RFK,2
Riksförsäkringsverket,2
"SkU,NU",2
TK,2
Utbildningsdepartementet),2
Utrikesdepartementet HI,2
uföu,2
167,1
181,1
20170919,1
3DCA,1
Arbetsmarknadsdepartementet I,1
"Arbetsmarknadsdepartementet, Näringsdepartementet",1
Europol,1
"FiU, KU",1
"FiU,KU,KrU,MJU,NU,UbU",1
"FiU,SfU",1
"Finans-dep, Utrikes-dep",1
"Finansdep, Jordbruksdep, Näringsdep",1
Finansdepartementet B,1
Finansdepartementet BA,1
Finansdepartementet BO,1
Finansdepartementet DF,1
Finansdepartementet F,1
Finansdepartementet FMA,1
Finansdepartementet FPM,1
Finansdepartementet Fi S3,1
Finansdepartementet FÖ,1
Finansdepartementet MF,1
Finansdepartementet SF,1
Finansdepartementet SP,1
"Finansdepartementet, Statsrådsberedningen",1
"Finansdepartementet, Utrikesdepartementet",1
H.M. Konungen,1
IPU,1
Infrastrukturdepartementet RSED DF,1
Infrastrukturdepartementet RST TP,1
Integrations- och jämställdhetsdepartementet IM,1
Jordbruks-dep,1
"Jordbruksdepartementet, Socialdepartementet",1
Ju -dep,1
"JuU,TU",1
JuU|SoU,1
Justitiedepartementet KO,1
Justitiedepartementet SIM,1
"Justitiedepartementet, Utrikesdepartementet",1
KFiU,1
"KU, FiU, MjU, NU, UbU, KrU",1
"KU,JuU",1
"KU,KrU,TU",1
KrUNU,1
Kru,1
"Kultur-dep, Utbildnings-dep",1
