value,count
2005/06,13261
2016/17,12434
2004/05,11998
2015/16,11563
2007/08,11187
2008/09,10886
2009/10,10882
2013/14,10424
2012/13,10369
2003/04,10035
2011/12,9830
2006/07,9603
2001/02,9325
2017/18,9260
2010/11,9158
2014/15,9035
2024/25,8981
2000/01,8490
2002/03,8372
2025/26,7198
2023/24,4412
2021/22,3895
1999/2000,3106
2022/23,2776
"",2708
2020/21,2201
2018/19,2144
2019/20,1476
2007,864
2004,813
2011,740
2002,739
2003,736
2005,725
2014,687
2016,673
2008,654
2013,635
2025,630
2015,626
2001,623
2000,621
2009,620
2012,608
2006,603
2017,584
2010,562
2018,316
2022,216
2023,169
1999,144
2021,129
2024,101
2019,98
2020,64
2025/2026,3
1997,1
1998/99,1
95,1
zz,1
