value,count
"",89729
Ank T,25591
Klar,22587
korrekturläst,22063
inträffat,15135
Trycklov,10630
Inkommen,9953
Besvarad,9822
hämtad,6479
Hänvisad,3943
hämtad_2,2565
Webbpublicering,2239
Skickad,1778
planerat,1577
titel,1559
ok,1527
Publicerad,1309
justerat,1144
Tidigare riksdagsledamot,1116
DokTextExtraktor,759
Återtagen,593
saknas,470
Inga uppdrag,402
Tjänstgörande riksdagsledamot,325
ANKT,292
digitaliserad,283
slutlig,283
Avslag,273
Original,262
Avslutad,235
doktextextraktor,231
Tidigare ersättare,202
Utgången,200
Tillgänglig ersättare,128
Pågående,127
Avslutad 2008,124
Upphävd,124
Avslutad 2005,115
Avslutad 2004,110
Avslutad 2003,108
Avslutad 2006,104
Avslutad 2007,98
Avslutad 2009,98
Avslutad 2015,98
preliminär,95
Avslutad 2010,90
Avslutad 2011,87
Reviderad kallelse o,86
Avslutad 2002,80
Avslutad 2017,79
Avslutad 2012,77
Avslutad 2018,77
Avslutad 2013,70
Avslutad 2014,70
Avslutad 2016,68
tillfälligt dok_id,63
Avslutad 2001,57
Kallelse och föredra,56
Avvisat,54
Gällande,54
fel,53
Inte besvarad,41
Avslutad 2019,36
Granskad,34
Avgången riksdagsledamot,30
Status saknas,30
felkonverterat,27
Utskick 2,25
Avslutad 2020,24
Europaparlamentariker,24
Distribution.UttagMo,22
Tidigare europaparlamentariker,22
Bifall,20
Tidigare statsråd,19
Avslutad 2021,18
till Web,18
Tidigare ledamot i Styrelsen för Stiftelsen Riksbankens Jubileumsfond,16
Avslutad 2000,15
Avslutad 2022,15
Tidigare personlig suppleant i Styrelsen för Stiftelsen Riksbankens Jubileumsfond,13
Tjänstgörande statsrådsersättare,13
Förfallen,12
Avskrivet,10
Tjänstgörande ersättare,8
Delvis bifall,7
Tjänstledig riksdagsledamot,7
Ledamot i Styrelsen för Stiftelsen Riksbankens Jubileumsfond,5
Tidigare riksrevisor i Riksrevisorerna,5
Personlig suppleant i Styrelsen för Stiftelsen Riksbankens Jubileumsfond,4
Tidigare ställföreträdande ombudsman i Riksdagens ombudsmän,4
Utan åtgärd,4
Avliden  1989-05-08,3
Delvis avslag,3
Justitieombudsman i Riksdagens ombudsmän,3
LagdTillHandlingarna,3
Ledamot i Riksbanksfullmäktige,3
Pågår,3
Tidigare justitieombudsman i Riksdagens ombudsmän,3
Tidigare ledamot i Nämnden för lön till riksdagens ombudsmän och riksrevisorn,3
Tidigare ledamot i Riksbanksfullmäktige,3
Tidigare riksrevisor med administrativt ansvar i Riksrevisorerna,3
Tidigare utrikesminister,3
hï¿½mtad,3
ojusterat,3
slutfört,3
uppdaterad,3
Avliden  2013-01-11,2
Avliden  2021-07-07,2
Avliden  2021-07-31,2
Avliden  2021-12-19,2
Avliden  2024-07-02,2
Ledamot i Nämnden för lön till riksdagens ombudsmän och riksrevisorn,2
Ledamot i Nämnden för prövning av statsråds och vissa andra befattningshavares övergångsrestriktione,2
