value,count
 Avslag,41982
Avslag,24861
"",6615
avslag,2388
 Bifall,1543
Bifall,1261
" Avslag,  Avslag",418
 Delvis bifall,384
Delvis bifall,359
bifall,141
delvis bifall,108
" Bifall,  Bifall",63
BifallDelvis,42
" Bifall,  Bifall,  Bifall",37
" Avslag,  Avslag,  Avslag",22
" Bifall,  Bifall,  Bifall,  Bifall",17
"Avslag,Avslag",16
" Bifall,  Delvis bifall",13
" Bifall,  Bifall,  Bifall,  Bifall,  Bifall",12
" Avslag,  Delvis bifall",11
" Avslag,  Avslag,  Avslag,  Avslag",10
" Avslag,  Bifall",9
" Avslag,  Avslag,  Avslag,  Avslag,  Avslag",8
" Bifall,  Bifall,  Delvis bifall",7
" Bifall,  Bifall,  Bifall,  Bifall,  Bifall,  Bifall",5
" Bifall,  Bifall,  Bifall,  Bifall,  Bifall,  Bifall,  Bifall,  Bifall,  Bifall",4
" Delvis bifall,  Delvis bifall",4
" Bifall,  Avslag",3
" Bifall,  Bifall,  Bifall,  Bifall,  Bifall,  Bifall,  Bifall,  Bifall",3
" Bifall,  Bifall,  Bifall,  Bifall,  Bifall,  Bifall,  Delvis bifall",3
" Bifall,  Bifall,  Bifall,  Bifall,  Delvis bifall",3
" Bifall,  Bifall,  Bifall,  Delvis bifall",3
" Bifall,  Delvis bifall,  Delvis bifall",3
AVSLAG,3
"Avslag,Avslag,Avslag",3
" Avslag,  Avslag,  Avslag,  Avslag,  Avslag,  Avslag",2
" Bifall,  Bifall,  Bifall,  Bifall,  Bifall,  Bifall,  Bifall",2
" Bifall,  Bifall,  Delvis bifall,  Bifall",2
" Bifall,  Delvis bifall,  Bifall",2
" Delvis bifall,  Bifall",2
" Delvis bifall,  Bifall,  Bifall",2
",",2
-,2
" Avslag,  Avslag,  Avslag,  Avslag,  Avslag,  Avslag,  Avslag,  Avslag",1
" Avslag,  Avslag,  Avslag,  Avslag,  Avslag,  Avslag,  Avslag,  Avslag,  Avslag,  Avslag,  Avslag,  Avslag,  Avslag",1
" Avslag,  Avslag,  Avslag,  Avslag,  Bifall",1
" Avslag,  Avslag,  Avslag,  Bifall",1
" Avslag,  Avslag,  Bifall",1
" Avslag,  Bifall,  Avslag",1
" Avslag,  Bifall,  Bifall,  Bifall,  Delvis bifall,  Bifall,  Bifall",1
" Avslag,  Bifall,  Delvis bifall",1
" Bifall,  Avslag,  Avslag",1
" Bifall,  Bifall,  Avslag,  Bifall,  Delvis bifall,  Delvis bifall",1
" Bifall,  Bifall,  Bifall,  Bifall,  Bifall,  Avslag,  Bifall,  Bifall,  Delvis bifall,  Bifall,  Bifall,  Bifall",1
" Bifall,  Bifall,  Bifall,  Bifall,  Bifall,  Bifall,  Bifall,  Bifall,  Delvis bifall,  Bifall,  Bifall,  Bifall,  Bifall,  Bifall,  Delvis bifall,  Delvis bifall,  Delvis bifall,  Delvis bifall,  Delvis bifall,  Bifall",1
" Bifall,  Bifall,  Bifall,  Bifall,  Bifall,  Bifall,  Bifall,  Delvis bifall,  Delvis bifall",1
" Bifall,  Bifall,  Bifall,  Bifall,  Bifall,  Delvis bifall,  Bifall",1
" Bifall,  Bifall,  Bifall,  Bifall,  Delvis bifall,  Bifall",1
" Bifall,  Bifall,  Bifall,  Delvis bifall,  Bifall,  Bifall,  Bifall,  Bifall,  Bifall",1
" Bifall,  Bifall,  Delvis bifall,  Bifall,  Bifall,  Bifall,  Bifall,  Bifall,  Delvis bifall,  Bifall,  Bifall,  Bifall,  Bifall,  Bifall",1
" Bifall,  Delvis bifall,  Avslag",1
" Bifall,  Delvis bifall,  Delvis bifall,  Bifall,  Bifall,  Bifall,  Delvis bifall,  Delvis bifall,  Delvis bifall",1
" Delvis bifall,  Bifall,  Bifall,  Bifall,  Delvis bifall",1
" Delvis bifall,  Bifall,  Bifall,  Delvis bifall",1
" Delvis bifall,  Delvis bifall,  Delvis bifall,  Bifall",1
" Delvis bifall,  Delvis bifall,  Delvis bifall,  Bifall,  Delvis bifall",1
"Avslag,Avslag,Avslag,Avslag",1
"Avslag,Bifall",1
"Bifall,Bifall",1
"bifall till konvention nr 182, i övrigt till handlingarna",1
bifall till propositionen,1
