value,count
GN01AU1,1
GN01AU2,1
GN01AU3,1
GN01AU4,1
GN01AU5,1
GN01AU6,1
GN01AU7,1
GN01AU8,1
GN01BoU10,1
GN01BoU4,1
GN01BoU5,1
GN01BoU6,1
GN01BoU7,1
GN01BoU8,1
GN01BoU9,1
GN01FiU14,1
GN01FiU15,1
GN01FiU16,1
GN01FiU17,1
GN01FiU18,1
GN01FiU19,1
GN01FiU20,1
GN01FiU21,1
GN01FiU22,1
GN01FiU23,1
GN01FiU24,1
GN01FiU25,1
GN01FiU26,1
GN01FiU27,1
GN01FiU28,1
GN01FiU29,1
GN01FiU30,1
GN01FöU2,1
GN01FöU3,1
GN01FöU4,1
GN01FöU5,1
GN01FöU6,1
GN01FöU7,1
GN01FöU8,1
GN01JuU10,1
GN01JuU11,1
GN01JuU12,1
GN01JuU13,1
GN01JuU14,1
GN01JuU15,1
GN01JuU16,1
GN01JuU17,1
GN01JuU18,1
GN01JuU19,1
GN01JuU20,1
GN01JuU21,1
GN01JuU22,1
GN01JuU23,1
GN01JuU6,1
GN01JuU7,1
GN01JuU8,1
GN01JuU9,1
GN01KU11,1
GN01KU12,1
GN01KU13,1
GN01KU14,1
GN01KU15,1
GN01KU16,1
GN01KU17,1
GN01KU18,1
GN01KU19,1
GN01KU20,1
GN01KU20d2,1
GN01KU21,1
GN01KU22,1
GN01KU23,1
GN01KrU10,1
GN01KrU11,1
GN01KrU12,1
GN01KrU13,1
GN01KrU14,1
GN01KrU7,1
GN01KrU8,1
GN01KrU9,1
GN01LU10,1
GN01LU11,1
GN01LU12,1
GN01LU13,1
GN01LU14,1
GN01LU15,1
GN01LU16,1
GN01LU17,1
GN01LU18,1
GN01LU19,1
GN01LU20,1
GN01LU21,1
GN01LU22,1
GN01LU23,1
GN01LU24,1
GN01LU3,1
GN01LU4,1
GN01LU5,1
GN01LU6,1
GN01LU7,1
GN01LU8,1
GN01LU9,1
GN01MJU10,1
GN01MJU11,1
GN01MJU12,1
GN01MJU13,1
GN01MJU14,1
GN01MJU15,1
GN01MJU16,1
GN01MJU17,1
GN01MJU18,1
GN01MJU6,1
GN01MJU7,1
GN01MJU8,1
GN01MJU9,1
GN01NU10,1
GN01NU11,1
GN01NU12,1
GN01NU13,1
GN01NU14,1
GN01NU15,1
GN01NU16,1
GN01NU17,1
GN01NU18,1
GN01NU8,1
GN01NU9,1
GN01SfU10,1
GN01SfU11,1
GN01SfU12,1
GN01SfU8,1
GN01SfU9,1
GN01SkU13,1
GN01SkU14,1
GN01SkU15,1
GN01SkU16,1
GN01SkU17,1
GN01SkU18,1
GN01SkU19,1
GN01SkU20,1
GN01SkU21,1
GN01SkU22,1
GN01SkU23,1
GN01SkU24,1
GN01SoU10,1
GN01SoU11,1
GN01SoU12,1
GN01SoU13,1
GN01SoU14,1
GN01SoU6,1
