value,count
202100-0076,35
202100-0035,28
202100-0050,28
202100-0068,28
202100-0084,28
202100-0225,28
202100-0340,28
202100-0365,28
202100-0555,28
202100-0654,28
202100-0696,28
202100-0704,28
202100-0712,28
202100-0795,28
202100-0829,28
202100-0837,28
202100-0845,28
202100-0928,28
202100-0969,28
202100-1074,28
202100-1082,28
202100-1090,28
202100-1108,28
202100-1124,28
202100-1132,28
202100-1173,28
202100-1199,28
202100-1215,28
202100-1280,28
202100-1710,28
202100-1819,28
202100-1850,28
202100-1868,28
202100-1975,28
202100-2007,28
202100-2064,28
202100-2072,28
202100-2098,28
202100-2114,28
202100-2122,28
202100-2148,28
202100-2163,28
202100-2247,28
202100-2254,28
202100-2262,28
202100-2270,28
202100-2288,28
202100-2296,28
202100-2304,28
202100-2312,28
202100-2320,28
202100-2346,28
202100-2353,28
202100-2361,28
202100-2395,28
202100-2403,28
202100-2411,28
202100-2429,28
202100-2437,28
202100-2445,28
202100-2452,28
202100-2460,28
202100-2478,28
202100-2528,28
202100-2585,28
202100-2627,28
202100-2635,28
202100-2650,28
202100-2726,28
202100-2742,28
202100-2817,28
202100-2841,28
202100-2874,28
202100-2890,28
202100-2908,28
202100-2916,28
202100-2924,28
202100-2932,28
202100-2957,28
202100-2973,28
202100-3054,28
202100-3062,28
202100-3096,28
202100-3120,28
202100-3138,28
202100-3146,28
202100-3153,28
202100-3195,28
202100-3203,28
202100-3211,28
202100-3252,28
202100-3260,28
202100-3278,28
202100-3310,28
202100-3435,28
202100-3476,28
202100-3484,28
202100-3567,28
202100-3625,28
202100-3666,28
202100-3690,28
202100-3815,28
202100-3831,28
202100-3880,28
202100-3989,28
202100-3997,28
202100-4011,28
202100-4052,28
202100-4060,28
202100-4078,28
202100-4151,28
202100-4169,28
202100-4185,28
202100-4227,28
202100-4235,28
202100-4284,28
202100-4334,28
202100-4342,28
202100-4359,28
202100-4417,28
202100-4466,28
202100-4474,28
202100-4508,28
202100-4524,28
202100-4573,28
202100-4607,28
202100-4615,28
202100-4631,28
202100-4730,28
202100-4771,28
202100-4789,28
202100-4805,28
202100-4870,28
202100-4888,28
202100-4896,28
202100-4904,28
202100-4912,28
202100-4920,28
202100-4946,28
202100-4953,28
202100-4961,28
202100-4979,28
202100-5000,28
202100-5026,28
202100-5075,28
202100-5091,28
202100-0464,27
202100-0852,27
202100-1033,27
202100-3427,27
202100-5141,27
202100-5174,27
202100-3591,26
202100-5182,26
202100-5208,26
202100-5216,26
202100-5224,26
202100-5232,26
202100-5240,26
202100-5273,26
202100-5331,25
202100-5364,25
202100-5380,25
202100-5356,24
202100-5422,24
202100-5414,23
202100-5448,23
202100-5489,23
202100-5521,22
202100-4813,21
202100-5588,21
202100-5612,21
202100-3732,20
202100-4995,19
202100-5646,19
202100-5687,19
202100-5695,19
202100-5703,19
202100-5737,19
202100-5745,19
202100-6065,19
202100-2015,18
202100-3971,18
202100-5463,18
202100-5984,18
202100-6073,18
202100-6099,18
202100-6149,18
202100-6164,18
202100-6214,18
202100-6230,18
202100-6248,18
202100-6313,18
202100-3294,17
202100-4029,17
202100-6255,17
202100-6271,17
202100-6297,17
202100-6305,17
202100-6347,17
202100-5281,16
202100-6081,16
202100-6404,16
202100-6412,16
202100-6420,16
202100-1298,15
202100-2965,15
202100-4383,15
202100-4532,15
202100-4987,15
202100-6453,15
202200-1545,15
202200-1552,15
202200-1560,15
202200-1578,15
202200-1586,15
202200-1594,15
202100-0787,14
202100-4276,14
202100-4367,14
202100-4797,14
202100-4854,14
202100-4862,14
202100-6487,14
202100-6495,14
202100-6537,14
202100-1843,13
202100-3765,13
202100-6396,13
202100-6545,13
202100-6552,13
202100-6560,13
202100-0639,12
202100-1041,12
202100-1249,12
202100-1306,12
202100-4003,12
202100-4680,12
202100-4714,12
202100-4847,12
202100-5059,12
202100-6370,12
202100-6594,12
202100-6602,12
202100-6610,12
202100-3179,11
202100-3187,11
202100-4128,11
202100-4219,11
202100-5034,11
202100-0498,10
202100-0571,10
202100-1165,10
202100-2544,10
202100-3492,10
202100-3617,10
202100-3914,10
202100-3948,10
202100-4672,10
202100-5083,10
202100-5117,10
202100-3005,9
202100-3641,9
202100-3963,9
202100-4292,9
202100-4482,9
202100-4516,9
202100-5018,9
202100-5166,9
202100-5190,9
202100-5299,9
202100-6693,9
202100-6883,9
210000-9999,9
202100-0670,8
202100-4177,8
202100-5042,8
202100-5067,8
202100-5265,8
202100-5323,8
202100-6875,8
202100-6925,8
202100-1835,7
202100-1876,7
202100-1918,7
202100-2080,7
202100-4425,7
202100-4557,7
202100-4599,7
202100-4623,7
202100-5307,7
202100-5349,7
202100-5604,7
202100-6933,7
"",6
202100-0548,6
202100-5406,6
202100-6339,6
202200-1537,6
202100-0878,5
202100-0985,5
202100-2668,5
202100-5109,5
202100-5125,5
202100-5133,5
202100-5505,5
202100-6701,5
202100-7014,5
202100-7022,5
202100-3658,4
