value,count
GS02Sf257,1
H5022851,1
GR02Fi286,1
GR03120,1
GT02N201,1
GU01CU5,1
H4022846,1
H102N322,1
GY01UU12,1
H102Ju6,1
H502134,1
GV02A9,1
H102Sk356,1
GR02L16,1
GW02Ub508,1
GV02K294,1
GZ02MJ448,1
H5022583,1
HD02355,1
GR02Ju268,1
H4022683,1
GQ02Kr327,1
GT01UbU21,1
H002T224,1
H102T246,1
GS02T280,1
H00390,1
H202750,1
GT02Kr22,1
GO02T639,1
HD02957,1
HB01SfU12,1
GX03133,1
HB02685,1
GQ02K426,1
HC023115,1
H101FiU11,1
HD023407,1
GQ02L212,1
HD02371,1
GN01SoU9,1
GZ02K321,1
H2022360,1
GV02Kr335,1
H002MJ484,1
GZ02Sf231,1
H302877,1
HC022036,1
GP02Ub333,1
GQ02U253,1
HC022638,1
GP02Sk273,1
HC022510,1
GQ02Sf218,1
GP02A375,1
GW02MJ258,1
GZ02U210,1
GU02So283,1
GQ01NU1,1
GV02C309,1
HB02613,1
HC022147,1
GU02Ju397,1
H102T301,1
H9021667,1
GP01LU24,1
GY02N331,1
GY02A218,1
GS02N18,1
H102T356,1
GQ02Ub505,1
GV02Sk12,1
GU02T313,1
GR02MJ373,1
H402256,1
H401TU7,1
GR02So633,1
H002A389,1
GV02Ju219,1
H102C241,1
H002C375,1
GP02Sf265,1
H9022232,1
GS02MJ369,1
GT02MJ286,1
GQ02Fi3,1
HC023164,1
GO02Kr601,1
H4023114,1
H3022383,1
GQ02Ub268,1
GR02L305,1
H4023199,1
GW02N413,1
GO02Kr4,1
GT02T452,1
GT02U318,1
GT02U214,1
GX02So389,1
H002Fö265,1
HB021715,1
GT02Ju424,1
GT02MJ513,1
GX01JuU29,1
GX02N355,1
GV02Kr257,1
H202722,1
GS02Bo233,1
H9022015,1
HD022915,1
H4022206,1
H4021517,1
GW02MJ429,1
GS02Ju505,1
GT02Ub203,1
GW02MJ501,1
GX02A14,1
GX01UU11,1
HD022275,1
GR02T319,1
H202923,1
GY02Ub302,1
H502424,1
H2022880,1
H002Sf274,1
GP02K202,1
GW02U255,1
GP02A284,1
GV02So245,1
GW02N447,1
H002MJ314,1
GX02So665,1
H4021265,1
H5022564,1
HB02502,1
GW02A220,1
GV01AU5,1
HD02543,1
H202275,1
H102C431,1
HC022304,1
GR02Ju471,1
H901KU40,1
H102Ub354,1
HC023030,1
H4021757,1
H103224,1
H5021024,1
H902784,1
GO02T478,1
HD023622,1
H102Ub340,1
GR02T317,1
GU02K346,1
GQ02T286,1
GS02T515,1
GV02Ju396,1
GS02MJ307,1
H403215,1
H102Sk429,1
GP02Sk279,1
GX02Sf12,1
HD022099,1
H00392,1
GV02Sf289,1
GQ02Sf316,1
GO0365,1
GR02MJ404,1
H002N225,1
GZ02A263,1
GS02N423,1
GR02N259,1
GO02T620,1
GV02Ub437,1
GR02Sf387,1
GW02Ub377,1
GR02Sk293,1
GQ02Sk315,1
H4022757,1
GZ02So516,1
GT02MJ532,1
GQ0368,1
GV02Ub389,1
GX02Ju357,1
HD02686,1
H3021249,1
GR0319,1
GY01UbU16,1
GY02N240,1
H3021419,1
H102T241,1
H102Ub435,1
GT02Kr261,1
GT02T349,1
HD022468,1
H5021818,1
H403161,1
GP02Kr326,1
GS02Fö219,1
H4023734,1
GV0385,1
HC01KU24,1
GS02A387,1
H3022482,1
H3021881,1
H902963,1
GW01KU8,1
H3021024,1
GY02So391,1
H2022202,1
GZ01FiU29,1
GV02N332,1
GU02Sf253,1
GP02Sf326,1
GZ02T210,1
GY02Ub457,1
GV02U4,1
H902693,1
GS02N315,1
GO01LU3,1
GV02Ju226,1
GV02Ju370,1
GV02K415,1
GT02Ju368,1
H9022302,1
GR02Kr260,1
GR02Ub214,1
GV02U316,1
H202886,1
H902538,1
GX01NU11,1
H2022129,1
GT02Sf204,1
GT02T13,1
GR02U5,1
GV02T212,1
GT02T377,1
H5023354,1
GS02K244,1
GX03147,1
H102C272,1
GQ02K377,1
GZ02So489,1
H2021125,1
GO01SfU4,1
H60295,1
H3021025,1
GY01FiU2,1
HB02661,1
GX02N415,1
H5022056,1
H4023551,1
H4023045,1
GS02So267,1
GV02Ub496,1
GU02So282,1
GY02T486,1
GV01MJU14,1
GX02Sk426,1
