value,count
Stockholms län,410154
Stockholms kommun,309956
Göteborgs kommun,182381
Östergötlands län,160132
Skåne läns södra,136609
Västra Götalands läns västra,132754
Jönköpings län,131702
Uppsala län,126555
Örebro län,119494
Hallands län,118906
Skåne läns norra och östra,113985
Värmlands län,113303
Dalarnas län,111720
Södermanlands län,110414
Gävleborgs län,108889
Västra Götalands läns norra,108513
Skåne läns västra,104983
Malmö kommun,104403
Västerbottens län,102737
Västra Götalands läns östra,99268
Västmanlands län,96977
Västernorrlands län,95163
Norrbottens län,89590
Kalmar län,84593
Västra Götalands läns södra,70614
Kronobergs län,63854
Blekinge län,54251
Jämtlands län,47344
Gotlands län,20228
"",314
