vote,party,count
JA,S,701856
JA,M,520578
NEJ,S,231669
FRÅNVARANDE,S,226889
JA,L,146812
FRÅNVARANDE,M,146623
JA,SD,140125
JA,C,139926
JA,KD,124688
NEJ,M,108342
JA,MP,100741
JA,V,97075
FRÅNVARANDE,SD,76783
NEJ,SD,73116
NEJ,V,65617
FRÅNVARANDE,L,60552
FRÅNVARANDE,C,60503
FRÅNVARANDE,V,54074
FRÅNVARANDE,KD,50396
NEJ,L,47389
NEJ,MP,45766
FRÅNVARANDE,MP,42239
NEJ,C,37998
NEJ,KD,37532
AVSTÅR,SD,33570
AVSTÅR,M,32236
AVSTÅR,S,30066
AVSTÅR,V,25762
AVSTÅR,C,17026
AVSTÅR,KD,14811
AVSTÅR,MP,14231
AVSTÅR,L,13813
FRÅNVARANDE,-,5835
JA,-,3575
NEJ,-,1686
AVSTÅR,-,862
