year,committee,assignment_count,unique_members
1990,MJU,9,9
1990,AU,6,6
1990,JuU,6,5
1990,SkU,6,6
1990,UU,5,5
1990,KrU,5,5
1990,LU,5,5
1990,SfU,5,5
1990,FiU,5,5
1990,BoU,4,4
1990,TU,4,4
1990,NU,3,3
1990,KU,3,3
1990,UbU,3,3
1990,SoU,2,2
1990,FöU,1,1
1991,AU,39,38
1991,FiU,39,39
1991,MJU,39,38
1991,NU,39,39
1991,UU,39,38
1991,SoU,38,35
1991,JuU,37,35
1991,UbU,36,36
1991,SfU,36,34
1991,TU,36,33
1991,SkU,36,34
1991,KrU,34,34
1991,LU,31,30
1991,BoU,30,30
1991,KU,30,30
1991,FöU,29,29
1992,EU,80,39
1992,AU,10,9
1992,MJU,9,8
1992,TU,8,7
1992,UbU,7,7
1992,JuU,7,7
1992,KrU,7,7
1992,SfU,7,6
1992,NU,6,6
1992,KU,6,6
1992,FöU,5,5
1992,FiU,4,4
1992,UU,4,4
1992,LU,4,4
1992,BoU,3,3
1992,SkU,2,2
1992,SoU,1,1
1993,FiU,9,8
1993,FöU,8,7
1993,LU,7,6
1993,SoU,7,7
1993,MJU,6,5
1993,UbU,6,5
1993,KU,6,5
1993,UU,5,5
1993,JuU,5,4
1993,NU,5,5
1993,SfU,5,5
1993,BoU,5,5
1993,TU,4,3
1993,KrU,3,3
1993,AU,3,3
1993,SkU,3,3
1994,UU,47,43
1994,FiU,47,43
1994,UbU,46,43
1994,NU,45,43
1994,SkU,45,40
1994,SoU,44,41
1994,KU,42,40
1994,KrU,42,40
1994,AU,42,40
1994,FöU,42,40
1994,MJU,40,38
1994,SfU,40,38
1994,TU,40,38
1994,BoU,39,37
1994,JuU,39,37
1994,LU,39,37
1995,EUN,51,50
1995,UFöU,34,34
1995,UU,19,19
1995,NU,18,16
1995,FiU,17,15
1995,TU,15,11
1995,BoU,13,12
1995,AU,13,13
1995,SoU,12,12
1995,KrU,10,10
1995,SkU,10,10
1995,KU,9,9
1995,JuU,9,8
1995,LU,8,8
1995,SfU,8,8
1995,FöU,8,8
1995,MJU,7,7
1995,UbU,6,6
1996,UFöU,34,34
1996,KU,11,10
1996,SoU,11,11
1996,SfU,11,11
1996,UbU,9,9
1996,UU,9,8
1996,AU,7,7
1996,EUN,6,6
1996,LU,5,5
1996,FiU,4,4
1996,TU,4,4
1996,JuU,4,4
1996,SkU,4,4
1996,KrU,4,4
1996,FöU,3,3
1996,MJU,3,3
1996,NU,3,3
1996,BoU,2,2
1997,EUN,9,9
1997,FiU,6,6
1997,NU,4,4
1997,KU,3,3
1997,UbU,3,3
1997,SfU,3,3
1997,SkU,3,3
1997,SoU,2,2
1997,UU,2,2
1997,FöU,2,2
1997,JuU,2,2
1997,TU,2,2
1997,LU,2,2
1997,KrU,1,1
1998,KrU,48,41
1998,UbU,46,41
1998,SoU,46,41
1998,UU,45,43
1998,KU,45,41
1998,MJU,44,39
1998,EUN,44,44
1998,JuU,43,39
1998,TU,42,38
1998,FöU,42,40
1998,LU,42,36
1998,FiU,42,41
1998,NU,41,39
1998,SfU,41,38
1998,AU,40,38
1998,BoU,39,37
1998,SkU,37,37
1998,UFöU,24,24
1999,UFöU,34,34
1999,SkU,11,9
1999,LU,6,5
1999,FiU,6,5
1999,SfU,6,6
1999,UbU,5,5
1999,NU,4,3
1999,KU,4,4
1999,SoU,4,4
1999,AU,4,4
1999,KrU,4,4
1999,FöU,3,3
1999,UU,3,2
1999,TU,2,2
1999,EUN,2,2
2000,SkU,13,12
2000,EUN,11,10
2000,KU,6,5
2000,SfU,6,6
2000,JuU,5,5
2000,BoU,5,4
2000,UU,5,5
2000,MJU,5,3
2000,FiU,5,4
2000,TU,4,4
2000,UbU,3,3
2000,SoU,3,3
2000,AU,3,2
2000,LU,2,2
2000,NU,1,1
2000,KrU,1,1
2001,KUU,67,39
2001,UFöU,33,33
2001,SkU,9,8
2001,EUN,7,7
2001,JuU,6,5
2001,UbU,5,5
2001,KU,4,3
2001,LU,4,4
2001,MJU,4,4
2001,AU,4,4
2001,SfU,3,3
2001,NU,3,3
2001,KrU,3,3
2001,FöU,2,2
2001,BoU,2,2
2001,FiU,2,2
2001,SoU,2,1
2001,UU,1,1
2002,UFöU,104,65
2002,SoU,52,45
2002,UU,49,43
2002,KU,47,44
2002,UbU,47,44
2002,BoU,46,43
2002,EUN,46,44
2002,MJU,46,44
2002,SkU,45,42
2002,JuU,45,42
2002,SfU,45,43
2002,FiU,44,42
2002,AU,44,40
2002,KrU,43,42
2002,FöU,43,41
2002,TU,41,40
2002,LU,41,41
2002,NU,39,39
2002,KUU,33,33
2003,KUU,52,50
2003,UFöU,35,34
2003,UMJU,35,35
2003,UU,17,13
2003,KU,16,15
2003,NU,14,10
2003,SkU,11,10
2003,SfU,11,11
2003,FiU,10,8
2003,EUN,9,9
2003,UbU,8,7
2003,KrU,8,6
2003,FöU,7,6
2003,SoU,6,6
2003,TU,6,5
2003,MJU,6,4
2003,AU,6,5
2003,LU,4,3
2003,BoU,3,3
2003,JuU,3,3
2004,UFöU,101,43
2004,EUN,15,14
2004,SkU,14,13
2004,FiU,11,10
2004,JuU,11,9
2004,BoU,11,10
2004,FöU,10,9
2004,UbU,10,8
2004,UU,10,10
2004,AU,9,9
2004,SfU,9,8
2004,SoU,9,8
2004,KrU,8,8
2004,NU,8,8
2004,TU,7,7
2004,MJU,6,6
2004,KU,6,6
2004,LU,3,3
2005,UFöU,36,34
2005,USoU,31,31
2005,KrU,16,12
2005,SkU,7,6
2005,KU,6,5
2005,NU,6,5
2005,FiU,5,5
2005,SoU,5,5
2005,TU,5,5
2005,SfU,4,4
2005,AU,4,3
2005,EUN,4,4
2005,LU,3,3
2005,BoU,3,3
2005,UbU,3,3
2005,JuU,3,3
2005,UU,1,1
2006,UFöU,68,55
2006,EUN,54,51
2006,UU,48,45
2006,TU,46,45
2006,KrU,45,45
2006,NU,45,44
2006,UbU,45,42
2006,FöU,44,44
2006,SfU,44,43
2006,AU,43,42
2006,JuU,42,42
2006,CU,41,41
2006,FiU,41,41
2006,KU,41,41
2006,MJU,39,38
2006,SkU,38,38
2006,SoU,37,37
2006,JuSoU,33,33
2007,UFöU,68,39
2007,KUU,37,37
2007,MJU,17,14
2007,UbU,13,13
2007,KU,11,10
2007,NU,10,10
2007,FöU,9,8
2007,UU,9,9
2007,SoU,8,8
2007,EUN,8,8
2007,TU,8,8
2007,JuU,8,7
2007,SfU,7,6
2007,FiU,7,7
2007,SkU,7,7
2007,CU,6,6
2007,AU,5,5
2007,KrU,4,4
2008,UFöU,35,34
2008,JuSoU,31,30
2008,EUN,16,15
2008,JuU,11,11
2008,CU,10,10
2008,TU,10,10
2008,FiU,10,8
2008,KU,9,9
2008,NU,9,8
2008,UU,6,6
2008,UbU,6,5
2008,AU,5,3
2008,FöU,5,5
2008,KrU,4,4
2008,MJU,3,3
2008,SfU,3,2
2008,SoU,2,2
2008,SkU,1,1
2009,UFöU,66,40
