year,committee,doc_count
2000,TU,412
2000,SoU,412
2000,UbU,369
2000,MJU,353
2000,SkU,339
2000,NU,238
2000,KU,224
2000,JuU,213
2000,KrU,204
2000,SfU,195
2000,AU,191
2000,FiU,168
2000,LU,158
2000,UU,146
2000,BoU,116
2000,FöU,102
2000,Finansdepartementet,48
2000,Näringsdepartementet,20
2000,Socialdepartementet,10
2000,Justitiedepartementet,8
2000,Utrikesdepartementet,6
2000,UD,6
2000,Utbildningsdepartementet,5
2000,FI,4
2000,JU,3
2000,N,3
2000,Jordbruksdepartementet,3
2000,Miljödepartementet,3
2000,Kulturdepartementet,3
2000,M t.o.m. -04,2
2000,S,2
2000,Utbildningsdepartementet),1
2000,U t.o.m. -04,1
2001,SoU,495
2001,UbU,405
2001,MJU,396
2001,TU,360
2001,SkU,336
2001,JuU,313
2001,KU,298
2001,KrU,251
2001,SfU,247
2001,NU,230
2001,AU,217
2001,LU,201
2001,UU,175
2001,BoU,166
2001,FiU,137
2001,FöU,110
2001,Finansdepartementet,56
2001,Justitiedepartementet,40
2001,FI,20
2001,Socialdepartementet,16
2001,N,16
2001,JU,11
2001,Utrikesdepartementet,10
2001,S,9
2001,Näringsdepartementet,7
2001,Miljödepartementet,6
2001,Utbildningsdepartementet,6
2001,U t.o.m. -04,5
2001,M t.o.m. -04,5
2001,UD,5
2001,Försvarsdepartementet,5
2001,Fö,2
2001,JO,2
2001,Kulturdepartementet,1
2001,KUD t.o.m. -04,1
2001,KUU,1
2001,Jordbruksdepartementet,1
2002,UbU,369
2002,SoU,363
2002,TU,342
2002,MJU,330
2002,KU,299
2002,SkU,228
2002,NU,218
2002,JuU,217
2002,SfU,208
2002,KrU,186
2002,AU,177
2002,FiU,158
2002,LU,157
2002,UU,136
2002,BoU,125
2002,FöU,80
2002,FI,34
2002,JU,25
2002,S,20
2002,N,16
2002,UD,14
2002,Justitiedepartementet,9
2002,Näringsdepartementet,7
2002,Finansdepartementet,4
2002,M t.o.m. -04,4
2002,JO,3
2002,Fö,3
