year,status,doc_count
2000,"",3641
2000,saknas,201
2000,digitaliserad,148
2001,"",4165
2001,saknas,237
2001,digitaliserad,133
2001,hämtad_2,55
2002,"",3588
2002,hämtad_2,122
2002,saknas,29
2002,digitaliserad,2
2002,DokTextExtraktor,1
2003,"",3919
2003,hämtad_2,178
2004,Trycklov,3614
2004,Original,255
2004,"",249
2004,hämtad_2,200
2005,Trycklov,4670
2005,hämtad_2,173
2005,"",110
2005,Original,2
2006,Trycklov,2238
2006,"",1484
2006,ANKT,292
2006,Ank T,224
2006,hämtad_2,179
2006,inträffat,8
2006,Original,2
2006,63792,1
2006,63846,1
2006,63747,1
2006,63826,1
2006,63727,1
2006,63740,1
2006,63823,1
2006,Inkommen,1
2006,63819,1
2006,63892,1
2006,63829,1
2006,63748,1
2006,63824,1
2006,63822,1
2006,63689,1
2006,63696,1
2006,63776,1
2006,63716,1
2006,63682,1
2006,63832,1
2006,63830,1
2006,63796,1
2006,63688,1
2006,63718,1
2006,63692,1
2006,63746,1
2006,63683,1
2006,63797,1
2006,63735,1
2006,63764,1
2006,63763,1
2006,63800,1
2006,63687,1
2006,63703,1
2006,63825,1
2006,63839,1
2006,63928,1
2006,63720,1
2006,63802,1
2006,63704,1
2006,63725,1
2006,63828,1
2006,63793,1
2006,63761,1
2006,63778,1
2006,63820,1
2006,63717,1
2006,63741,1
2006,63798,1
2006,63838,1
2006,63757,1
2006,63726,1
2006,63759,1
2006,63841,1
2006,63686,1
2006,63837,1
2006,63722,1
2006,63876,1
2006,63758,1
2006,AnkT,1
2006,63877,1
2006,63821,1
2006,63799,1
2006,63709,1
2006,63719,1
2006,63836,1
2006,63745,1
2006,63707,1
2006,63711,1
2006,63789,1
2006,63693,1
2006,63878,1
2006,63795,1
2006,63738,1
2006,63775,1
2006,63712,1
2006,63728,1
2006,63762,1
2006,63723,1
2006,63794,1
2006,63768,1
2006,63791,1
2006,63777,1
2006,63706,1
2006,63818,1
2006,63854,1
2006,63708,1
2006,63730,1
2006,63743,1
2006,63705,1
2006,63690,1
2006,63701,1
2006,63833,1
2006,63681,1
2006,63749,1
2006,63736,1
2006,63769,1
2006,63724,1
2006,63790,1
2006,63801,1
2006,63840,1
2006,63760,1
2006,63691,1
2006,63729,1
2006,63739,1
2007,Ank T,3480
2007,"",278
2007,hämtad_2,134
2007,Trycklov,45
2007,Pågår,2
2007,hämtad,2
2007,Original,2
2007,fel,1
2008,Ank T,3933
2008,"",317
2008,hämtad_2,221
2008,Trycklov,8
2008,hämtad,4
2008,Inkommen,1
2008,Klar,1
2009,Ank T,3994
2009,"",349
2009,hämtad_2,222
2009,Trycklov,22
2009,hämtad,6
2009,doktextextraktor,1
2009,Pågår,1
2010,Ank T,3361
2010,"",280
2010,hämtad_2,242
2010,Trycklov,7
2011,Ank T,3316
2011,hämtad_2,220
2011,"",109
2011,Trycklov,7
2011,hämtad,4
2011,Original,1
2011,DokTextExtraktor,1
2012,Ank T,2713
2012,"",335
2012,inträffat,313
2012,hämtad_2,224
2012,hämtad,221
2012,Distribution.UttagMo,10
2012,Trycklov,4
2012,fel,3
2012,DokTextExtraktor,2
2012,titel,1
2012,ank T,1
2013,Ank T,3115
2013,"",331
2013,hämtad_2,194
2013,DokTextExtraktor,35
2013,Distribution.UttagMo,12
2013,fel,11
2013,inträffat,8
2013,Webbpublicering,6
2013,Trycklov,1
2013,Hänvisad,1
2014,Klar,2965
2014,Ank T,1273
2014,"",289
2014,hämtad_2,158
2014,Webbpublicering,127
2014,DokTextExtraktor,87
2014,Hänvisad,23
2014,felkonverterat,11
2014,planerat,9
2014,inträffat,7
2014,doktextextraktor,3
2014,Trycklov,2
2014,html saknas,2
2014,slutfört,1
2014,Utgår,1
2015,Klar,3459
2015,Webbpublicering,274
2015,Hänvisad,44
2015,Utgången,25
2015,planerat,24
2015,"",23
2015,DokTextExtraktor,6
2015,publicerat,1
2016,Klar,3741
2016,Webbpublicering,330
2016,Hänvisad,49
2016,Utgången,44
2016,"",35
2016,planerat,10
2017,Klar,4222
2017,Webbpublicering,320
2017,Hänvisad,46
2017,Utgången,12
2017,"",9
2017,planerat,8
2018,Klar,395
2018,Webbpublicering,104
2018,Utgången,16
2018,Hänvisad,15
2018,"",4
2018,planerat,1
2019,Klar,76
2019,Webbpublicering,44
2019,Hänvisad,9
2019,Utgången,4
2019,planerat,1
2020,Webbpublicering,30
2020,Klar,24
2020,Hänvisad,5
2021,Klar,2298
2021,Webbpublicering,63
2021,Hänvisad,9
2021,Utgången,1
2021,LagdTillHandlingarna,1
2022,Klar,129
2022,Webbpublicering,115
2022,"",33
2022,Utgången,16
2022,planerat,1
2023,Klar,2310
2023,Webbpublicering,94
2023,Utgången,3
2023,inträffat,2
2023,LagdTillHandlingarna,1
2024,Klar,2444
2024,Webbpublicering,148
2024,"",28
2024,Utgången,24
2024,Hänvisad,22
2024,inträffat,1
2025,Hänvisad,3659
2025,Klar,431
2025,Webbpublicering,217
2025,planerat,141
2025,Utgången,55
2025,"",52
2025,Granskad,18
2025,inträffat,1
2025,LagdTillHandlingarna,1
