year,document_type,doc_count
2000,mot,3609
2000,bet,202
2000,prop,179
2001,mot,4112
2001,prop,240
2001,bet,238
2002,mot,3565
2002,prop,148
2002,bet,29
2003,mot,3898
2003,prop,199
2004,mot,4115
2004,prop,203
2005,mot,4672
2005,prop,178
2005,bet,105
2006,mot,2757
2006,bet,1584
2006,prop,183
2006,kammakt,8
2007,mot,3529
2007,bet,275
2007,prop,140
2008,mot,3941
2008,bet,321
2008,prop,223
2009,mot,4017
2009,bet,353
2009,prop,225
2010,mot,3368
2010,bet,279
2010,prop,243
2011,mot,3325
2011,prop,223
2011,bet,110
2012,mot,2729
2012,prop,441
2012,bet,344
2012,kammakt,313
2013,mot,3128
2013,bet,341
2013,prop,237
2013,kammakt,8
2014,mot,4242
2014,bet,442
2014,prop,265
2014,kammakt,9
2015,mot,3354
2015,bet,305
2015,prop,197
2016,mot,3647
2016,bet,344
2016,prop,218
2017,mot,4072
2017,bet,334
2017,prop,211
2018,mot,350
2018,bet,107
2018,prop,78
2019,mot,55
2019,bet,45
2019,prop,34
2020,bet,30
2020,prop,19
2020,mot,10
2021,mot,2251
2021,bet,63
2021,prop,58
2022,bet,118
2022,mot,103
2022,prop,73
2023,mot,2264
2023,bet,96
2023,prop,50
2024,mot,2432
2024,bet,149
2024,prop,86
2025,mot,4032
2025,bet,381
2025,prop,222
2026,bet,1
