year,party,vote_count,yes_votes,no_votes,absent
2002,S,12672,0,0,0
2002,M,4840,0,0,0
2002,L,4224,0,0,0
2002,KD,2904,0,0,0
2002,V,2640,0,0,0
2002,C,1936,0,0,0
2002,MP,1496,0,0,0
2003,S,69840,0,0,0
2003,M,26675,0,0,0
2003,L,23280,0,0,0
2003,KD,16005,0,0,0
2003,V,14550,0,0,0
2003,C,10670,0,0,0
2003,MP,8245,0,0,0
2004,S,73728,0,0,0
2004,M,28160,0,0,0
2004,L,24576,0,0,0
2004,KD,16896,0,0,0
2004,V,15310,0,0,0
2004,C,11264,0,0,0
2004,MP,8704,0,0,0
2004,-,50,0,0,0
2005,S,61200,0,0,0
2005,M,23375,0,0,0
2005,L,20400,0,0,0
2005,KD,14025,0,0,0
2005,V,12120,0,0,0
2005,C,9350,0,0,0
2005,MP,7225,0,0,0
2005,-,630,0,0,0
2006,S,60476,0,0,0
2006,M,26034,0,0,0
2006,L,19208,0,0,0
2006,KD,13500,0,0,0
2006,V,11570,0,0,0
2006,C,9806,0,0,0
2006,MP,7366,0,0,0
2006,-,714,0,0,0
2007,S,40040,0,0,0
2007,M,29876,0,0,0
2007,C,8932,0,0,0
2007,L,8624,0,0,0
2007,KD,7392,0,0,0
2007,V,6776,0,0,0
2007,MP,5852,0,0,0
2008,S,48230,0,0,0
2008,M,35987,0,0,0
2008,C,10759,0,0,0
2008,L,10388,0,0,0
2008,KD,8904,0,0,0
2008,V,8162,0,0,0
2008,MP,7049,0,0,0
2009,S,44330,0,0,0
2009,M,33077,0,0,0
2009,C,9889,0,0,0
2009,L,9548,0,0,0
2009,KD,8184,0,0,0
2009,V,7502,0,0,0
2009,MP,6479,0,0,0
2010,S,38348,0,0,0
2010,M,30609,0,0,0
2010,C,8368,0,0,0
2010,L,8248,0,0,0
2010,KD,6922,0,0,0
2010,V,6494,0,0,0
2010,MP,6416,0,0,0
2010,SD,1880,0,0,0
2010,-,207,0,0,0
2011,S,47712,0,0,0
2011,M,45582,0,0,0
2011,MP,10650,0,0,0
2011,L,10224,0,0,0
2011,C,9798,0,0,0
2011,SD,8419,0,0,0
2011,V,8094,0,0,0
2011,KD,8094,0,0,0
2011,-,101,0,0,0
2012,S,50512,0,0,0
2012,M,48257,0,0,0
2012,MP,11275,0,0,0
2012,L,10824,0,0,0
2012,C,10373,0,0,0
2012,SD,8683,0,0,0
2012,KD,8569,0,0,0
2012,V,8569,0,0,0
2012,-,337,0,0,0
2013,S,53760,0,0,0
2013,M,51360,0,0,0
2013,MP,12000,0,0,0
2013,L,11520,0,0,0
2013,C,11040,0,0,0
2013,SD,9600,0,0,0
2013,KD,9120,0,0,0
2013,V,9120,0,0,0
2014,S,42584,0,0,0
2014,M,40108,0,0,0
2014,MP,9500,0,0,0
2014,L,9000,0,0,0
2014,C,8716,0,0,0
2014,SD,8296,0,0,0
2014,V,7268,0,0,0
2014,KD,7148,0,0,0
2015,S,40454,0,0,0
2015,M,30072,0,0,0
2015,SD,17461,0,0,0
2015,MP,8950,0,0,0
2015,C,7876,0,0,0
2015,V,7518,0,0,0
2015,L,6802,0,0,0
2015,KD,5728,0,0,0
2015,-,81,0,0,0
2016,S,47460,0,0,0
2016,M,35280,0,0,0
2016,SD,20160,0,0,0
2016,MP,10500,0,0,0
2016,C,9240,0,0,0
2016,V,8820,0,0,0
2016,L,7980,0,0,0
2016,KD,6720,0,0,0
2016,-,420,0,0,0
2017,S,55596,0,0,0
2017,M,41123,0,0,0
2017,SD,23056,0,0,0
2017,MP,12256,0,0,0
2017,C,10824,0,0,0
2017,V,10332,0,0,0
2017,L,9348,0,0,0
2017,KD,7872,0,0,0
2017,-,1301,0,0,0
2018,S,57219,0,0,0
2018,M,41859,0,0,0
2018,SD,23038,0,0,0
2018,MP,12311,0,0,0
2018,C,11705,0,0,0
2018,V,11095,0,0,0
2018,L,9777,0,0,0
2018,KD,8486,0,0,0
2018,-,3198,0,0,0
2019,S,44600,0,0,0
2019,M,31220,0,0,0
2019,SD,27652,0,0,0
2019,C,13826,0,0,0
2019,V,12434,0,0,0
2019,KD,9812,0,0,0
2019,L,8556,0,0,0
2019,MP,7136,0,0,0
2019,-,418,0,0,0
2020,S,41700,0,0,0
2020,M,29190,0,0,0
2020,SD,25854,0,0,0
2020,C,12927,0,0,0
2020,V,11259,0,0,0
2020,KD,9174,0,0,0
2020,L,7923,0,0,0
2020,MP,6672,0,0,0
2020,-,834,0,0,0
2021,S,54200,0,0,0
2021,M,37940,0,0,0
2021,SD,33604,0,0,0
2021,C,16802,0,0,0
2021,V,14634,0,0,0
2021,KD,11924,0,0,0
2021,L,10352,0,0,0
2021,MP,8672,0,0,0
2021,-,1030,0,0,0
2022,S,66517,0,0,0
2022,M,46348,0,0,0
2022,SD,41006,0,0,0
2022,C,20336,0,0,0
2022,V,17808,0,0,0
2022,KD,14493,0,0,0
2022,L,13136,0,0,0
2022,MP,10670,0,0,0
2022,-,1073,0,0,0
