role_code,assignment_count
Suppleant,14847
Ledamot,6095
Riksdagsledamot,6072
Ersättare,950
Deputerad,935
Extra suppleant,500
Ordförande,438
Vice ordförande,410
Statsrådsersättare,298
Statsråd,259
Förste vice gruppledare,81
Kvittningsperson,75
Gruppledare,72
Personlig suppleant,54
Förste vice ordförande,38
Andre vice ordförande,36
Partisekreterare,28
Partiledare,23
Utrikesminister,20
Försvarsminister,19
Utbildningsminister,18
Arbetsmarknadsminister,16
Socialminister,15
Revisor,14
Finansminister,14
Revisorssuppleant,13
Talman,12
Talmansersättare,12
Näringsminister,11
Personlig ersättare,11
