party1,party2,shared_votes,aligned_votes,opposed_votes,alignment_rate,coalition_likelihood,bloc_relationship
KD,M,10605,8931,1674,0.84,STRONG_COALITION,N/A
L,M,10605,8867,1738,0.84,STRONG_COALITION,N/A
KD,L,10605,8865,1740,0.84,STRONG_COALITION,N/A
C,L,10605,8159,2446,0.77,MODERATE_COALITION,N/A
C,KD,10605,8068,2537,0.76,MODERATE_COALITION,N/A
C,M,10605,7921,2684,0.75,MODERATE_COALITION,N/A
MP,S,10605,7509,3096,0.71,MODERATE_COALITION,N/A
MP,V,10605,7304,3301,0.69,MODERATE_COALITION,N/A
S,V,10605,6856,3749,0.65,MODERATE_COALITION,N/A
KD,SD,7337,4363,2974,0.59,WEAK_ALIGNMENT,N/A
M,SD,7337,4311,3026,0.59,WEAK_ALIGNMENT,N/A
L,SD,7337,4264,3073,0.58,WEAK_ALIGNMENT,N/A
L,S,10605,5605,5000,0.53,WEAK_ALIGNMENT,N/A
C,S,10605,5394,5211,0.51,WEAK_ALIGNMENT,N/A
M,S,10605,5368,5237,0.51,WEAK_ALIGNMENT,N/A
KD,S,10605,5326,5279,0.50,WEAK_ALIGNMENT,N/A
C,SD,7337,3586,3751,0.49,WEAK_ALIGNMENT,N/A
C,MP,10605,5182,5423,0.49,WEAK_ALIGNMENT,N/A
L,MP,10605,5148,5457,0.49,WEAK_ALIGNMENT,N/A
KD,MP,10605,4904,5701,0.46,WEAK_ALIGNMENT,N/A
M,MP,10605,4744,5861,0.45,WEAK_ALIGNMENT,N/A
S,SD,7337,3189,4148,0.43,WEAK_ALIGNMENT,N/A
MP,SD,7337,3000,4337,0.41,WEAK_ALIGNMENT,N/A
-,SD,5271,2078,3193,0.39,OPPOSITION,N/A
L,V,10605,4105,6500,0.39,OPPOSITION,N/A
C,V,10605,4002,6603,0.38,OPPOSITION,N/A
KD,V,10605,3924,6681,0.37,OPPOSITION,N/A
M,V,10605,3811,6794,0.36,OPPOSITION,N/A
SD,V,7337,2576,4761,0.35,OPPOSITION,N/A
-,S,6335,2181,4154,0.34,OPPOSITION,N/A
-,L,6335,2127,4208,0.34,OPPOSITION,N/A
-,V,6335,2103,4232,0.33,OPPOSITION,N/A
-,KD,6335,2058,4277,0.32,OPPOSITION,N/A
-,MP,6335,2049,4286,0.32,OPPOSITION,N/A
-,M,6335,2047,4288,0.32,OPPOSITION,N/A
-,C,6335,1923,4412,0.30,OPPOSITION,N/A
