party,resilience_classification,politician_count,avg_resilience_score
-,HIGHLY_RESILIENT,6,65.48
-,LOW_RESILIENCE,3,35.77
-,MODERATE_RESILIENCE,7,59.59
-,RESILIENT,2,71.62
C,HIGHLY_RESILIENT,6,90.60
C,MODERATE_RESILIENCE,14,64.50
C,RESILIENT,9,78.40
KD,HIGHLY_RESILIENT,1,88.11
KD,INSUFFICIENT_DATA,1,
KD,LOW_RESILIENCE,1,44.03
KD,MODERATE_RESILIENCE,11,58.68
KD,RESILIENT,6,81.19
L,HIGHLY_RESILIENT,2,77.77
L,MODERATE_RESILIENCE,11,61.32
L,RESILIENT,5,79.09
M,HIGHLY_RESILIENT,16,90.44
M,MODERATE_RESILIENCE,33,60.68
M,RESILIENT,20,76.29
MP,HIGHLY_RESILIENT,5,92.85
MP,LOW_RESILIENCE,3,27.18
MP,MODERATE_RESILIENCE,12,59.19
MP,RESILIENT,5,78.17
S,HIGHLY_RESILIENT,35,88.39
S,LOW_RESILIENCE,5,29.82
S,MODERATE_RESILIENCE,54,63.44
S,RESILIENT,33,78.38
SD,HIGHLY_RESILIENT,23,89.11
SD,INSUFFICIENT_DATA,5,
SD,LOW_RESILIENCE,4,36.68
SD,MODERATE_RESILIENCE,32,62.43
SD,RESILIENT,17,78.30
V,HIGHLY_RESILIENT,5,90.84
V,INSUFFICIENT_DATA,1,
V,LOW_RESILIENCE,1,46.57
V,MODERATE_RESILIENCE,11,57.03
V,RESILIENT,5,82.21
