status,doc_count,percentage
Ank T,25409,28.51
Klar,22514,25.26
"",19675,22.08
Trycklov,10618,11.92
Hänvisad,3886,4.36
hämtad_2,2522,2.83
Webbpublicering,1890,2.12
saknas,467,0.52
inträffat,339,0.38
ANKT,292,0.33
digitaliserad,283,0.32
Original,262,0.29
hämtad,237,0.27
Utgången,200,0.22
planerat,198,0.22
DokTextExtraktor,132,0.15
Distribution.UttagMo,22,0.02
Granskad,18,0.02
fel,15,0.02
felkonverterat,11,0.01
doktextextraktor,4,0.00
LagdTillHandlingarna,3,0.00
Pågår,3,0.00
html saknas,2,0.00
Inkommen,2,0.00
63760,1,0.00
63761,1,0.00
63740,1,0.00
63826,1,0.00
63683,1,0.00
63789,1,0.00
63709,1,0.00
63854,1,0.00
63837,1,0.00
63841,1,0.00
63724,1,0.00
63800,1,0.00
63793,1,0.00
63838,1,0.00
63775,1,0.00
63757,1,0.00
63706,1,0.00
63736,1,0.00
63801,1,0.00
63820,1,0.00
63878,1,0.00
63701,1,0.00
Utgår,1,0.00
63719,1,0.00
63818,1,0.00
63796,1,0.00
63830,1,0.00
63705,1,0.00
63759,1,0.00
63726,1,0.00
63717,1,0.00
63738,1,0.00
63802,1,0.00
63833,1,0.00
63707,1,0.00
63747,1,0.00
titel,1,0.00
63741,1,0.00
63712,1,0.00
63823,1,0.00
63795,1,0.00
63829,1,0.00
63792,1,0.00
63686,1,0.00
63725,1,0.00
63763,1,0.00
63729,1,0.00
63723,1,0.00
63681,1,0.00
63798,1,0.00
63778,1,0.00
63762,1,0.00
63836,1,0.00
63691,1,0.00
63696,1,0.00
ank T,1,0.00
63819,1,0.00
63704,1,0.00
63749,1,0.00
63735,1,0.00
63876,1,0.00
63928,1,0.00
63764,1,0.00
63745,1,0.00
63821,1,0.00
63720,1,0.00
63791,1,0.00
63692,1,0.00
63790,1,0.00
63777,1,0.00
63822,1,0.00
slutfört,1,0.00
63682,1,0.00
63748,1,0.00
63688,1,0.00
63718,1,0.00
63846,1,0.00
63743,1,0.00
63722,1,0.00
63892,1,0.00
63746,1,0.00
63825,1,0.00
63832,1,0.00
63840,1,0.00
63758,1,0.00
63877,1,0.00
63687,1,0.00
63716,1,0.00
63703,1,0.00
63689,1,0.00
63839,1,0.00
63730,1,0.00
63768,1,0.00
publicerat,1,0.00
63739,1,0.00
63693,1,0.00
63711,1,0.00
AnkT,1,0.00
63794,1,0.00
63799,1,0.00
63727,1,0.00
63769,1,0.00
63728,1,0.00
63690,1,0.00
63776,1,0.00
63824,1,0.00
63797,1,0.00
63828,1,0.00
63708,1,0.00
