election_region,person_count
Stockholms län,203
Stockholms kommun,183
Göteborgs kommun,101
Östergötlands län,74
Uppsala län,63
Örebro län,60
Södermanlands län,59
Värmlands län,56
Hallands län,56
Jönköpings län,56
Skåne läns södra,56
Norrbottens län,54
Västernorrlands län,51
Gävleborgs län,50
Västerbottens län,49
Dalarnas län,48
Västmanlands län,44
Kalmar län,43
Västra Götalands läns västra,43
Västra Götalands läns norra,40
Malmö kommun,40
Skåne läns västra,39
Skåne läns norra och östra,34
Västra Götalands läns östra,29
Kronobergs län,29
Blekinge län,26
Västra Götalands läns södra,26
Jämtlands län,24
Bohuslän,13
Kristianstads län,13
Skaraborgs län,12
Kopparbergs län,12
Gotlands län,12
Älvsborgs läns norr,11
Älvsborgs läns södr,10
Malmöhus län,10
"Fyrstadskretsen 1971-1975/76
(Ledamot av Andra k",2
"Fyrstadskretsen 1979/80
(6.11-19.12.1979, 19.2-1",1
Fyrstadskretsen 1971-1973,1
"Västernorrlands län 1976/77 (ersättare
11.10.197",1
"Fyrstadskretsen 1971-1975/76 och
1979/80-1981/82",1
"Västmanlands län 1974
(15.2--14.12.1974), 1975, ",1
"Fyrstadskretsen 1971-1981/82
(Ledamot av andra k",1
Fyrstadskretsen 1974-1975/76,1
"Fyrstadskretsen 1984/85
(från 11.4.1985)",1
"Fyrstadskretsen 1976/77-1982/83
(30.5.1983)",1
Fyrstadskretsen 1971-1975/76,1
"Fyrstadskretsen 1971--1975/76
(LAK för Malmö, He",1
"Fyrstadskretsen 1971-1984/85
(29.3.1985) (Ledamo",1
"Fyrstadskretsen 1974
(15.2.1974)-1975/76",1
"Fyrstadskretsen 1980/81
(25.5.1981)-1981/82",1
Fyrstadskretsen 1971-1978/79,1
"Fyrstadskretsen 1971-1979/80
(9.1.1980) (Ledamot",1
"Fyrstadskretsen 1971-1973
(Ledamot av Andra kamm",1
"Fyrstadskretsen 1971-1973 och
1976/77-1987/79",1
"Fyrstadskretsen 1971-1978/79
Ledamot av Andra ka",1
"Fyrstadskretsen 1971-1973
(Ledamot av Första kam",1
"Fyrstadskretsen 1971-1981/82
(Ledamot av Första ",1
för Stockholms kommun,1
Fyrstadskretsen 1979/80-1981/82,1
"Fyrstadskretsen 1971-1981/82
(Ledamot av Andra k",1
"Fyrstadskretsen 1979/80 (till
31.10.1979), Riksd",1
