ministry_code,committee,decision_type,total_proposals,approved_proposals,rejected_proposals,approval_rate
Ju, Bifall,Acklamation,27,27,0,100.00
Justitiedepartementet,bifall,"",25,0,0,0.00
FI, Bifall,Acklamation,20,20,0,100.00
JU, Bifall,Acklamation,20,20,0,100.00
Justitiedepartementet,Bifall,"",19,19,0,100.00
JU,Bifall,"",18,0,0,0.00
Justitiedepartementet,bifall,"",16,0,0,0.00
Justitiedepartementet,Bifall,"",16,16,0,100.00
FI, Bifall,Acklamation,15,15,0,100.00
Finansdepartementet,bifall,"",15,0,0,0.00
Justitiedepartementet,Bifall,"",15,15,0,100.00
FI, Bifall,Acklamation,15,15,0,100.00
Näringsdepartementet,bifall,"",14,0,0,0.00
Finansdepartementet,Bifall,"",14,14,0,100.00
Justitiedepartementet,Bifall,"",13,13,0,100.00
Finansdepartementet,Bifall,"",13,13,0,100.00
Finansdepartementet,Bifall,"",13,13,0,100.00
FI, Bifall,Acklamation,13,13,0,100.00
FI,Bifall,"",12,0,0,0.00
Finansdepartementet,bifall,"",12,0,0,0.00
Finansdepartementet,Bifall,"",11,11,0,100.00
JU, Bifall,Acklamation,11,11,0,100.00
Justitiedepartementet,Bifall,"",11,11,0,100.00
Justitiedepartementet,Bifall,"",11,11,0,100.00
Finansdepartementet,Bifall,"",10,10,0,100.00
Näringsdepartementet,Bifall,"",10,10,0,100.00
Justitiedepartementet,Bifall,"",10,10,0,100.00
S,Bifall,"",10,0,0,0.00
Justitiedepartementet,Bifall,"",10,10,0,100.00
FI, Bifall,Acklamation,10,10,0,100.00
JU, Bifall,Acklamation,10,10,0,100.00
Finansdepartementet,Bifall,"",10,10,0,100.00
Finansdepartementet,Bifall,"",10,10,0,100.00
Ju, Bifall,Acklamation,10,10,0,100.00
FI, Bifall,Acklamation,9,9,0,100.00
N, Bifall,Acklamation,9,9,0,100.00
Socialdepartementet,Bifall,"",9,9,0,100.00
N, Bifall,Acklamation,9,9,0,100.00
N, Bifall,Acklamation,9,9,0,100.00
FI, Bifall,Acklamation,9,9,0,100.00
S, Bifall,Acklamation,9,9,0,100.00
N, Bifall,Acklamation,9,9,0,100.00
JU, Bifall,Acklamation,9,9,0,100.00
Ju, Bifall,Acklamation,9,9,0,100.00
Finansdepartementet,Bifall,"",9,9,0,100.00
Justitiedepartementet,Bifall,"",8,8,0,100.00
Ju, Bifall,Acklamation,8,8,0,100.00
FI, Bifall,Acklamation,8,8,0,100.00
Justitiedepartementet,Bifall,"",8,5,0,62.50
Finansdepartementet,Bifall,"",8,8,0,100.00
JU, Bifall,Acklamation,8,8,0,100.00
JU, Bifall,Acklamation,8,8,0,100.00
FI, Bifall,Röstning,8,8,0,100.00
Finansdepartementet,Bifall,"",8,8,0,100.00
FI, Bifall,Acklamation,8,8,0,100.00
Finansdepartementet,Bifall,"",8,8,0,100.00
N, Bifall,Acklamation,8,8,0,100.00
Finansdepartementet,Bifall,"",8,8,0,100.00
S, Bifall,Acklamation,8,8,0,100.00
Justitiedepartementet,Bifall,"",8,8,0,100.00
N, Bifall,Acklamation,7,7,0,100.00
JU, Bifall,Acklamation,7,7,0,100.00
M, Bifall,Acklamation,7,7,0,100.00
N, Bifall,Acklamation,7,7,0,100.00
S, Bifall,Acklamation,7,7,0,100.00
N,Bifall,"",7,0,0,0.00
JU, Bifall,Acklamation,7,7,0,100.00
Socialdepartementet,Bifall,"",7,7,0,100.00
FI, Bifall,Acklamation,7,7,0,100.00
Landsbygds- och infrastrukturdepartementet,Bifall,"",7,7,0,100.00
FI, Bifall,Acklamation,7,7,0,100.00
Justitiedepartementet,Bifall,"",7,7,0,100.00
FI, Bifall,Acklamation,7,7,0,100.00
Näringsdepartementet,Bifall,"",7,7,0,100.00
JU, Bifall,Acklamation,7,7,0,100.00
Miljö- och energidepartementet,Bifall,"",7,7,0,100.00
N, Bifall,Acklamation,7,7,0,100.00
Justitiedepartementet,Bifall,"",7,7,0,100.00
M  t.o.m. 1 jan-07, Bifall,Acklamation,7,7,0,100.00
Finansdepartementet,Bifall,"",6,6,0,100.00
Socialdepartementet,Bifall,"",6,6,0,100.00
Landsbygds- och infrastrukturdepartementet,Bifall,"",6,6,0,100.00
Näringsdepartementet,bifall,"",6,0,0,0.00
JU, Bifall,Acklamation,6,6,0,100.00
FI, Bifall,Acklamation,6,6,0,100.00
JU, Bifall,Acklamation,6,6,0,100.00
Miljö- och energidepartementet,Bifall,"",6,6,0,100.00
S, Bifall,Acklamation,6,6,0,100.00
FI, Bifall,Acklamation,6,6,0,100.00
FI, Bifall,Acklamation,6,6,0,100.00
S, Bifall,Acklamation,6,6,0,100.00
Finansdepartementet,Bifall,"",6,6,0,100.00
Miljö- och energidepartementet,Bifall,"",6,6,0,100.00
FI, Bifall,Acklamation,6,6,0,100.00
FI, Delvis bifall,Röstning,6,6,0,100.00
FI, Bifall,Acklamation,6,6,0,100.00
Finansdepartementet,Bifall,"",6,6,0,100.00
FI, Bifall,Acklamation,6,6,0,100.00
N, Bifall,Acklamation,6,6,0,100.00
Utrikesdepartementet,Bifall,"",6,6,0,100.00
Socialdepartementet,Bifall,"",6,6,0,100.00
Ju, Bifall,Acklamation,6,6,0,100.00
S, Bifall,Acklamation,5,5,0,100.00
N, Bifall,Acklamation,5,5,0,100.00
Finansdepartementet,delvis bifall,"",5,0,0,0.00
Näringsdepartementet,Bifall,"",5,0,0,0.00
Finansdepartementet,Bifall,"",5,5,0,100.00
Socialdepartementet,Bifall,"",5,5,0,100.00
FI,Bifall,"",5,0,0,0.00
N, Bifall,Röstning,5,5,0,100.00
FI, Bifall,Acklamation,5,5,0,100.00
Miljödepartementet,bifall,"",5,0,0,0.00
Justitiedepartementet,Bifall,"",5,5,0,100.00
N, Bifall,Acklamation,5,5,0,100.00
S, Bifall,Acklamation,5,5,0,100.00
S, Bifall,Röstning,5,5,0,100.00
FI, Bifall,Acklamation,5,5,0,100.00
JU, Bifall,Acklamation,5,5,0,100.00
FI, Bifall,Acklamation,5,5,0,100.00
Ju, Bifall,Acklamation,5,5,0,100.00
Finansdepartementet,Bifall,"",5,5,0,100.00
N, Bifall,Acklamation,5,5,0,100.00
U t.o.m. 1 jan-07, Bifall,Acklamation,5,5,0,100.00
Justitiedepartementet,Bifall,"",5,5,0,100.00
FI, Bifall,Acklamation,5,5,0,100.00
JU, Bifall,Acklamation,5,5,0,100.00
Ju, Bifall,Acklamation,5,5,0,100.00
JU, Bifall,Acklamation,5,5,0,100.00
Justitiedepartementet,Bifall,"",5,5,0,100.00
S, Bifall,Acklamation,5,5,0,100.00
Finansdepartementet,Bifall,"",5,5,0,100.00
UD, Bifall,Acklamation,5,5,0,100.00
FI, Bifall,Acklamation,5,5,0,100.00
Finansdepartementet,Bifall,"",5,5,0,100.00
Näringsdepartementet,Bifall,"",5,5,0,100.00
Justitiedepartementet,Bifall,"",5,5,0,100.00
Justitiedepartementet,Bifall,"",5,5,0,100.00
Finansdepartementet,Bifall,"",5,4,1,80.00
FI, Bifall,Acklamation,5,5,0,100.00
Justitiedepartementet,Bifall,"",5,5,0,100.00
Näringsdepartementet,Bifall,"",4,4,0,100.00
Finansdepartementet,Bifall,"",4,4,0,100.00
Finansdepartementet,delvis bifall,"",4,0,0,0.00
Näringsdepartementet,delvis bifall,"",4,0,0,0.00
Socialdepartementet,bifall,"",4,0,0,0.00
Socialdepartementet,delvis bifall,"",4,0,0,0.00
S, Bifall,Röstning,4,4,0,100.00
Justitiedepartementet,Bifall,"",4,4,0,100.00
Finansdepartementet,Bifall,"",4,4,0,100.00
Socialdepartementet,bifall,"",4,0,0,0.00
S,Bifall,"",4,0,0,0.00
Finansdepartementet,Bifall,"",4,4,0,100.00
Justitiedepartementet,Bifall,"",4,4,0,100.00
N,Delvis bifall,"",4,0,0,0.00
N, Bifall,Acklamation,4,4,0,100.00
FI, Bifall,Röstning,4,4,0,100.00
S, Bifall,Acklamation,4,4,0,100.00
JU, Bifall,Acklamation,4,4,0,100.00
JU, Bifall,Röstning,4,4,0,100.00
S, Bifall,Acklamation,4,4,0,100.00
Utbildningsdepartementet,Bifall,"",4,4,0,100.00
U, Bifall,Röstning,4,4,0,100.00
JU, Bifall,Röstning,4,4,0,100.00
Försvarsdepartementet,Bifall,"",4,4,0,100.00
FI, Bifall,Acklamation,4,4,0,100.00
FI, Bifall,Acklamation,4,4,0,100.00
Näringsdepartementet,Bifall,"",4,4,0,100.00
Finansdepartementet,Bifall,"",4,4,0,100.00
FI, Bifall,Acklamation,4,4,0,100.00
FI, Bifall,Röstning,4,4,0,100.00
Ju, Bifall,Acklamation,4,4,0,100.00
M, Bifall,Acklamation,4,4,0,100.00
UD, Bifall,Acklamation,4,4,0,100.00
JU, Bifall,Acklamation,4,4,0,100.00
Ju, Bifall,Röstning,4,4,0,100.00
"", Bifall,Acklamation,4,4,0,100.00
FI, Bifall,Röstning,4,4,0,100.00
Utbildningsdepartementet,Bifall,"",4,4,0,100.00
