party,year,quarter,documents_produced,motions_count,active_members,avg_win_rate,effectiveness_assessment
-,2023,2,0,0,1,43.55,Standard party operations
-,2023,3,0,0,1,100.00,Solid party performance
-,2023,4,25,0,1,62.50,Solid party performance
-,2024,1,0,0,2,51.76,Standard party operations
-,2024,2,0,0,2,38.68,Standard party operations
-,2024,3,16,0,2,37.50,Standard party operations
-,2024,4,15,0,2,50.10,Standard party operations
-,2025,1,0,0,2,59.42,Solid party performance
-,2025,2,0,0,2,35.72,Standard party operations
-,2025,3,27,0,2,100.00,Solid party performance
-,2025,4,64,0,4,30.31,Standard party operations
-,2026,1,10,0,5,39.60,Standard party operations
C,2023,1,20,0,25,34.83,Standard party operations
C,2023,2,42,0,24,36.04,Standard party operations
C,2023,3,6,0,24,28.88,Standard party operations
C,2023,4,764,0,24,50.85,Standard party operations
C,2024,1,34,0,24,50.68,Standard party operations
C,2024,2,62,0,25,42.25,Standard party operations
C,2024,3,156,0,24,43.75,Standard party operations
C,2024,4,608,0,24,35.93,Standard party operations
C,2025,1,38,0,24,36.60,Standard party operations
C,2025,2,82,0,24,40.30,Standard party operations
C,2025,3,44,0,24,87.50,Solid party performance
C,2025,4,775,0,26,53.70,Standard party operations
C,2026,1,21,0,24,36.10,Standard party operations
KD,2023,1,19,0,19,80.12,Solid party performance
KD,2023,2,9,0,19,82.66,Solid party performance
KD,2023,3,87,0,19,89.47,Solid party performance
KD,2023,4,136,0,19,81.58,Solid party performance
KD,2024,1,15,0,19,78.42,Solid party performance
KD,2024,2,16,0,20,78.82,Solid party performance
KD,2024,3,184,0,19,78.95,Solid party performance
KD,2024,4,164,0,19,82.48,Solid party performance
KD,2025,1,30,0,19,80.58,Solid party performance
KD,2025,2,18,0,19,81.30,Solid party performance
KD,2025,3,49,0,19,89.47,Solid party performance
KD,2025,4,360,0,19,85.38,Solid party performance
KD,2026,1,1,0,19,85.53,Solid party performance
L,2023,1,4,0,16,82.47,Solid party performance
L,2023,2,4,0,18,84.61,Solid party performance
L,2023,3,56,0,16,72.88,Solid party performance
L,2023,4,40,0,16,79.69,Solid party performance
L,2024,1,3,0,17,76.82,Solid party performance
L,2024,2,6,0,16,79.82,Solid party performance
L,2024,3,57,0,16,81.25,Solid party performance
L,2024,4,27,0,16,79.33,Solid party performance
L,2025,1,8,0,18,78.40,Solid party performance
L,2025,2,6,0,16,79.18,Solid party performance
L,2025,3,3,0,16,81.25,Solid party performance
L,2025,4,272,0,16,80.56,Solid party performance
L,2026,1,2,0,16,83.63,Solid party performance
M,2023,1,59,0,69,84.26,Solid party performance
M,2023,2,66,0,70,87.27,Solid party performance
M,2023,3,49,0,68,88.24,Solid party performance
M,2023,4,935,0,68,85.85,Solid party performance
M,2024,1,70,0,68,85.73,Solid party performance
M,2024,2,90,0,70,86.04,Solid party performance
M,2024,3,116,0,68,88.24,Solid party performance
M,2024,4,1198,0,69,84.46,Solid party performance
M,2025,1,86,0,69,85.71,Solid party performance
M,2025,2,90,0,71,85.23,Solid party performance
M,2025,3,127,0,68,88.24,Solid party performance
M,2025,4,1692,0,69,87.25,Solid party performance
M,2026,1,23,0,68,86.40,Solid party performance
MP,2023,1,54,0,18,31.85,Standard party operations
MP,2023,2,53,0,19,41.06,Standard party operations
MP,2023,3,42,0,18,58.67,Solid party performance
