party,party_name,active_members,inactive_members,documents_last_year,motions_last_year,propositions_last_year,docs_per_member,performance_level
S,Arbetarepartiet-Socialdemokraterna,132,624,882,882,0,6.68,GOOD
SD,Sverigedemokraterna,79,37,684,684,0,8.66,GOOD
M,Moderaterna,70,321,1220,973,247,17.43,EXCELLENT
C,Centerpartiet,29,202,408,408,0,14.07,GOOD
MP,Miljöpartiet de gröna,24,106,248,248,0,10.33,GOOD
V,Vänsterpartiet,23,101,146,146,0,6.35,GOOD
KD,Kristdemokraterna,20,89,406,318,88,20.30,EXCELLENT
L,Liberalerna,19,40,231,168,63,12.16,EXCELLENT
-,Politiskt Vilde,9,20,324,324,0,36.00,GOOD
FP,Folkpartiet liberalerna,0,171,0,0,0,0.00,BELOW_AVERAGE
JL,Junilistan,0,0,0,0,0,0.00,BELOW_AVERAGE
K,Kommunistiska Partiet,0,0,0,0,0,0.00,BELOW_AVERAGE
KLP,Klassiskt liberala partiet,0,0,0,0,0,0.00,BELOW_AVERAGE
KrVP,Kristna Värdepartiet,0,0,0,0,0,0.00,BELOW_AVERAGE
LBPO,Landsbygdspartiet Oberoende,0,0,0,0,0,0.00,BELOW_AVERAGE
NYD,NyDemokrati,0,22,0,0,0,0.00,BELOW_AVERAGE
NorrS,Norrländska Samlingspartiet,0,0,0,0,0,0.00,BELOW_AVERAGE
PP,Piratpartiet,0,2,0,0,0,0.00,BELOW_AVERAGE
RS,Rättvisepartiet Socialisterna,0,0,0,0,0,0.00,BELOW_AVERAGE
SJP,Sjöbopartiet,0,0,0,0,0,0.00,BELOW_AVERAGE
SKÅ,Skånepartiet,0,0,0,0,0,0.00,BELOW_AVERAGE
SOC.P,Socialistiska Partiet,0,0,0,0,0,0.00,BELOW_AVERAGE
SPI,SPI Välfärden,0,0,0,0,0,0.00,BELOW_AVERAGE
VägV,Vägvalet,0,0,0,0,0,0.00,BELOW_AVERAGE
---,Svenska Förnufts Partiet (SFP),0,0,0,0,0,0.00,BELOW_AVERAGE
---,Spritpartiet,0,0,0,0,0,0.00,BELOW_AVERAGE
---,Borgerlig Framtid,0,0,0,0,0,0.00,BELOW_AVERAGE
---,LOTTOKRATIN,0,0,0,0,0,0.00,BELOW_AVERAGE
---,Frihetspartiet,0,0,0,0,0,0.00,BELOW_AVERAGE
---,Högerpartiet de konservativa,0,0,0,0,0,0.00,BELOW_AVERAGE
---,Sociala Partiet (SP),0,0,0,0,0,0.00,BELOW_AVERAGE
---,Permalogiskt Samhälle,0,0,0,0,0,0.00,BELOW_AVERAGE
---,Nordiska motståndsrörelsen,0,0,0,0,0,0.00,BELOW_AVERAGE
---,Mosebackedemokraterna,0,0,0,0,0,0.00,BELOW_AVERAGE
---,Direktdemokraterna,0,0,0,0,0,0.00,BELOW_AVERAGE
ALP,Allianspartiet/Medborgarens röst,0,0,0,0,0,0.00,BELOW_AVERAGE
DjuP,Djurens parti,0,0,0,0,0,0.00,BELOW_AVERAGE
EAP,Europeiska Arbetarpartiet-EAP,0,0,0,0,0,0.00,BELOW_AVERAGE
ENH,Enhet,0,0,0,0,0,0.00,BELOW_AVERAGE
FI,Feministiskt initiativ,0,0,0,0,0,0.00,BELOW_AVERAGE
