first_year,party,politicians_started
1990,MP,4
1990,S,4
1990,L,3
1990,M,3
1990,V,1
1991,M,33
1991,KD,29
1991,NYD,23
1991,S,22
1991,L,8
1991,C,6
1991,-,4
1991,MP,2
1991,"",1
1991,V,1
1992,M,4
1992,S,2
1992,L,2
1992,V,2
1992,NYD,1
1992,C,1
1993,M,4
1993,L,2
1993,C,1
1993,S,1
1993,V,1
1994,S,64
1994,M,16
1994,MP,12
1994,V,11
1994,C,6
1994,L,5
1994,KD,4
1995,S,15
1995,M,4
1995,MP,3
1995,C,2
1995,V,1
1995,L,1
1996,S,8
1996,C,2
1996,V,2
1996,L,1
1996,M,1
1997,S,3
1997,L,2
1997,V,1
1998,S,23
1998,V,22
1998,KD,21
1998,M,19
1998,L,9
1998,MP,8
1998,C,7
1999,KD,2
1999,L,2
1999,V,1
1999,M,1
1999,S,1
1999,MP,1
2000,S,6
2000,L,4
2000,KD,2
2000,M,1
2000,MP,1
2001,S,3
2001,M,2
2001,MP,1
2001,C,1
2001,KD,1
2002,S,55
2002,L,31
2002,M,20
2002,C,9
2002,KD,7
2002,V,6
2002,MP,5
2003,L,4
2003,S,4
2003,C,2
2003,KD,2
2003,M,2
2004,S,8
2004,M,3
2004,V,3
2004,MP,2
2004,L,1
2005,S,5
2005,L,4
2005,C,2
2005,V,1
2005,M,1
2005,MP,1
2005,SD,1
2006,M,66
2006,S,33
2006,C,15
2006,V,12
2006,MP,11
2006,L,6
2006,KD,4
2006,-,3
2007,C,3
2007,MP,2
2007,S,2
2007,KD,2
2007,V,1
2007,M,1
2008,M,7
2008,S,3
2008,-,1
2008,C,1
2009,S,5
2009,KD,3
2009,M,2
2009,L,2
2009,PP,1
2009,MP,1
2010,M,43
2010,S,27
2010,SD,18
2010,MP,11
2010,C,9
2010,KD,9
2010,V,4
2010,-,3
2010,L,3
2011,M,7
2011,S,4
2011,C,4
2011,MP,1
2011,L,1
2011,PP,1
2012,M,8
2012,V,3
2012,S,3
2012,L,2
2012,C,2
2012,MP,2
2012,SD,1
2013,M,6
2013,S,3
2013,KD,2
2013,C,2
2013,SD,2
2013,L,1
2013,"",1
2013,V,1
2013,-,1
2014,S,44
2014,SD,30
2014,M,16
2014,MP,16
2014,V,8
2014,L,6
2014,-,6
2014,KD,5
2014,C,4
2015,S,9
2015,SD,2
2015,L,2
2015,M,2
2015,KD,1
2015,MP,1
2016,S,5
2016,MP,3
2016,M,2
2016,KD,1
2016,-,1
2016,C,1
2016,V,1
2017,S,9
2017,M,4
2017,V,4
2017,KD,2
2017,MP,1
2017,L,1
2018,SD,29
2018,S,26
2018,M,17
2018,KD,11
2018,C,11
2018,V,10
2018,MP,9
2018,L,6
2018,-,1
2019,S,10
2019,M,9
2019,KD,3
2019,SD,3
2019,MP,2
2019,C,1
2019,V,1
2019,L,1
2020,S,4
2020,M,3
2020,SD,2
2020,KD,2
2020,MP,1
2020,V,1
2020,L,1
2020,C,1
2021,S,13
2021,MP,4
2021,C,4
2021,SD,3
2021,M,2
2021,KD,1
2021,L,1
2022,S,35
2022,M,25
2022,SD,22
2022,KD,10
2022,MP,10
2022,C,7
2022,L,7
2022,V,5
2022,-,1
2023,S,4
2023,C,3
2023,M,3
2023,SD,3
2023,MP,1
2023,V,1
2023,L,1
2024,SD,8
2024,M,4
2024,S,2
2024,C,2
2024,V,2
2024,KD,1
2024,L,1
2024,MP,1
2025,L,5
2025,SD,3
2025,M,3
2025,S,2
2025,C,2
2025,V,2
2025,KD,1
2026,S,1
