table_name,approx_row_count,size_category
jv_global_id,12241220,massive (>1M)
jv_snapshot,11475325,massive (>1M)
jv_commit_property,4869601,massive (>1M)
jv_commit,4631900,massive (>1M)
vote_data,3516873,massive (>1M)
world_bank_data,582647,very_large (100K-1M)
document_activity_data,373897,very_large (100K-1M)
document_detail_data,362961,very_large (100K-1M)
document_element,313442,very_large (100K-1M)
document_content_data,287017,very_large (100K-1M)
document_person_reference_da_0,266248,very_large (100K-1M)
document_reference_data,258957,very_large (100K-1M)
document_attachment,155066,very_large (100K-1M)
document_data,108390,very_large (100K-1M)
document_detail_container,105315,very_large (100K-1M)
document_activity_container,105261,very_large (100K-1M)
document_status_container,101241,very_large (100K-1M)
document_proposal_container,90054,large (10K-100K)
document_proposal_data,90053,large (10K-100K)
document_person_reference_co_0,88521,large (10K-100K)
document_attachment_container,83654,large (10K-100K)
committee_proposal_data,57900,large (10K-100K)
against_proposal_data,54722,large (10K-100K)
document_reference_container,53915,large (10K-100K)
assignment_data,31398,large (10K-100K)
topics,30283,large (10K-100K)
indicator_element,28333,large (10K-100K)
detail_data,17485,large (10K-100K)
committee_proposal_component_0,8040,medium (1K-10K)
committee_document_data,8040,medium (1K-10K)
committee_proposal_container,7751,medium (1K-10K)
government_body_data,6520,medium (1K-10K)
topic,5848,medium (1K-10K)
against_proposal_container,5328,medium (1K-10K)
person_data,2492,medium (1K-10K)
rule_violation,2306,medium (1K-10K)
person_assignment_data,2242,medium (1K-10K)
person_detail_data,2242,medium (1K-10K)
application_action_event,459,small (100-1K)
country_element,211,small (100-1K)
application_session,189,small (100-1K)
language_data,135,small (100-1K)
user_account,11,tiny (<100)
sweden_parliament_electoral__1,-1,tiny (<100)
sweden_county_data,-1,tiny (<100)
sweden_county_data_container,-1,tiny (<100)
sweden_county_electoral_area,-1,tiny (<100)
operational_information_cont_0,-1,tiny (<100)
performance_indicator_content,-1,tiny (<100)
person_assignment_element,-1,tiny (<100)
person_container_data,-1,tiny (<100)
person_container_element,-1,tiny (<100)
person_detail_element,-1,tiny (<100)
portal,-1,tiny (<100)
sweden_county_electoral_regi_0,-1,tiny (<100)
sweden_county_electoral_regi_1,-1,tiny (<100)
sweden_election_region,-1,tiny (<100)
sweden_election_type,-1,tiny (<100)
sweden_election_type_contain_0,-1,tiny (<100)
agency,-1,tiny (<100)
application_view,-1,tiny (<100)
assignment_element,-1,tiny (<100)
countries_element,-1,tiny (<100)
data_element,-1,tiny (<100)
data_source_content,-1,tiny (<100)
detail_element,-1,tiny (<100)
document_container_element,-1,tiny (<100)
domain_portal,-1,tiny (<100)
indicators_element,-1,tiny (<100)
sweden_municipality_data,-1,tiny (<100)
sweden_municipality_election_0,-1,tiny (<100)
sweden_parliament_electoral__0,-1,tiny (<100)
quality_assurance_content,-1,tiny (<100)
sweden_political_party,-1,tiny (<100)
vote_meta_data,-1,tiny (<100)
person_element,-1,tiny (<100)
target_profile_content,-1,tiny (<100)
user_account_address,-1,tiny (<100)
application_configuration,-1,tiny (<100)
language_content_data,-1,tiny (<100)
encrypted_value,-1,tiny (<100)
