view_name,row_count,size_category
view_riksdagen_vote_data_ballot_politician_summary,3523813,massive (>1M)
view_riksdagen_committee_ballot_decision_politician_summary,1578178,massive (>1M)
view_riksdagen_vote_data_ballot_politician_summary_daily,458976,very_large (100K-1M)
view_riksdagen_vote_data_ballot_politician_summary_weekly,234252,very_large (100K-1M)
view_riksdagen_politician_document,227973,very_large (100K-1M)
view_riksdagen_vote_data_ballot_party_summary,83498,large (10K-100K)
view_riksdagen_vote_data_ballot_politician_summary_monthly,77334,large (10K-100K)
view_riksdagen_org_document_daily_summary,66625,large (10K-100K)
view_riksdagen_politician_document_daily_summary,58602,large (10K-100K)
view_riksdagen_committee_decisions,44834,large (10K-100K)
view_riksdagen_committee_ballot_decision_party_summary,34558,large (10K-100K)
view_riksdagen_document_type_daily_summary,32558,large (10K-100K)
view_riksdagen_vote_data_ballot_party_summary_daily,10619,large (10K-100K)
view_riksdagen_vote_data_ballot_summary,10095,large (10K-100K)
view_riksdagen_vote_data_ballot_politician_summary_annual,9655,medium (1K-10K)
view_riksdagen_party_document_daily_summary,8557,medium (1K-10K)
view_riksdagen_committee_decision_type_org_summary,7210,medium (1K-10K)
view_riksdagen_vote_data_ballot_party_summary_weekly,5470,medium (1K-10K)
view_riksdagen_committee_ballot_decision_summary,4522,medium (1K-10K)
view_worldbank_indicator_data_country_summary,4111,medium (1K-10K)
view_riksdagen_committee_decision_type_summary,3343,medium (1K-10K)
view_riksdagen_vote_data_ballot_party_summary_monthly,1804,medium (1K-10K)
view_riksdagen_politician_document_summary,1346,medium (1K-10K)
view_riksdagen_vote_data_ballot_summary_daily,1314,medium (1K-10K)
view_riksdagen_vote_data_ballot_summary_weekly,670,small (100-1K)
view_riksdagen_vote_data_ballot_summary_monthly,220,small (100-1K)
view_riksdagen_vote_data_ballot_party_summary_annual,201,small (100-1K)
view_riksdagen_vote_data_ballot_summary_annual,24,tiny (<100)
view_riksdagen_committee,0,tiny (<100)
view_riksdagen_goverment_role_member,0,tiny (<100)
view_riksdagen_party_role_member,0,tiny (<100)
view_riksdagen_committee_role_member,0,tiny (<100)
view_riksdagen_party_momentum_analysis,0,tiny (<100)
view_party_performance_metrics,0,tiny (<100)
view_committee_productivity,0,tiny (<100)
view_riksdagen_party_decision_flow,0,tiny (<100)
view_committee_productivity_matrix,0,tiny (<100)
view_politician_behavioral_trends,0,tiny (<100)
view_party_effectiveness_trends,0,tiny (<100)
view_riksdagen_goverment_proposals,0,tiny (<100)
view_riksdagen_member_proposals,0,tiny (<100)
view_riksdagen_committee_parliament_member_proposal,0,tiny (<100)
view_riksdagen_politician_decision_pattern,0,tiny (<100)
view_riksdagen_coalition_alignment_matrix,0,tiny (<100)
view_ministry_productivity_matrix,0,tiny (<100)
view_ministry_effectiveness_trends,0,tiny (<100)
view_ministry_risk_evolution,0,tiny (<100)
view_politician_risk_summary,0,tiny (<100)
view_riksdagen_crisis_resilience_indicators,0,tiny (<100)
view_riksdagen_politician_influence_metrics,0,tiny (<100)
view_riksdagen_politician_experience_summary,0,tiny (<100)
view_decision_temporal_trends,0,tiny (<100)
view_ministry_decision_impact,0,tiny (<100)
view_riksdagen_politician,0,tiny (<100)
view_riksdagen_voting_anomaly_detection,0,tiny (<100)
view_risk_score_evolution,0,tiny (<100)
view_document_data_committee_report_url,0,tiny (<100)
view_riksdagen_goverment_roles,0,tiny (<100)
view_riksdagen_committee_roles,0,tiny (<100)
view_application_action_event_page_hourly_summary,0,tiny (<100)
view_application_action_event_page_weekly_summary,0,tiny (<100)
view_application_action_event_page_modes_hourly_summary,0,tiny (<100)
view_application_action_event_page_modes_daily_summary,0,tiny (<100)
view_application_action_event_page_modes_weekly_summary,0,tiny (<100)
view_application_action_event_page_modes_annual_summary,0,tiny (<100)
view_application_action_event_page_element_hourly_summary,0,tiny (<100)
view_application_action_event_page_element_weekly_summary,0,tiny (<100)
pg_stat_statements_info,0,tiny (<100)
pg_stat_statements,0,tiny (<100)
view_riksdagen_person_signed_document_summary,0,tiny (<100)
view_audit_author_summary,0,tiny (<100)
view_riksdagen_party_signatures_document_summary,0,tiny (<100)
view_audit_data_summary,0,tiny (<100)
view_riksdagen_party_coalation_against_annual_summary,0,tiny (<100)
view_application_action_event_page_annual_summary,0,tiny (<100)
view_application_action_event_page_daily_summary,0,tiny (<100)
view_application_action_event_page_element_annual_summary,0,tiny (<100)
view_application_action_event_page_element_daily_summary,0,tiny (<100)
view_riksdagen_party_ballot_support_annual_summary,0,tiny (<100)
view_riksdagen_politician_ballot_summary,0,tiny (<100)
view_riksdagen_goverment,0,tiny (<100)
view_riksdagen_party_member,0,tiny (<100)
view_riksdagen_party,0,tiny (<100)
