view_name,view_type,dependency_level,complexity_category
view_application_action_event_page_annual_summary,view,0,SIMPLE
view_application_action_event_page_daily_summary,view,0,SIMPLE
view_application_action_event_page_element_annual_summary,view,0,SIMPLE
view_application_action_event_page_element_daily_summary,view,0,SIMPLE
view_application_action_event_page_element_hourly_summary,view,0,SIMPLE
view_application_action_event_page_element_weekly_summary,view,0,SIMPLE
view_application_action_event_page_hourly_summary,view,0,SIMPLE
view_application_action_event_page_modes_annual_summary,view,0,SIMPLE
view_application_action_event_page_modes_daily_summary,view,0,SIMPLE
view_application_action_event_page_modes_hourly_summary,view,0,SIMPLE
view_application_action_event_page_modes_weekly_summary,view,0,SIMPLE
view_application_action_event_page_weekly_summary,view,0,SIMPLE
view_decision_temporal_trends,view,0,SIMPLE
view_document_data_committee_report_url,view,0,SIMPLE
view_election_cycle_decision_intelligence,view,1,SIMPLE
view_election_cycle_network_analysis,view,1,SIMPLE
view_ministry_decision_impact,view,0,SIMPLE
view_ministry_effectiveness_trends,view,0,SIMPLE
view_ministry_productivity_matrix,view,0,SIMPLE
view_ministry_risk_evolution,view,0,SIMPLE
view_politician_risk_summary,view,0,SIMPLE
view_riksdagen_coalition_alignment_matrix,view,0,SIMPLE
view_riksdagen_committee_role_member,view,1,SIMPLE
view_riksdagen_committee_roles,view,0,SIMPLE
view_riksdagen_crisis_resilience_indicators,view,0,SIMPLE
view_riksdagen_election_year_anomalies,view,1,SIMPLE
view_riksdagen_election_year_behavioral_patterns,view,0,SIMPLE
view_riksdagen_goverment_proposals,view,0,SIMPLE
view_riksdagen_goverment_role_member,view,1,SIMPLE
view_riksdagen_goverment_roles,view,0,SIMPLE
view_riksdagen_member_proposals,view,0,SIMPLE
view_riksdagen_party_coalation_against_annual_summary,view,0,SIMPLE
view_riksdagen_party_decision_flow,view,0,SIMPLE
view_riksdagen_party_defector_analysis,view,1,SIMPLE
view_riksdagen_party_momentum_analysis,view,0,SIMPLE
view_riksdagen_party_role_member,view,1,SIMPLE
view_riksdagen_party_signatures_document_summary,view,0,SIMPLE
view_riksdagen_party_switcher_outcomes,view,1,SIMPLE
view_riksdagen_party_transition_history,view,0,SIMPLE
view_riksdagen_person_signed_document_summary,view,0,SIMPLE
view_riksdagen_politician_decision_pattern,view,0,SIMPLE
view_riksdagen_politician_experience_summary,view,0,SIMPLE
view_riksdagen_politician_influence_metrics,view,0,SIMPLE
view_riksdagen_politician_longevity_analysis,view,0,SIMPLE
view_riksdagen_politician_role_evolution,view,0,SIMPLE
view_riksdagen_q4_election_year_comparison,view,1,SIMPLE
view_riksdagen_seasonal_activity_patterns,view,1,SIMPLE
view_riksdagen_seasonal_anomaly_detection,view,1,SIMPLE
view_riksdagen_seasonal_quarterly_activity,view,0,SIMPLE
view_riksdagen_voting_anomaly_detection,view,0,SIMPLE
view_risk_score_evolution,view,0,SIMPLE
