object_type,object_name,status,row_count,error_message,extraction_time
table,application_view,empty,0,,2026-05-10 17:00:22.462014
table,assignment_element,empty,0,,2026-05-10 17:00:22.472384
table,countries_element,empty,0,,2026-05-10 17:00:22.568655
table,data_element,empty,0,,2026-05-10 17:00:22.569762
table,data_source_content,empty,0,,2026-05-10 17:00:22.570279
table,detail_element,empty,0,,2026-05-10 17:00:22.594426
table,document_container_element,empty,0,,2026-05-10 17:00:22.708651
table,domain_portal,empty,0,,2026-05-10 17:00:25.047999
table,indicators_element,empty,0,,2026-05-10 17:00:25.069366
table,language_content_data,empty,0,,2026-05-10 17:00:43.111799
table,operational_information_cont_0,empty,0,,2026-05-10 17:00:43.113335
table,performance_indicator_content,empty,0,,2026-05-10 17:00:43.114788
table,person_assignment_element,empty,0,,2026-05-10 17:00:43.117433
table,person_container_data,empty,0,,2026-05-10 17:00:43.117555
table,person_container_element,empty,0,,2026-05-10 17:00:43.117807
table,person_detail_element,empty,0,,2026-05-10 17:00:43.125425
table,person_element,empty,0,,2026-05-10 17:00:43.12573
table,qrtz_blob_triggers,empty,0,,2026-05-10 17:00:43.126576
table,qrtz_calendars,empty,0,,2026-05-10 17:00:43.127059
table,qrtz_fired_triggers,empty,0,,2026-05-10 17:00:43.129017
table,qrtz_paused_trigger_grps,empty,0,,2026-05-10 17:00:43.130467
table,qrtz_simple_triggers,empty,0,,2026-05-10 17:00:43.1313
table,qrtz_simprop_triggers,empty,0,,2026-05-10 17:00:43.131561
table,quality_assurance_content,empty,0,,2026-05-10 17:00:43.13431
table,sweden_county_data,empty,0,,2026-05-10 17:00:43.139912
table,sweden_county_data_container,empty,0,,2026-05-10 17:00:43.14017
table,sweden_county_electoral_area,empty,0,,2026-05-10 17:00:43.14043
table,sweden_county_electoral_regi_0,empty,0,,2026-05-10 17:00:43.140659
table,sweden_county_electoral_regi_1,empty,0,,2026-05-10 17:00:43.142465
table,sweden_election_region,empty,0,,2026-05-10 17:00:43.143328
table,sweden_election_type,empty,0,,2026-05-10 17:00:43.143425
table,sweden_election_type_contain_0,empty,0,,2026-05-10 17:00:43.143681
table,sweden_municipality_data,empty,0,,2026-05-10 17:00:43.143921
table,sweden_municipality_election_0,empty,0,,2026-05-10 17:00:43.144167
table,sweden_parliament_electoral__0,empty,0,,2026-05-10 17:00:43.144405
table,sweden_parliament_electoral__1,empty,0,,2026-05-10 17:00:43.144673
table,target_profile_content,empty,0,,2026-05-10 17:00:43.145128
table,user_account_address,empty,0,,2026-05-10 17:00:43.155049
table,vote_meta_data,empty,0,,2026-05-10 17:00:44.304336
table,against_proposal_container,success,5433,,2026-05-10 17:00:22.441787
table,against_proposal_data,success,56244,,2026-05-10 17:00:22.459054
table,agency,success,1,,2026-05-10 17:00:22.459423
table,application_action_event,success,788,,2026-05-10 17:00:22.460554
table,application_configuration,success,14,,2026-05-10 17:00:22.461097
table,application_session,success,363,,2026-05-10 17:00:22.461715
table,assignment_data,success,31443,,2026-05-10 17:00:22.472136
table,committee_document_data,success,8840,,2026-05-10 17:00:22.484587
table,committee_proposal_component_0,success,8840,,2026-05-10 17:00:22.488842
table,committee_proposal_container,success,8054,,2026-05-10 17:00:22.492768
table,committee_proposal_data,success,59070,,2026-05-10 17:00:22.567956
table,country_element,success,211,,2026-05-10 17:00:22.569224
table,databasechangelog,success,654,,2026-05-10 17:00:22.577922
table,databasechangeloglock,success,1,,2026-05-10 17:00:22.580784
table,detail_data,success,17485,,2026-05-10 17:00:22.593208
table,document_activity_container,success,108504,,2026-05-10 17:00:22.608173
table,document_activity_data,success,393991,,2026-05-10 17:00:22.672954
table,document_attachment,success,162525,,2026-05-10 17:00:22.696589
table,document_attachment_container,success,88884,,2026-05-10 17:00:22.708113
table,document_content_data,success,301216,,2026-05-10 17:00:24.362675
table,document_data,success,109480,,2026-05-10 17:00:24.455264
table,document_detail_container,success,108208,,2026-05-10 17:00:24.522847
table,document_detail_data,success,374532,,2026-05-10 17:00:24.579982
table,document_element,success,316424,,2026-05-10 17:00:24.819009
table,document_person_reference_co_0,success,96633,,2026-05-10 17:00:24.840085
table,document_person_reference_da_0,success,266809,,2026-05-10 17:00:24.92317
table,document_proposal_container,success,98175,,2026-05-10 17:00:24.936124
table,document_proposal_data,success,98175,,2026-05-10 17:00:24.970326
table,document_reference_container,success,56178,,2026-05-10 17:00:24.984142
table,document_reference_data,success,267856,,2026-05-10 17:00:25.029631
table,document_status_container,success,109480,,2026-05-10 17:00:25.047681
table,encrypted_value,success,2,,2026-05-10 17:00:25.048444
table,government_body_data,success,6520,,2026-05-10 17:00:25.053313
table,indicator_element,success,30608,,2026-05-10 17:00:25.0688
table,jv_commit,success,5382916,,2026-05-10 17:00:26.037523
table,jv_commit_property,success,5373020,,2026-05-10 17:00:26.602647
table,jv_global_id,success,12609875,,2026-05-10 17:00:29.054592
table,jv_snapshot,success,12722492,,2026-05-10 17:00:43.108294
table,language_data,success,135,,2026-05-10 17:00:43.112393
table,person_assignment_data,success,2492,,2026-05-10 17:00:43.11709
table,person_data,success,2495,,2026-05-10 17:00:43.121483
table,person_detail_data,success,2492,,2026-05-10 17:00:43.124863
table,portal,success,2,,2026-05-10 17:00:43.126112
table,qrtz_cron_triggers,success,4,,2026-05-10 17:00:43.127467
table,qrtz_job_details,success,4,,2026-05-10 17:00:43.129396
table,qrtz_locks,success,2,,2026-05-10 17:00:43.130028
table,qrtz_scheduler_state,success,1,,2026-05-10 17:00:43.131025
table,qrtz_triggers,success,4,,2026-05-10 17:00:43.134046
table,rule_violation,success,2309,,2026-05-10 17:00:43.139586
table,sweden_political_party,success,40,,2026-05-10 17:00:43.144875
table,topic,success,5848,,2026-05-10 17:00:43.147201
table,topics,success,30608,,2026-05-10 17:00:43.15408
table,user_account,success,21,,2026-05-10 17:00:43.15474
table,vote_data,success,3717898,,2026-05-10 17:00:44.303995
table,world_bank_data,success,591906,,2026-05-10 17:00:44.400407
view,pg_stat_statements,success,802,,2026-05-10 17:04:50.859694
view,pg_stat_statements_info,success,1,,2026-05-10 17:04:50.859876
view,view_application_action_event_page_annual_summary,success,37,,2026-05-10 17:03:55.988924
view,view_application_action_event_page_daily_summary,success,159,,2026-05-10 17:03:55.00109
view,view_application_action_event_page_element_annual_summary,success,84,,2026-05-10 17:03:55.989498
view,view_application_action_event_page_element_daily_summary,success,179,,2026-05-10 17:03:55.001655
view,view_application_action_event_page_element_hourly_summary,success,188,,2026-05-10 17:04:50.860523
view,view_application_action_event_page_element_weekly_summary,success,168,,2026-05-10 17:03:55.528794
view,view_application_action_event_page_hourly_summary,success,199,,2026-05-10 17:04:50.861086
view,view_application_action_event_page_modes_annual_summary,success,116,,2026-05-10 17:03:55.990057
view,view_application_action_event_page_modes_daily_summary,success,323,,2026-05-10 17:03:55.002272
view,view_application_action_event_page_modes_hourly_summary,success,363,,2026-05-10 17:04:50.861781
view,view_application_action_event_page_modes_weekly_summary,success,283,,2026-05-10 17:03:55.529725
view,view_application_action_event_page_weekly_summary,success,126,,2026-05-10 17:03:55.530371
view,view_audit_author_summary,success,31,,2026-05-10 17:04:50.97813
view,view_audit_data_summary,success,130,,2026-05-10 17:04:50.979429
view,view_committee_productivity,success,32,,2026-05-10 17:04:51.24945
view,view_committee_productivity_matrix,success,188,,2026-05-10 17:04:51.475157
view,view_decision_temporal_trends,success,2825,,2026-05-10 17:03:56.265377
view,view_document_data_committee_report_url,success,8871,,2026-05-10 17:04:51.488271
view,view_election_cycle_anomaly_pattern,success,41,,2026-05-10 17:05:01.280197
view,view_election_cycle_comparative_analysis,success,25,,2026-05-10 17:05:01.281379
view,view_election_cycle_decision_intelligence,success,416,,2026-05-10 17:06:08.885589
view,view_election_cycle_network_analysis,success,396,,2026-05-10 17:06:12.607923
view,view_election_cycle_predictive_intelligence,success,41,,2026-05-10 17:07:02.621519
view,view_election_cycle_temporal_trends,success,74,,2026-05-10 17:04:23.321898
view,view_ministry_decision_impact,success,1327,,2026-05-10 17:07:02.644889
view,view_ministry_effectiveness_trends,success,13,,2026-05-10 17:04:23.398853
view,view_ministry_productivity_matrix,success,44,,2026-05-10 17:07:02.73425
view,view_ministry_risk_evolution,success,168,,2026-05-10 17:04:23.428721
view,view_party_effectiveness_trends,success,117,,2026-05-10 17:04:23.513334
view,view_party_performance_metrics,success,40,,2026-05-10 17:07:02.764491
view,view_politician_behavioral_trends,success,9458,,2026-05-10 17:04:23.613003
view,view_politician_risk_summary,success,405,,2026-05-10 17:07:03.530373
view,view_riksdagen_committee,success,32,,2026-05-10 17:07:03.752829
view,view_riksdagen_committee_ballot_decision_party_summary,success,36266,,2026-05-10 17:07:03.871676
view,view_riksdagen_committee_ballot_decision_politician_summary,success,1653213,,2026-05-10 17:07:05.433848
view,view_riksdagen_committee_ballot_decision_summary,success,4737,,2026-05-10 17:07:05.454047
view,view_riksdagen_committee_decision_type_org_summary,success,9653,,2026-05-10 17:07:05.458934
view,view_riksdagen_committee_decision_type_summary,success,4540,,2026-05-10 17:07:05.460993
view,view_riksdagen_committee_decisions,success,59646,,2026-05-10 17:07:05.538488
view,view_riksdagen_committee_parliament_member_proposal,success,94253,,2026-05-10 17:07:06.32632
view,view_riksdagen_committee_role_member,success,19111,,2026-05-10 17:07:06.421073
view,view_riksdagen_committee_roles,success,153,,2026-05-10 17:07:06.425741
view,view_riksdagen_crisis_resilience_indicators,success,409,,2026-05-10 17:07:11.333549
view,view_riksdagen_document_type_daily_summary,success,43353,,2026-05-10 17:03:55.008579
view,view_riksdagen_election_proximity_trends,success,9458,,2026-05-10 17:04:47.132877
view,view_riksdagen_election_year_behavioral_patterns,success,25,,2026-05-10 17:07:11.334413
