object_name,object_type,extraction_status,rows_extracted,execution_time_ms,error_message,extracted_at
view_riksdagen_committee_ballot_decision_party_summary,materialized_view,ERROR,0,0,relative path not allowed for COPY to file,2026-01-27 01:09:06.041432
view_riksdagen_committee_ballot_decision_politician_summary,materialized_view,ERROR,0,0,relative path not allowed for COPY to file,2026-01-27 01:09:06.041432
view_riksdagen_committee_ballot_decision_summary,materialized_view,ERROR,0,0,relative path not allowed for COPY to file,2026-01-27 01:09:06.041432
view_riksdagen_committee_decision_type_org_summary,materialized_view,ERROR,0,0,relative path not allowed for COPY to file,2026-01-27 01:09:06.041432
view_riksdagen_committee_decision_type_summary,materialized_view,ERROR,0,0,relative path not allowed for COPY to file,2026-01-27 01:09:06.041432
view_riksdagen_committee_decisions,materialized_view,ERROR,0,0,relative path not allowed for COPY to file,2026-01-27 01:09:06.041432
view_riksdagen_document_type_daily_summary,materialized_view,ERROR,0,0,relative path not allowed for COPY to file,2026-01-27 01:09:06.041432
view_riksdagen_org_document_daily_summary,materialized_view,ERROR,0,0,relative path not allowed for COPY to file,2026-01-27 01:09:06.041432
view_riksdagen_party_document_daily_summary,materialized_view,ERROR,0,0,relative path not allowed for COPY to file,2026-01-27 01:09:06.041432
view_riksdagen_politician_document,materialized_view,ERROR,0,0,relative path not allowed for COPY to file,2026-01-27 01:09:06.041432
view_riksdagen_politician_document_daily_summary,materialized_view,ERROR,0,0,relative path not allowed for COPY to file,2026-01-27 01:09:06.041432
view_riksdagen_politician_document_summary,materialized_view,ERROR,0,0,relative path not allowed for COPY to file,2026-01-27 01:09:06.041432
view_riksdagen_vote_data_ballot_party_summary,materialized_view,ERROR,0,0,relative path not allowed for COPY to file,2026-01-27 01:09:06.041432
view_riksdagen_vote_data_ballot_party_summary_annual,materialized_view,ERROR,0,0,relative path not allowed for COPY to file,2026-01-27 01:09:06.041432
view_riksdagen_vote_data_ballot_party_summary_daily,materialized_view,ERROR,0,0,relative path not allowed for COPY to file,2026-01-27 01:09:06.041432
view_riksdagen_vote_data_ballot_party_summary_monthly,materialized_view,ERROR,0,0,relative path not allowed for COPY to file,2026-01-27 01:09:06.041432
