schema,view_name,estimated_rows,dead_rows,last_analyzed,last_auto_analyzed
public,view_riksdagen_vote_data_ballot_politician_summary,3523211,0,2025-12-30 15:05:48.781032+00,2025-12-30 13:36:11.369591+00
public,view_riksdagen_committee_ballot_decision_politician_summary,1578174,0,2025-12-30 15:05:46.29838+00,2025-12-30 13:35:16.436317+00
public,view_riksdagen_vote_data_ballot_politician_summary_daily,458976,0,2025-12-30 15:05:49.87582+00,2025-12-30 13:36:06.882888+00
public,view_riksdagen_vote_data_ballot_politician_summary_weekly,234252,0,2025-12-30 15:05:53.56559+00,2025-12-30 13:36:13.818137+00
public,view_riksdagen_politician_document,227973,0,2025-12-30 15:05:47.286742+00,2025-12-30 13:35:20.175683+00
public,view_riksdagen_vote_data_ballot_party_summary,83498,0,2025-12-30 15:05:47.87601+00,2025-12-30 13:35:21.612573+00
public,view_riksdagen_vote_data_ballot_politician_summary_monthly,77334,0,2025-12-30 15:05:51.387189+00,2025-12-30 14:07:58.786573+00
public,view_riksdagen_org_document_daily_summary,66625,0,2025-12-30 15:05:46.889332+00,2025-12-30 14:07:50.548477+00
public,view_riksdagen_politician_document_daily_summary,58602,0,2025-12-30 15:05:47.348404+00,2025-12-30 14:07:52.4899+00
public,view_riksdagen_committee_decisions,44834,0,2025-12-30 15:05:46.75245+00,2025-12-30 14:07:50.150785+00
public,view_riksdagen_committee_ballot_decision_party_summary,34558,0,2025-12-30 15:05:42.59716+00,2025-12-30 13:34:48.658148+00
public,view_riksdagen_document_type_daily_summary,32558,0,2025-12-30 15:05:46.803306+00,2025-12-30 14:07:50.303217+00
public,view_riksdagen_vote_data_ballot_party_summary_daily,10619,0,2025-12-30 15:05:48.061591+00,2025-12-30 14:07:54.040028+00
public,view_riksdagen_vote_data_ballot_summary,10095,0,2025-12-30 15:05:53.63384+00,2025-12-30 15:05:53.562499+00
public,view_riksdagen_vote_data_ballot_politician_summary_annual,9655,0,2025-12-30 15:05:48.999152+00,2025-12-30 14:07:55.743524+00
public,view_riksdagen_party_document_daily_summary,8557,0,2025-12-30 15:05:46.910423+00,2025-12-30 14:07:50.607727+00
public,view_riksdagen_committee_decision_type_org_summary,7210,0,2025-12-30 15:05:46.484138+00,2025-12-30 14:07:49.358468+00
public,view_riksdagen_vote_data_ballot_party_summary_weekly,5470,0,2025-12-30 15:05:48.179558+00,2025-12-30 14:07:54.329861+00
public,view_riksdagen_committee_ballot_decision_summary,4522,0,2025-12-30 15:05:46.460114+00,2025-12-30 14:07:49.302305+00
public,view_worldbank_indicator_data_country_summary,4111,0,2025-12-30 15:05:53.67867+00,2025-12-30 15:05:49.698853+00
public,view_riksdagen_committee_decision_type_summary,3343,0,2025-12-30 15:05:46.489417+00,2025-12-30 14:07:49.390999+00
public,view_riksdagen_vote_data_ballot_party_summary_monthly,1804,0,2025-12-30 15:05:48.094118+00,2025-12-30 14:07:54.195882+00
public,view_riksdagen_politician_document_summary,1346,0,2025-12-30 15:05:47.366924+00,2025-12-30 14:07:52.524019+00
public,view_riksdagen_vote_data_ballot_summary_daily,1314,0,2025-12-30 15:05:53.646593+00,2025-12-30 15:05:53.597885+00
public,view_riksdagen_vote_data_ballot_summary_weekly,670,0,2025-12-30 15:05:53.654561+00,2025-12-30 15:05:53.615099+00
public,view_riksdagen_vote_data_ballot_summary_monthly,220,0,2025-12-30 15:05:53.649231+00,2025-12-30 15:05:53.604834+00
public,view_riksdagen_vote_data_ballot_party_summary_annual,201,0,2025-12-30 15:05:47.889493+00,2025-12-30 14:07:53.697334+00
public,view_riksdagen_vote_data_ballot_summary_annual,24,0,2025-12-30 15:05:53.635254+00,2025-12-30 13:36:11.464443+00
