column_name,data_type,distinct_count,min_value,max_value,p1,p10,p25,median,p75,p90,p99
total_members,bigint,9,0,100,0,0,0,43.5,47,48,86.5
chairs_count,bigint,2,0,1,0,0,0,1,1,1,1
vice_chairs_count,bigint,2,0,1,0,0,0,1,1,1,1
regular_members,bigint,2,0,15,0,0,0,15,15,15,15
substitutes,bigint,9,0,83,0,0,0,26.5,30,31,69.5
total_decisions_all_time,bigint,11,0,692,0,0,0,0,180.75,482.6,645.02
decisions_last_year,bigint,8,0,19,0,0,0,0,1.5,14.6,18.46
decisions_last_month,bigint,2,0,1,0,0,0,0,0,0,0.73
days_since_last_decision,integer,10,-1,7268,-1,-1,-1,-1,77,2118.90000000001,7245.32
total_documents,bigint,8,0,78,0,0,0,0,6,42.3,69.36
documents_last_year,bigint,6,0,31,0,0,0,0,3.75,24,29.65
motions_count,bigint,1,0,0,0,0,0,0,0,0,0
propositions_count,bigint,1,0,0,0,0,0,0,0,0,0
reports_count,bigint,1,0,0,0,0,0,0,0,0,0
decisions_per_member,numeric,7,0,0.40,0,0,0,0,0.035,0.326,0.3838
documents_per_member,numeric,6,0,0.65,0,0,0,0,0.09,0.51,0.6338
ballots_decided_last_year,bigint,2,0,1,0,0,0,0,0,0,0.73
avg_approval_rate,numeric,2,0.00,57.31,0,0,0,0,0,0,41.8363
productivity_score,numeric,9,0.00,85.48,0,0,0,15,23.0525,72.818,82.8394
