column_name,data_type,distinct_count,min_value,max_value,p1,p10,p25,median,p75,p90,p99
year,numeric,4,2023,2026,2023,2023,2024,2024,2025,2026,2026
quarter,numeric,4,1,4,1,1,2,2,3,4,4
total_documents,bigint,128,1,991,1,9.8,26,69,175,427.4,764.12
committee_reports,bigint,23,0,23,0,1,2,4,10,14,20.12
motions_handled,bigint,92,0,446,0,1,4,16,78,167.8,340.92
active_members,bigint,97,0,246,0,5.6,16,30,91,168.4,227.24
documents_per_member,numeric,117,1.00,6.82,1,1.246,1.5725,2.09,2.7425,3.481,5.25650000000001
reports_per_member,numeric,57,0.00,4.00,0,0.01,0.04,0.09,0.2075,0.617,1.927
document_change,bigint,147,-966,887,-701.16,-374.2,-35,6,124,316.8,618.56
document_change_pct,numeric,169,-99.32,7300.00,-99.012,-94.45,-75.81,72,333.33,648.316,4968
ma_4quarter_documents,numeric,164,1.00,398.50,1,51.85,97,127.25,186.33,241.95,339.4
period_avg_documents,numeric,13,11.20,482.87,11.2,25.8,32.47,63.8,117.6,387.13,482.87
period_median_documents,numeric,13,15.00,422.00,15,17,27,62,110,365,422
period_max_documents,bigint,12,19,991,19,69,88,133,256,707,991
period_min_documents,bigint,7,1,196,1,1,1,2,30,131,196
vs_average,numeric,173,-385.13,508.13,-258.4724,-81.906,-32.31,-7.53,26.4,75.5420000000003,312.1424
vs_average_pct,numeric,177,-99.48,241.09,-97.6384,-69.284,-41.86,-11.45,38.6,80.9100000000001,171.1664
activity_span_days,integer,70,0,90,0,13,21,43,70,77,87.24
