column_name,data_type,distinct_count,min_value,max_value,p1,p10,p25,median,p75,p90,p99
cycle_year,numeric,4,1,4,1,1,2,3,4,4,4
calendar_year,integer,27,2000,2026,2000,2002,2006,2014,2020,2023,2025
total_proposals,numeric,410,16,45320000,161.84,22752,251658,1426635,4262070,9275780.4,27990463.2
approved_proposals,numeric,241,0,1563136,0,0,0,27520,114912,331646,873654.479999999
rejected_proposals,numeric,357,0,45220000,0,0,82400,1043970,3932128,9076908.00000001,27483631.2
avg_approval_rate,numeric,201,0.00,100.00,0,0,0,5.26,22.2,43.69,100
temporal_approval_rate,numeric,25,0.00,59.71,4.07,28.99,35.93,41.53,47.32,54.37,59.71
temporal_decision_count,numeric,344,6,40362000,55123.2,483040,2214828,4844595,10813782,17706116.4,35732836
ministry_impact_score,numeric,19,0.00,100.00,0,41.27,93.75,96.97,100,100,100
ministries_with_decisions,bigint,9,0,21,10,10,10,11,14,16,21
rank_by_success_rate,bigint,66,1,67,1,2,11,28,41,49,66.84
rank_by_proposals,bigint,71,1,71,1,6,15,30,46,57,68.84
percent_rank_success,double precision,237,0,0.942857142857143,0,0.0263157894736842,0.159420289855072,0.434782608695652,0.626865671641791,0.741379310344828,0.940571428571428
ntile_effectiveness,integer,4,1,4,1,1,1,2,3,4,4
prev_semester_success,numeric,185,0.00,100.00,0,0,0,6.67,25,41.751,100
prev_semester_proposals,numeric,344,16,45320000,708.48,44950.2,352479,1984276,5037984,9956505.6,29257395.0199999
max_cycle_proposals,numeric,8,150,45320000,7874055,9410972.4,10435584,21289389,35003340,45320000,45320000
change_success_pct,numeric,178,-100.00,1516.38,-100,-100,-100,-45.87,45.09,167.21,585.7544
change_proposals_pct,numeric,339,-99.94,770028.68,-99.7465,-96.533,-90.8,-55.895,783.4175,2937.819,209575.460599998
legislative_momentum,numeric,360,0.00,64.83,0,0.076,2.41,9.07,24.21,44.712,61.0876
