column_name,data_type,distinct_count,min_value,max_value,p1,p10,p25,median,p75,p90,p99
quarter_number,numeric,3,1,4,1,1,1,2,4,4,4
months_until_election,integer,27,5,41,5,7,11,21,31,39,41
ballot_count,numeric,50,5,136,12,14,18,50,70,105,136
total_votes,numeric,50,1745,47464,4188,4886,6282,17450,24430,36645,47464
attendance_rate,numeric,67,81.59,87.09,83.16,83.37,84.16,85.48,86,86.29,87.09
avg_win_rate,numeric,701,0.00,100.00,0,27.112,39.67,55.6,80,100,100
avg_rebel_rate,numeric,73,0.00,55.00,0,0,0,0,0,0,1.67
avg_yes_rate,numeric,72,50.45,69.68,51.79,54.98,56.77,58.92,63.28,64.88,67.33
avg_no_rate,numeric,71,8.74,25.41,13.1,15.05,15.55,16.86,18.68,20.45,21.3
avg_abstain_rate,numeric,71,0.00,16.99,2.42,3.22,4.95,8.93,11.22,12.32,13.24
violation_count,bigint,13,0,13,0,0,0,0,0,0,7
document_count,bigint,79,0,205,0,0,0,1,6,19,57
proposal_count,bigint,1,0,0,0,0,0,0,0,0,0
motion_count,bigint,79,0,205,0,0,0,1,6,19,57
new_assignment_count,bigint,5,0,4,0,0,0,0,0,0,2
peak_role_weight_quarter,integer,10,0,700,0,0,0,0,0,0,400
leadership_role_count,bigint,2,0,1,0,0,0,0,0,0,0
committee_assignment_count,bigint,3,0,2,0,0,0,0,0,0,0
decision_count,numeric,67,0,167,0,0,0,0,3,12,45.8400000000001
approved_decisions,numeric,3,0,2,0,0,0,0,0,0,1
rejected_decisions,numeric,67,0,167,0,0,0,0,3,12,45.8400000000001
avg_approval_rate,numeric,17,0.00,100.00,0,0,0,0,0,0,10
active_committees,bigint,17,0,16,0,0,0,0,2,6,14
overall_risk_score,numeric,330,10.00,50.41,11.32,19.22,21.76,25.8,29.79,34.12,42.32
trend_risk_score,numeric,330,10.00,50.41,11.32,19.22,21.76,25.8,29.79,34.12,42.32
anomaly_risk_score,numeric,330,10.00,50.41,11.32,19.22,21.76,25.8,29.79,34.12,42.32
network_connections,bigint,55,21,277,23,27,125,127,206,207,209
avg_ballot_count_baseline,numeric,93,9.50,85.00,41.5,50.08,50.85,50.85,50.85,50.85,57
avg_document_count_baseline,numeric,277,0.00,51.19,0,1,2.26,4.56,7.67,13.41,26.85
avg_decision_count_baseline,numeric,236,0.00,28.96,0,0.42,1.22,3.07,4.89,8.59,18.58
avg_assignment_count_baseline,numeric,46,0.00,1.29,0,0,0,0,0.12,0.3,0.63
ballot_count_deviation,numeric,1095,-51.33,92.85,-38.85,-36.85,-32.85,-0.85,19.15,54.15,85.15
document_count_deviation,numeric,1055,-51.19,159.48,-20.386,-8.59,-5.26,-2.11,1.19,13.13,38.59
decision_count_deviation,numeric,863,-28.96,138.04,-15.2192,-5.52,-3.56,-1.52,-0.07,8.44,36.5024
assignment_count_deviation,numeric,115,-1.29,3.44,-0.56,-0.22,-0.11,0,0,0,1.59
ballot_activity_ratio,numeric,253,0.12,3.15,0.24,0.28,0.35,0.98,1.38,2.06,2.67
document_activity_ratio,numeric,472,0.00,13.50,0,0,0,0.15,1.57,3.34,7.09380000000001
decision_activity_ratio,numeric,448,0.00,13.50,0,0,0,0,0.69,4.31,8
assignment_activity_ratio,numeric,74,0.00,27.00,0,0,0,0,0,4.5,9
composite_activity_score,numeric,397,0.0,6.79,0,0,0,0,0.6,1.57,3.4326
rank_by_activity_quarter,bigint,25,1,1054,1,1,1,348,698,699,702
