column_name,data_type,distinct_count,min_value,max_value,p1,p10,p25,median,p75,p90,p99
cycle_year,integer,4,1,4,1,1,2,3,4,4,4
calendar_year,integer,24,2002,2025,2002,2005,2010,2016,2020,2024,2025
joint_voting_days,bigint,4,3,6,3,3,5,5,5,5,6
joint_ballots,numeric,49,39,637,44,64,88,196,345,392,637
aligned_ballots,numeric,121,0,637,0,0,0,8,76,258,411
alignment_rate,numeric,141,0.00,100.00,0,0,0,7.19,61.7,100,100
avg_vote_divergence,numeric,1211,0.62,88.87,2.0308,5.106,8.9,21.55,40.07,55.846,81.3876
vote_divergence_stddev,numeric,984,0.10,38.84,0.818,2.426,4.13,6.91,12.75,19.518,31.5724
rank_by_alignment,bigint,75,1,95,1,1,27,45,69,88,95
rank_by_activity,bigint,18,1,137,1,1,1,37,73,101,129
rank_by_consistency,bigint,144,1,144,2,12,29,58,88,113,135
percentile_alignment,double precision,139,0,0.767857142857143,0,0,0.231884057971014,0.391608391608392,0.530120481927711,0.68503937007874,0.767857142857143
percentile_cohesion,double precision,816,0,1,0.00740740740740741,0.0963498438197233,0.246376811594203,0.5,0.753623188405797,0.903650156180277,0.992592592592593
quartile_coalition_strength,integer,4,1,4,1,1,1,2,3,4,4
prev_semester_alignment,numeric,139,0.00,100.00,0,0,0,7.33,62.5,100,100
prev_semester_joint_ballots,numeric,48,39,637,44,64,88,193,343,411,637
prev_semester_divergence,numeric,1186,0.62,88.87,2.002,5.09,8.88,21.55,39.84,55.97,81.564
next_semester_alignment,numeric,137,0.00,100.00,0,0,0,7.44,61.7,100,100
next_semester_divergence,numeric,1184,0.62,88.87,2.002,5.07,8.78,21.29,39.88,55.9,81.564
stddev_alignment_sector,numeric,12,25.4699644944184949,43.5015080848896803,25.4699644944185,31.050959545795,34.85570195933,35.7396264906715,40.4221695593944,42.6957896880497,43.5015080848897
stddev_alignment_pair,numeric,36,11.0109559782770704,43.0157204927055018,11.0109559782771,22.9873958437593,27.8746522477988,32.5901277089136,41.6432407148936,42.8650577785829,43.0157204927055
stddev_divergence_pair,numeric,36,4.2642678247836210,26.6916718716994855,4.26426782478362,6.12276289279408,11.3520433922984,15.4404333306927,20.0603343061967,24.2074823947713,26.6916718716995
ma_3semester_alignment,numeric,354,0.00000000000000000000,100.0000000000000000,0,0,0.606666666666667,18.3866666666667,53.9,93.8186666666668,100
alignment_change_absolute,numeric,286,-100.00,100.00,-100,-45.92,-6.5,0,5.38,45.49,100
alignment_change_pct,numeric,182,-100.00,35614.29,-100,-100,-100,-23.31,7.04,176.93,3382.55599999998
activity_change,numeric,55,-598,590,-593,-322,-251,76,271,324,590
divergence_change,numeric,1158,-70.59,77.63,-39.324,-19.11,-7.96,-0.19,6.28,16.73,54.3939999999999
alignment_deviation_from_ma,numeric,398,-66.67,66.67,-55.748,-26.06,-3.53,0,7.81,23.458,55.3
momentum_z_score,numeric,410,-3.93,3.93,-3.29,-1.44,-0.18,0,0.17,1.39,2.958
stability_score,numeric,1202,30.93,99.21,33.8,39.546,45.61,56.45,75.12,95.698,98.6724
breakup_risk_score,numeric,5,40.0,90.0,40,50,50,75,75,75,90
coalition_density_score,numeric,157,0.00,100.00,0,0,0,6,44.95,79.14,100
