column_name,data_type,distinct_count,min_value,max_value,p1,p10,p25,median,p75,p90,p99
active_members,bigint,9,0,132,0,0,0,0,0,24.5,111.33
inactive_members,bigint,13,0,624,0,0,0,0,20.5,112.5,505.83
total_violations,bigint,10,0,613,0,0,0,0,0,173,539.29
members_with_violations,bigint,9,0,118,0,0,0,0,0,27.1,107.86
violation_rate_percentage,numeric,10,0,140.00,0,0,0,0,0,100.417,138.1631
total_votes_last_year,numeric,9,0,16721288,0,0,0,0,0,3785952,14629549.52
avg_absence_rate,numeric,7,0.00,14.76,0,0,0,0,0,14.711,14.7483
avg_win_rate,numeric,10,0.00,86.55,0,0,0,0,0,46.456,84.7599
avg_rebel_rate,numeric,7,0.00,14.38,0,0,0,0,0,0.042,8.79909999999999
avg_participation_rate,numeric,7,0.00,85.37,0,0,0,0,0,85.29,85.3505
documents_last_year,bigint,10,0,1221,0,0,0,0,0,406.8,1090.35
motions_last_year,bigint,10,0,973,0,0,0,0,0,327.6,939.07
propositions_last_year,bigint,4,0,248,0,0,0,0,0,0,185.6
docs_per_member,numeric,10,0,38.00,0,0,0,0,0,12.372,31.097
current_ministers,bigint,4,0,13,0,0,0,0,0,0,10.27
current_committee_chairs,bigint,3,0,5,0,0,0,0,0,0,5
performance_score,numeric,10,35.00,77.96,35,35,35,35,35,67.932,77.5115
