column_name,data_type,distinct_count,min_value,max_value,p1,p10,p25,median,p75,p90,p99
total_ballots,numeric,52,5,113,12,14,18,42,87,105,113
total_votes,numeric,52,1745,39437,4188,4886,6282,14658,30363,36645,39437
avg_absence_rate,numeric,67,12.91,18.41,12.91,13.51,13.85,14.52,15.84,16.13,16.84
avg_yes_rate,numeric,72,50.45,69.68,51.79,54.98,57.18,59.03,63.28,64.88,67.33
avg_no_rate,numeric,72,8.74,25.41,13.1,14.68,15.76,17.08,18.68,20.45,21.3
avg_abstain_rate,numeric,71,0.00,16.99,2.42,3.22,4.95,8.93,11.14,12.32,12.82
avg_win_rate,numeric,689,0.00,100.00,0,28.234,40,55.6,80,100,100
avg_rebel_rate,numeric,70,0.00,55.00,0,0,0,0,0,0,1.5
violation_count,bigint,13,0,13,0,0,0,0,0,0,7
violation_types,bigint,7,0,6,0,0,0,0,0,0,4
absence_trend,numeric,104,-4.34,4.90,-1.9,-1.42,-0.94,0.09,1.05,2.62,2.85
win_rate_trend,numeric,1727,-100.00,100.00,-66.67,-33.33,-16.67,0,14,31.34,71.9212000000007
rebel_rate_trend,numeric,111,-37.00,42.00,-0.88,0,0,0,0,0,1
ma_3month_absence,numeric,133,12.91,17.24,13.43,13.65,14.12,14.72,15.39,15.58,15.63
ma_3month_win_rate,numeric,2668,0.00,100.00,11.9832,31.94,42.455,57.68,80.67,93.67,100
ma_3month_rebel_rate,numeric,87,0.00,43.40,0,0,0,0,0,0,1.56
