column_name,data_type,distinct_count,min_value,max_value,p1,p10,p25,median,p75,p90,p99
election_year,integer,7,2002,2026,2002,2002,2006,2014,2022,2026,2026
career_cycle_number,bigint,7,1,7,1,1,1,2,3,4,6
total_cycles,bigint,7,1,7,1,2,2,3,4,5,7
career_start_year,integer,7,2002,2026,2002,2002,2002,2006,2014,2018,2022
career_end_year,integer,7,2002,2026,2006,2006,2014,2022,2026,2026,2026
ballot_count,bigint,635,2,1972,18,221,383,1268,1571,1876.3,1972
attendance_rate,numeric,2006,0.00,100.00,15.6335,56.431,76.1375,86.17,92.89,97.71,100
win_rate,numeric,835,7.04,100.00,24.14,43.86,51.2925,70.82,96.4875,99.308,100
leadership_roles,bigint,15,0,25,0,0,0,0,1,3,9
documents_authored,bigint,496,0,1881,0,26,97,208,373,550,980
avg_career_attendance,numeric,1184,0.00000000000000000000,100.0000000000000000,34.5444,68.6133333333333,75.934,83.2708333333333,89.3425,94.96,100
performance_vs_baseline,numeric,2175,-61.30,54.60,-33.6346,-16.278,-3.75,0.535,6.46,12.359,24.7561999999999
