column_name,data_type,distinct_count,min_value,max_value,p1,p10,p25,median,p75,p90,p99
role_weight,integer,14,50,1000,50,100,100,100,350,400,850
role_start_year,integer,54,1971,2026,1979,1991,1999,2012,2020,2021,2025
role_end_year,integer,54,1975,2029,1988,1994,2004,2018,2022,2025,2026
role_instances,bigint,23,1,27,1,1,1,1,2,3,7
total_days_in_role,bigint,3097,0,10955,5,108.6,362,922,1455,2902,5884.31999999996
role_sequence,bigint,42,1,42,1,1,3,7,13,19,29
peak_role_weight,integer,14,50,1000,100,400,400,400,600,850,900
career_first_year,integer,54,1971,2026,1976,1985,1994,2006,2014,2018,2022
career_last_year,integer,51,1976,2029,1990,1998,2010,2022,2026,2026,2028
years_in_role,integer,34,1,36,1,1,2,3,5,10,21
advancement_velocity,numeric,160,-650.00,850.00,-450,-150,-25,0,82.81,250,450
