column_name,data_type,distinct_count,min_value,max_value,p1,p10,p25,median,p75,p90,p99
year,numeric,25,2002,2026,2002.85,2004.5,2008,2014,2020,2023.5,2025.15
quarter,numeric,4,1,4,1,1,1,2,4,4,4
total_ballots,bigint,68,1,428,1,6,56.25,118,167.75,237.5,358.3
active_politicians,bigint,18,349,377,349,349,352.25,355,358,360,371.05
attendance_rate,numeric,85,15.72747532632919452400,93.15244722530846149300,15.8404966571156,80.1042513263767,82.465476695745,85.5115950800054,87.5113202294536,89.5065875909976,92.6404888603006
documents_produced,bigint,81,39,3703,90.85,163.5,216.75,422.5,2448.5,3180,3613.75
q_baseline_ballots,numeric,4,5.4000000000000000,199.8333333333333333,5.4,5.4,93.2222222222222,141.444444444444,199.833333333333,199.833333333333,199.833333333333
q_stddev_ballots,numeric,4,4.2054386555642784,67.9283792378587003,4.20543865556428,4.20543865556428,34.7414352072772,36.7992256241344,67.9283792378587,67.9283792378587,67.9283792378587
ballot_z_score,numeric,72,-1.8539037456668496,3.3589299380707430,-1.71531387282303,-1.18226022756051,-0.803848395356945,-0.114736713901206,0.695282722763134,1.45909389392472,2.91514523333217
q_baseline_docs,numeric,4,224.5000000000000000,2963.6666666666666667,224.5,224.5,224.5,251.111111111111,2963.66666666667,2963.66666666667,2963.66666666667
q_stddev_docs,numeric,4,111.066090552374,536.116813852390,111.066090552374,111.066090552374,111.066090552374,122.181104194643,436.411031294231,536.11681385239,536.11681385239
doc_z_score,numeric,84,-1.5102430025438330,10.9664165970734121,-1.4334643896333,-1.00860572969775,-0.558491468519966,-0.04183225503486,0.647545320561248,1.66249251620824,9.31067775485669
q_baseline_attendance,numeric,4,77.76037575746323949317,82.29702354886570075778,77.7603757574632,77.7603757574632,77.7603757574632,80.4510381441447,82.2970235488657,82.2970235488657,82.2970235488657
q_stddev_attendance,numeric,4,16.7925427542284949478167291127335417415973,22.6508314009746480606658952386909146170395,16.7925427542285,16.7925427542285,16.7925427542285,16.8428098321337,22.6508314009746,22.6508314009746,22.6508314009746
attendance_z_score,numeric,85,-3.9445070396907070648958220706137499200421,0.6445138183376128309713716959898175110696,-3.85740690610146,-0.0350666710905699,0.12216792230497,0.292523646879513,0.382286436571415,0.472905724454668,0.630240299789416
prev_quarter_ballots,bigint,49,1,428,1,4,98,140,193,254,378.8
next_quarter_ballots,bigint,50,1,428,1,4,25,98,166,254,378.8
prev_quarter_attendance,numeric,60,15.72747532632919452400,92.55014326647564469900,15.851077775905,78.2726640782625,82.266794014645,85.2854608892268,86.8407806086889,88.8496006828019,90.8309455587393
prev_quarter_documents,bigint,56,39,1900,75.6,152,202,264,507,956,1793.8
cross_year_quarter_avg_ballots,numeric,4,5.4000000000000000,208.1304347826086957,5.4,5.4,84.625,151.166666666667,208.130434782609,208.130434782609,208.130434782609
cross_year_quarter_stddev_ballots,numeric,4,4.0628397293846907,79.5904212872411507,4.06283972938469,4.06283972938469,36.8937805282498,38.580723453847,79.5904212872412,79.5904212872412,79.5904212872412
cross_year_quarter_avg_docs,numeric,4,252.5652173913043478,2966.7916666666666667,252.565217391304,252.565217391304,252.565217391304,373.291666666667,2966.79166666667,2966.79166666667,2966.79166666667
activity_quartile_cycle,integer,4,1,4,1,1,1,2,3,4,4
qoq_ballot_change_pct,numeric,60,-99.48,11500.00,-99.474,-98.43,-87.11,12.5,145.19,1625,11500
deviation_from_typical_quarter,numeric,72,-110.1304347826086957,219.8695652173913043,-108.430434782609,-48.8958333333333,-28.7604166666667,-1.9,24.3695652173913,57.1041666666667,150.169565217392
cross_year_z_score,numeric,68,-1.62,2.86,-1.4755,-1.175,-0.7825,-0.185,0.6275,1.345,2.775
