object_name,object_type,status,rows_extracted,duration_ms,error_message
against_proposal_container,table,SUCCESS,0,46,
against_proposal_data,table,SUCCESS,0,45,
agency,table,SUCCESS,1,45,
application_action_event,table,SUCCESS,0,45,
application_configuration,table,SUCCESS,11,45,
application_session,table,SUCCESS,0,45,
application_view,table,SUCCESS,0,45,
assignment_data,table,SUCCESS,0,45,
assignment_element,table,SUCCESS,0,45,
committee_document_data,table,SUCCESS,0,46,
committee_proposal_component_0,table,SUCCESS,0,45,
committee_proposal_container,table,SUCCESS,0,46,
committee_proposal_data,table,SUCCESS,0,46,
countries_element,table,SUCCESS,0,45,
country_element,table,SUCCESS,0,46,
data_element,table,SUCCESS,0,46,
data_source_content,table,SUCCESS,0,46,
detail_data,table,SUCCESS,0,45,
detail_element,table,SUCCESS,0,46,
document_activity_container,table,SUCCESS,0,47,
document_activity_data,table,SUCCESS,0,45,
document_attachment,table,SUCCESS,0,46,
document_attachment_container,table,SUCCESS,0,46,
document_container_element,table,SUCCESS,0,45,
document_content_data,table,SUCCESS,0,46,
document_data,table,SUCCESS,0,45,
document_detail_container,table,SUCCESS,0,45,
document_detail_data,table,SUCCESS,0,45,
document_element,table,SUCCESS,0,45,
document_person_reference_co_0,table,SUCCESS,0,46,
document_person_reference_da_0,table,SUCCESS,0,46,
document_proposal_container,table,SUCCESS,0,45,
document_proposal_data,table,SUCCESS,0,46,
document_reference_container,table,SUCCESS,0,46,
document_reference_data,table,SUCCESS,0,45,
document_status_container,table,SUCCESS,0,46,
domain_portal,table,SUCCESS,0,45,
encrypted_value,table,SUCCESS,0,45,
government_body_data,table,SUCCESS,51,49,
indicator_element,table,SUCCESS,0,45,
indicators_element,table,SUCCESS,0,45,
jv_commit,table,SUCCESS,50,49,
jv_commit_property,table,SUCCESS,50,47,
jv_global_id,table,SUCCESS,50,48,
jv_snapshot,table,SUCCESS,1308,52,
language_content_data,table,SUCCESS,0,46,
language_data,table,SUCCESS,50,45,
operational_information_cont_0,table,SUCCESS,0,45,
performance_indicator_content,table,SUCCESS,0,51,
person_assignment_data,table,SUCCESS,0,45,
person_assignment_element,table,SUCCESS,0,45,
person_container_data,table,SUCCESS,0,46,
person_container_element,table,SUCCESS,0,46,
person_data,table,SUCCESS,0,46,
person_detail_data,table,SUCCESS,0,46,
person_detail_element,table,SUCCESS,0,45,
person_element,table,SUCCESS,0,46,
portal,table,SUCCESS,2,45,
quality_assurance_content,table,SUCCESS,0,46,
rule_violation,table,SUCCESS,0,46,
sweden_county_data,table,SUCCESS,0,46,
sweden_county_data_container,table,SUCCESS,0,46,
sweden_county_electoral_area,table,SUCCESS,0,47,
sweden_county_electoral_regi_0,table,SUCCESS,0,46,
sweden_county_electoral_regi_1,table,SUCCESS,0,45,
sweden_election_region,table,SUCCESS,0,46,
sweden_election_type,table,SUCCESS,0,47,
sweden_election_type_contain_0,table,SUCCESS,0,47,
sweden_municipality_data,table,SUCCESS,0,45,
sweden_municipality_election_0,table,SUCCESS,0,46,
sweden_parliament_electoral__0,table,SUCCESS,0,47,
sweden_parliament_electoral__1,table,SUCCESS,0,46,
sweden_political_party,table,SUCCESS,40,53,
target_profile_content,table,SUCCESS,0,47,
topic,table,SUCCESS,0,53,
topics,table,SUCCESS,0,50,
user_account,table,SUCCESS,0,47,
user_account_address,table,SUCCESS,0,47,
vote_data,table,SUCCESS,0,46,
vote_meta_data,table,SUCCESS,0,46,
world_bank_data,table,SUCCESS,0,46,
pg_stat_statements,view,SUCCESS,534,54,
pg_stat_statements_info,view,SUCCESS,1,45,
view_application_action_event_page_annual_summary,view,SUCCESS,0,46,
view_application_action_event_page_daily_summary,view,SUCCESS,0,47,
view_application_action_event_page_element_annual_summary,view,SUCCESS,0,47,
view_application_action_event_page_element_daily_summary,view,SUCCESS,0,48,
view_application_action_event_page_element_hourly_summary,view,SUCCESS,0,47,
view_application_action_event_page_element_weekly_summary,view,SUCCESS,0,47,
