hjid,model_object_id,model_object_version,config_title,config_description,configuration_group,component,component_title,component_description,property_id,property_value,created_date,updated_date
44,,0,Email configuration smtp port,Smtp port,EXTERNAL_SERVICES,EmailServiceImpl,Smtp port,Responsible for sending email,application.email.smtp.port,587,2026-01-27 01:00:10.229,2026-01-27 01:00:10.229
46,,0,Email configuration smtp password,Smtp password,EXTERNAL_SERVICES,EmailServiceImpl,Smtp password,Responsible for sending email,application.email.smtp.password,password,2026-01-27 01:00:10.243,2026-01-27 01:00:10.243
50,,0,Max failed login attempts recent hour per session,Blocks any login attempts after this number is reached,AUTHENTICATION,LoginBlockedAccessImpl,LoginBlocker,Blocks login attempts,application.authentication.allow.max.recent.failed.logins.by.session,5,2026-01-27 01:00:10.296,2026-01-27 01:00:10.296
51,,0,Max failed login attempts recent hour per ip,Blocks any login attempts after this number is reached,AUTHENTICATION,LoginBlockedAccessImpl,LoginBlocker,Blocks login attempts,application.authentication.allow.max.recent.failed.logins.by.ip,5,2026-01-27 01:00:10.303,2026-01-27 01:00:10.303
47,,0,Email configuration smtp auth,Smtp auth,EXTERNAL_SERVICES,EmailServiceImpl,Smtp auth,Responsible for sending email,application.email.smtp.auth,true,2026-01-27 01:00:10.251,2026-01-27 01:00:10.251
41,,0,Email configuration send emails,Send email,EXTERNAL_SERVICES,EmailServiceImpl,Send email,Responsible for sending email,application.email.send.email,false,2026-01-27 01:00:10.196,2026-01-27 01:00:10.196
45,,0,Email configuration smtp username,Smtp username,EXTERNAL_SERVICES,EmailServiceImpl,Smtp username,Responsible for sending email,application.email.smtp.username,username,2026-01-27 01:00:10.236,2026-01-27 01:00:10.236
43,,0,Email configuration smtp host,Smtp Host,EXTERNAL_SERVICES,EmailServiceImpl,Smtp Host,Responsible for sending email,application.email.smtp.host,localhost,2026-01-27 01:00:10.219,2026-01-27 01:00:10.219
48,,0,Email configuration smtp starttls enable,Smtp starttls enable,EXTERNAL_SERVICES,EmailServiceImpl,Smtp starttls enable,Responsible for sending email,application.email.smtp.starttls.enable,true,2026-01-27 01:00:10.259,2026-01-27 01:00:10.259
42,,0,Email configuration from email,From email,EXTERNAL_SERVICES,EmailServiceImpl,Send email,Responsible for sending email,application.email.from.email,admin@hack23.com,2026-01-27 01:00:10.21,2026-01-27 01:00:10.21
49,,0,Max failed login attempts recent hour per user,Blocks any login attempts after this number is reached,AUTHENTICATION,LoginBlockedAccessImpl,LoginBlocker,Blocks login attempts,application.authentication.allow.max.recent.failed.logins.by.user,5,2026-01-27 01:00:10.286,2026-01-27 01:00:10.286
